Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.012965,6.173898,[12  1] ; [13 12],[8.55263158 4.44736842] ; [16.44736842  8.55263158],0
b3,1,0.018218,5.575017,[5 5] ; [ 2 17],[2.4137931 7.5862069] ; [ 4.5862069 14.4137931],0
b2,1,0.018218,5.575017,[5 5] ; [ 2 17],[2.4137931 7.5862069] ; [ 4.5862069 14.4137931],0
s4,1,0.035703,4.411235,[5 9] ; [ 2 22],[ 2.57894737 11.42105263] ; [ 4.42105263 19.57894737],0
b1,1,0.095108,2.785714,[12  2] ; [15 10],[9.69230769 4.30769231] ; [17.30769231  7.69230769],0
p8,1,0.125698,2.344845,[8 6] ; [ 8 17],[5.74358974 8.25641026] ; [10.25641026 14.74358974],0
p5,1,0.247538,1.337143,[ 2 12] ; [ 1 24],[ 1.07692308 12.92307692] ; [ 1.92307692 23.07692308],0
v1,1,0.267699,1.2285,[7 7] ; [ 8 17],[5.38461538 8.61538462] ; [ 9.61538462 15.38461538],0
a6,1,0.267699,1.2285,[7 7] ; [17  8],[8.61538462 5.38461538] ; [15.38461538  9.61538462],0
d1,1,0.302936,1.061224,[6 8] ; [15 10],[7.53846154 6.46153846] ; [13.46153846 11.53846154],0
p4,1,0.327753,0.957755,[9 5] ; [12 13],[7.53846154 6.46153846] ; [13.46153846 11.53846154],0
p11,1,0.342093,0.902571,[10  4] ; [14 11],[8.61538462 5.38461538] ; [15.38461538  9.61538462],0
u2,1,0.347153,0.883838,[4 2] ; [7 1],[4.71428571 1.28571429] ; [6.28571429 1.71428571],0
p6,1,0.351055,0.86964,[5 8] ; [ 6 19],[3.76315789 9.23684211] ; [ 7.23684211 17.76315789],0
s5,1,0.392416,0.731442,[5 8] ; [ 6 18],[3.86486486 9.13513514] ; [ 7.13513514 16.86486486],0
v2,1,0.392918,0.729892,[9 5] ; [12 12],[7.73684211 6.26315789] ; [13.26315789 10.73684211],0
s3,1,0.416184,0.661065,[10  3] ; [16  9],[8.89473684 4.10526316] ; [17.10526316  7.89473684],0
d2,1,0.430869,0.620481,[6 8] ; [14 11],[7.17948718 6.82051282] ; [12.82051282 12.17948718],0
b4,1,0.435484,0.608154,[9 5] ; [19  6],[10.05128205  3.94871795] ; [17.94871795  7.05128205],0
a4,1,0.435484,0.608154,[5 9] ; [ 6 19],[ 3.94871795 10.05128205] ; [ 7.05128205 17.94871795],0
p10,1,0.457956,0.550886,[5 9] ; [12 13],[6.1025641 7.8974359] ; [10.8974359 14.1025641],0
a5,1,0.457956,0.550886,[9 5] ; [13 12],[7.8974359 6.1025641] ; [14.1025641 10.8974359],0
r1,1,0.471097,0.519401,[12  2] ; [19  6],[11.12820513  2.87179487] ; [19.87179487  5.12820513],0
p2,1,0.481582,0.495278,[11  3] ; [17  8],[10.05128205  3.94871795] ; [17.94871795  7.05128205],0
a3,1,0.497754,0.459722,[8 6] ; [17  8],[8.97435897 5.02564103] ; [16.02564103  8.97435897],0
s7,1,0.514084,0.425745,[9 4] ; [14 10],[8.08108108 4.91891892] ; [14.91891892  9.08108108],0
s6,1,0.542227,0.371429,[10  4] ; [20  5],[10.76923077  3.23076923] ; [19.23076923  5.76923077],0
n6,1,0.542227,0.371429,[10  4] ; [20  5],[10.76923077  3.23076923] ; [19.23076923  5.76923077],0
n3,1,0.55368,0.350765,[3 1] ; [4 3],[2.54545455 1.45454545] ; [4.45454545 2.54545455],0
n2,1,0.583882,0.3,[3 1] ; [7 1],[3.33333333 0.66666667] ; [6.66666667 1.33333333],0
v3,1,0.618228,0.248366,[7 7] ; [10 14],[6.26315789 7.73684211] ; [10.73684211 13.26315789],0
r4,1,0.631509,0.23002,[13  1] ; [22  3],[12.56410256  1.43589744] ; [22.43589744  2.56410256],0
n4,1,0.652101,0.203261,[11  3] ; [18  7],[10.41025641  3.58974359] ; [18.58974359  6.41025641],0
u1,1,0.655546,0.19898,[ 2 12] ; [ 5 20],[ 2.51282051 11.48717949] ; [ 4.48717949 20.51282051],0
r3,1,0.669489,0.182201,[13  1] ; [24  1],[13.28205128  0.71794872] ; [23.71794872  1.28205128],0
r2,1,0.669489,0.182201,[13  1] ; [24  1],[13.28205128  0.71794872] ; [23.71794872  1.28205128],0
d5,1,0.671735,0.179579,[11  3] ; [21  4],[11.48717949  2.51282051] ; [20.51282051  4.48717949],0
a7,1,0.672851,0.178286,[8 6] ; [16  9],[8.61538462 5.38461538] ; [15.38461538  9.61538462],0
u3,1,0.706879,0.141414,[5 1] ; [6 2],[4.71428571 1.28571429] ; [6.28571429 1.71428571],0
d4,1,0.753801,0.098365,[10  4] ; [19  6],[10.41025641  3.58974359] ; [18.58974359  6.41025641],0
b5,1,0.757286,0.09551,[8 6] ; [13 12],[7.53846154 6.46153846] ; [13.46153846 11.53846154],0
d3,1,0.861858,0.03028,[8 6] ; [15 10],[8.25641026 5.74358974] ; [14.74358974 10.25641026],0
a2,1,0.886814,0.02026,[ 2 12] ; [ 4 21],[ 2.15384615 11.84615385] ; [ 3.84615385 21.15384615],0
p7,1,0.913892,0.011692,[7 6] ; [13 12],[6.84210526 6.15789474] ; [13.15789474 11.84210526],0
a1,1,0.923233,0.009286,[ 1 13] ; [ 2 23],[ 1.07692308 12.92307692] ; [ 1.92307692 23.07692308],0
n5,1,0.969655,0.001447,[10  4] ; [18  7],[10.05128205  3.94871795] ; [17.94871795  7.05128205],0
n1,1,1.0,0.0,[2 2] ; [3 3],[2. 2.] ; [3. 3.],0
