Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.444444,[25  5] ; [ 8 28],[15. 15.] ; [18. 18.],1
s8,1,0.002263,9.32306,[19 11] ; [ 9 26],[12.92307692 17.07692308] ; [15.07692308 19.92307692],0
s7,1,0.005742,7.629557,[20  9] ; [12 23],[14.5 14.5] ; [17.5 17.5],0
d4,1,0.007971,7.04,[29  1] ; [26 10],[25.  5.] ; [30.  6.],0
s6,1,0.012558,6.230329,[24  6] ; [17 17],[19.21875 10.78125] ; [21.78125 12.21875],0
p10,1,0.047101,3.941769,[25  5] ; [22 14],[21.36363636  8.63636364] ; [25.63636364 10.36363636],0
p3,1,0.053394,3.731538,[22  8] ; [18 18],[18.18181818 11.81818182] ; [21.81818182 14.18181818],0
n1,1,0.054319,3.702857,[6 4] ; [ 3 11],[3.75 6.25] ; [5.25 8.75],0
d1,1,0.062274,3.475752,[21  9] ; [17 19],[17.27272727 12.72727273] ; [20.72727273 15.27272727],0
d2,1,0.079478,3.075551,[19 11] ; [15 21],[15.45454545 14.54545455] ; [18.54545455 17.45454545],0
n2,1,0.080824,3.048259,[9 1] ; [8 6],[7.08333333 2.91666667] ; [9.91666667 4.08333333],0
a5,1,0.096386,2.764348,[24  6] ; [22 14],[20.90909091  9.09090909] ; [25.09090909 10.90909091],0
s4,1,0.117623,2.448696,[12 18] ; [ 8 28],[ 9.09090909 20.90909091] ; [10.90909091 25.09090909],0
n3,1,0.151494,2.057143,[6 4] ; [12  2],[7.5 2.5] ; [10.5  3.5],0
n6,1,0.166301,1.915972,[18 11] ; [28  8],[20.52307692  8.47692308] ; [25.47692308 10.52307692],0
u1,1,0.184625,1.76,[ 7 23] ; [ 4 32],[ 5. 25.] ; [ 6. 30.],0
s5,1,0.209729,1.573295,[13 14] ; [11 23],[10.62295082 16.37704918] ; [13.37704918 20.62295082],0
u3,1,0.223543,1.481481,[8 1] ; [10  5],[6.75 2.25] ; [11.25  3.75],0
a8,1,0.223544,1.481472,[ 1 28] ; [ 4 30],[ 2.3015873 26.6984127] ; [ 2.6984127 31.3015873],0
p2,1,0.235367,1.408128,[26  4] ; [27  9],[24.09090909  5.90909091] ; [28.90909091  7.09090909],0
r4,1,0.273766,1.197778,[26  4] ; [34  2],[27.27272727  2.72727273] ; [32.72727273  3.27272727],0
b5,1,0.294266,1.1,[18 12] ; [26 10],[20. 10.] ; [24. 12.],0
a3,1,0.326558,0.9625,[21  9] ; [21 15],[19.09090909 10.90909091] ; [22.90909091 13.09090909],0
p9,1,0.32885,0.953421,[24  6] ; [25 11],[22.27272727  7.72727273] ; [26.72727273  9.27272727],0
r1,1,0.37163,0.798208,[23  7] ; [24 12],[21.36363636  8.63636364] ; [25.63636364 10.36363636],0
d5,1,0.376384,0.78248,[25  5] ; [26  9],[23.53846154  6.46153846] ; [27.46153846  7.53846154],0
a1,1,0.39662,0.718548,[ 1 29] ; [ 3 33],[ 1.81818182 28.18181818] ; [ 2.18181818 33.81818182],0
p4,1,0.412076,0.672804,[22  8] ; [23 13],[20.45454545  9.54545455] ; [24.54545455 11.45454545],0
v1,1,0.447423,0.577172,[14 15] ; [14 22],[12.49230769 16.50769231] ; [15.50769231 20.49230769],0
p11,1,0.456561,0.554311,[20 10] ; [27  9],[21.36363636  8.63636364] ; [25.63636364 10.36363636],0
b1,1,0.471847,0.517647,[16 14] ; [16 20],[14.54545455 15.45454545] ; [17.45454545 18.54545455],0
a2,1,0.471847,0.517647,[ 9 21] ; [ 8 28],[ 7.72727273 22.27272727] ; [ 9.27272727 26.72727273],0
p7,1,0.492893,0.470204,[23  5] ; [27  9],[21.875  6.125] ; [28.125  7.875],0
v3,1,0.509609,0.434871,[ 6 23] ; [10 26],[ 7.13846154 21.86153846] ; [ 8.86153846 27.13846154],0
v2,1,0.523921,0.406167,[16 13] ; [17 19],[14.72307692 14.27692308] ; [18.27692308 17.72307692],0
d3,1,0.585679,0.297143,[24  6] ; [26  9],[23.07692308  6.92307692] ; [26.92307692  8.07692308],0
a7,1,0.631904,0.229488,[23  7] ; [25 10],[22.15384615  7.84615385] ; [25.84615385  9.15384615],0
a6,1,0.640374,0.218254,[20 10] ; [22 14],[19.09090909 10.90909091] ; [22.90909091 13.09090909],0
p1,1,0.709606,0.138671,[ 5 24] ; [ 5 31],[ 4.46153846 24.53846154] ; [ 5.53846154 30.46153846],0
b4,1,0.714613,0.133713,[17 13] ; [22 14],[17.72727273 12.27272727] ; [21.27272727 14.72727273],0
n4,1,0.787311,0.072794,[14 16] ; [18 18],[14.54545455 15.45454545] ; [17.45454545 18.54545455],0
p12,1,0.798885,0.064918,[ 2 28] ; [ 3 33],[ 2.27272727 27.72727273] ; [ 2.72727273 33.27272727],0
a4,1,0.822106,0.050551,[15 15] ; [17 19],[14.54545455 15.45454545] ; [17.45454545 18.54545455],0
r2,1,0.823041,0.050013,[27  2] ; [34  2],[27.21538462  1.78461538] ; [33.78461538  2.21538462],0
b2,1,0.837046,0.042302,[ 8 13] ; [ 7 13],[ 7.68292683 13.31707317] ; [ 7.31707317 12.68292683],0
b3,1,0.837046,0.042302,[ 8 13] ; [ 7 13],[ 7.68292683 13.31707317] ; [ 7.31707317 12.68292683],0
v4,1,0.850585,0.035484,[28  2] ; [34  2],[28.18181818  1.81818182] ; [33.81818182  2.18181818],0
p8,1,0.964084,0.002028,[16 14] ; [19 17],[15.90909091 14.09090909] ; [19.09090909 16.90909091],0
