Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.7e-05,18.521615,[98  6] ; [2 3],[95.41284404  8.58715596] ; [4.58715596 0.41284404],1
r2,1,5.6e-05,16.246039,[97  7] ; [2 3],[94.4587156  9.5412844] ; [4.5412844 0.4587156],1
d2,1,0.013764,6.06813,[17 87] ; [3 2],[19.08256881 84.91743119] ; [0.91743119 4.08256881],0
s6,1,0.072267,3.230769,[88 12] ; [3 2],[86.66666667 13.33333333] ; [4.33333333 0.66666667],0
p9,1,0.114406,2.492275,[86 14] ; [3 2],[84.76190476 15.23809524] ; [4.23809524 0.76190476],0
p7,1,0.148186,2.090822,[72 30] ; [2 3],[70.54205607 31.45794393] ; [3.45794393 1.54205607],0
a8,1,0.169222,1.889823,[16 83] ; [2 3],[17.13461538 81.86538462] ; [0.86538462 4.13461538],0
s2,1,0.189232,1.723584,[71 33] ; [2 3],[69.65137615 34.34862385] ; [3.34862385 1.65137615],0
r3,1,0.266413,1.235122,[97  7] ; [4 1],[96.36697248  7.63302752] ; [4.63302752 0.36697248],0
p10,1,0.277007,1.181715,[81 20] ; [3 2],[80.03773585 20.96226415] ; [3.96226415 1.03773585],0
s3,1,0.298459,1.081065,[65 38] ; [2 3],[63.89814815 39.10185185] ; [3.10185185 1.89814815],0
d5,1,0.322354,0.97937,[60 44] ; [4 1],[61.06422018 42.93577982] ; [2.93577982 2.06422018],0
p5,1,0.327523,0.958669,[22 81] ; [2 3],[22.88888889 80.11111111] ; [1.11111111 3.88888889],0
r1,1,0.327523,0.958669,[81 22] ; [3 2],[80.11111111 22.88888889] ; [3.88888889 1.11111111],0
a3,1,0.333785,0.934157,[60 43] ; [4 1],[61.03703704 41.96296296] ; [2.96296296 2.03703704],0
v3,1,0.405178,0.692904,[40 64] ; [1 4],[39.11926606 64.88073394] ; [1.88073394 3.11926606],0
p11,1,0.419316,0.652231,[79 25] ; [3 2],[78.23853211 25.76146789] ; [3.76146789 1.23853211],0
d4,1,0.500214,0.454481,[68 36] ; [4 1],[68.69724771 35.30275229] ; [3.30275229 1.69724771],0
p8,1,0.513761,0.4264,[56 46] ; [2 3],[55.28971963 46.71028037] ; [2.71028037 2.28971963],0
p4,1,0.513761,0.4264,[56 46] ; [2 3],[55.28971963 46.71028037] ; [2.71028037 2.28971963],0
p12,1,0.517228,0.419417,[11 92] ; [1 4],[11.44444444 91.55555556] ; [0.55555556 4.44444444],0
b2,1,0.571559,0.320081,[19 34] ; [2 2],[19.52631579 33.47368421] ; [1.47368421 2.52631579],0
b3,1,0.571559,0.320081,[19 34] ; [2 2],[19.52631579 33.47368421] ; [1.47368421 2.52631579],0
p1,1,0.575255,0.313969,[12 91] ; [1 4],[12.39814815 90.60185185] ; [0.60185185 4.39814815],0
v2,1,0.58705,0.294975,[54 49] ; [2 3],[53.40740741 49.59259259] ; [2.59259259 2.40740741],0
s7,1,0.609765,0.260518,[62 37] ; [2 2],[61.51456311 37.48543689] ; [2.48543689 1.51456311],0
v1,1,0.631605,0.22989,[52 50] ; [2 3],[51.47663551 50.52336449] ; [2.52336449 2.47663551],0
b5,1,0.632039,0.229307,[53 51] ; [2 3],[52.47706422 51.52293578] ; [2.52293578 2.47706422],0
n6,1,0.685765,0.163708,[89 14] ; [4 1],[88.69444444 14.30555556] ; [4.30555556 0.69444444],0
p3,1,0.708857,0.139422,[50 53] ; [2 3],[49.59259259 53.40740741] ; [2.40740741 2.59259259],0
n5,1,0.723342,0.125313,[75 28] ; [4 1],[75.34259259 27.65740741] ; [3.65740741 1.34259259],0
a6,1,0.723938,0.124751,[54 50] ; [3 2],[54.3853211 49.6146789] ; [2.6146789 2.3853211],0
n4,1,0.756847,0.095867,[76 27] ; [4 1],[76.2962963 26.7037037] ; [3.7037037 1.2962963],0
s8,1,0.772484,0.083594,[48 55] ; [2 3],[47.68518519 55.31481481] ; [2.31481481 2.68518519],0
b1,1,0.918711,0.010416,[44 60] ; [2 3],[43.88990826 60.11009174] ; [2.11009174 2.88990826],0
p6,1,0.924006,0.009099,[43 59] ; [2 3],[42.89719626 59.10280374] ; [2.10280374 2.89719626],0
d3,1,0.944953,0.004767,[40 64] ; [2 3],[40.0733945 63.9266055] ; [1.9266055 3.0733945],0
a7,1,0.944953,0.004767,[64 40] ; [3 2],[63.9266055 40.0733945] ; [3.0733945 1.9266055],0
a5,1,0.952379,0.003566,[61 43] ; [3 2],[61.06422018 42.93577982] ; [2.93577982 2.06422018],0
p2,1,0.97436,0.001033,[83 20] ; [4 1],[82.97222222 20.02777778] ; [4.02777778 0.97222222],0
