Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.004547,8.051144,[37 17] ; [43  4],[42.77227723 11.22772277] ; [37.22772277  9.77227723],0
b3,1,0.012286,6.269142,[ 5 22] ; [12 11],[ 9.18 17.82] ; [ 7.82 15.18],0
b2,1,0.012286,6.269142,[ 5 22] ; [12 11],[ 9.18 17.82] ; [ 7.82 15.18],0
a5,1,0.013529,6.098617,[26 28] ; [34 13],[32.07920792 21.92079208] ; [27.92079208 19.07920792],0
d1,1,0.022178,5.231747,[21 33] ; [29 18],[26.73267327 27.26732673] ; [23.26732673 23.73267327],0
p9,1,0.022699,5.19136,[38 14] ; [41  4],[42.35051546  9.64948454] ; [36.64948454  8.35051546],0
s4,1,0.02884,4.777114,[14 40] ; [22 25],[19.24752475 34.75247525] ; [16.75247525 30.24752475],0
v1,1,0.034715,4.459146,[19 32] ; [27 19],[24.18556701 26.81443299] ; [21.81443299 24.18556701],0
p10,1,0.040854,4.182079,[36 16] ; [39  6],[40.20618557 11.79381443] ; [34.79381443 10.20618557],0
a4,1,0.047877,3.914299,[12 42] ; [19 28],[16.57425743 37.42574257] ; [14.42574257 32.57425743],0
d5,1,0.053902,3.715747,[35 18] ; [39  8],[39.22 13.78] ; [34.78 12.22],0
b4,1,0.059844,3.5417,[28 26] ; [33 14],[32.61386139 21.38613861] ; [28.38613861 18.61386139],0
p3,1,0.061703,3.491001,[16 38] ; [22 24],[20.52 33.48] ; [17.48 28.52],0
a1,1,0.06242,3.471879,[ 1 53] ; [ 5 42],[ 3.20792079 50.79207921] ; [ 2.79207921 44.20792079],0
s6,1,0.078421,3.097333,[41 13] ; [42  5],[44.37623762  9.62376238] ; [38.62376238  8.37623762],0
n6,1,0.080805,3.048627,[29 24] ; [33 13],[33.19191919 19.80808081] ; [28.80808081 17.19191919],0
n3,1,0.082751,3.010033,[14  4] ; [9 9],[11.5  6.5] ; [11.5  6.5],0
