Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,46.383495,[95  9] ; [ 8 18],[82.4 21.6] ; [20.6  5.4],1
p11,1,4e-06,21.475039,[93 11] ; [13 13],[84.8 19.2] ; [21.2  4.8],1
a3,1,0.000417,12.454983,[77 26] ; [10 16],[69.46511628 33.53488372] ; [17.53488372  8.46511628],1
n5,1,0.000862,11.102246,[82 22] ; [12 14],[75.2 28.8] ; [18.8  7.2],1
p8,1,0.001123,10.612245,[72 32] ; [ 9 17],[64.8 39.2] ; [16.2  9.8],0
s1,1,0.005217,7.802579,[  1 103] ; [ 3 23],[  3.2 100.8] ; [ 0.8 25.2],0
p4,1,0.012844,6.190476,[78 26] ; [13 13],[72.8 31.2] ; [18.2  7.8],0
b1,1,0.017223,5.673491,[41 63] ; [17  9],[46.4 57.6] ; [11.6 14.4],0
v4,1,0.028541,4.795082,[100   4] ; [22  4],[97.6  6.4] ; [24.4  1.6],0
p2,1,0.035275,4.431818,[90 14] ; [18  8],[86.4 17.6] ; [21.6  4.4],0
v1,1,0.040537,4.195264,[62 40] ; [10 16],[57.375 44.625] ; [14.625 11.375],0
r4,1,0.047011,3.944998,[92 12] ; [19  7],[88.8 15.2] ; [22.2  3.8],0
n6,1,0.055255,3.674374,[88 16] ; [17  8],[84.65116279 19.34883721] ; [20.34883721  4.65116279],0
v2,1,0.05894,3.566957,[64 38] ; [11 15],[59.765625 42.234375] ; [15.234375 10.765625],0
r3,1,0.079411,3.076923,[96  8] ; [21  5],[93.6 10.4] ; [23.4  2.6],0
p7,1,0.08672,2.934239,[81 23] ; [16 10],[77.6 26.4] ; [19.4  6.6],0
a5,1,0.08672,2.934239,[81 23] ; [16 10],[77.6 26.4] ; [19.4  6.6],0
u3,1,0.10564,2.618257,[17 10] ; [ 6 10],[14.44186047 12.55813953] ; [8.55813953 7.44186047],0
s8,1,0.116881,2.458629,[32 72] ; [ 4 22],[28.8 75.2] ; [ 7.2 18.8],0
u2,1,0.122454,2.385643,[15 12] ; [ 5 11],[12.55813953 14.44186047] ; [7.44186047 8.55813953],0
b3,1,0.132855,2.258824,[31 37] ; [ 4 12],[28.33333333 39.66666667] ; [6.66666667 9.33333333],0
b2,1,0.132855,2.258824,[31 37] ; [ 4 12],[28.33333333 39.66666667] ; [6.66666667 9.33333333],0
p6,1,0.141377,2.162911,[41 62] ; [ 6 19],[37.8203125 65.1796875] ; [ 9.1796875 15.8203125],0
s5,1,0.145658,2.117148,[20 81] ; [ 2 24],[17.49606299 83.50393701] ; [ 4.50393701 21.49606299],0
a8,1,0.182671,1.775759,[12 76] ; [ 1 24],[10.12389381 77.87610619] ; [ 2.87610619 22.12389381],0
v3,1,0.220489,1.501188,[46 55] ; [ 8 17],[43.28571429 57.71428571] ; [10.71428571 14.28571429],0
a7,1,0.226605,1.462043,[80 24] ; [17  9],[77.6 26.4] ; [19.4  6.6],0
r1,1,0.226605,1.462043,[80 24] ; [17  9],[77.6 26.4] ; [19.4  6.6],0
a4,1,0.246001,1.345871,[45 59] ; [ 8 18],[42.4 61.6] ; [10.6 15.4],0
d5,1,0.246574,1.342608,[83 21] ; [18  8],[80.8 23.2] ; [20.2  5.8],0
p5,1,0.283762,1.148985,[11 92] ; [ 1 25],[ 9.58139535 93.41860465] ; [ 2.41860465 23.58139535],0
n2,1,0.415522,0.662946,[11  3] ; [5 3],[10.18181818  3.81818182] ; [5.81818182 2.18181818],0
b4,1,0.427931,0.628432,[55 49] ; [16 10],[56.8 47.2] ; [14.2 11.8],0
d1,1,0.429031,0.625445,[57 47] ; [12 14],[55.2 48.8] ; [13.8 12.2],0
a6,1,0.436876,0.604475,[76 28] ; [17  9],[74.4 29.6] ; [18.6  7.4],0
s2,1,0.45523,0.557598,[21 83] ; [ 7 19],[22.4 81.6] ; [ 5.6 20.4],0
d2,1,0.496614,0.462165,[40 63] ; [12 14],[41.51937984 61.48062016] ; [10.48062016 15.51937984],0
r2,1,0.528513,0.39725,[96  8] ; [23  3],[95.2  8.8] ; [23.8  2.2],0
s4,1,0.528513,0.39725,[ 8 96] ; [ 3 23],[ 8.8 95.2] ; [ 2.2 23.8],0
n3,1,0.530801,0.392857,[12  2] ; [6 2],[11.45454545  2.54545455] ; [6.54545455 1.45454545],0
a2,1,0.577973,0.309524,[21 83] ; [ 4 22],[20. 84.] ; [ 5. 21.],0
b5,1,0.597158,0.279303,[58 46] ; [13 13],[56.8 47.2] ; [14.2 11.8],0
u1,1,0.619506,0.246562,[16 88] ; [ 3 23],[15.2 88.8] ; [ 3.8 22.2],0
n4,1,0.65119,0.204403,[84 20] ; [22  4],[84.8 19.2] ; [21.2  4.8],0
n1,1,0.665362,0.187075,[ 4 10] ; [3 5],[4.45454545 9.54545455] ; [2.54545455 5.45454545],0
s7,1,0.742723,0.107748,[32 66] ; [ 7 17],[31.32786885 66.67213115] ; [ 7.67213115 16.32786885],0
s3,1,0.7923,0.06934,[29 74] ; [ 8 18],[29.54263566 73.45736434] ; [ 7.45736434 18.54263566],0
p1,1,0.794755,0.067673,[14 90] ; [ 3 23],[13.6 90.4] ; [ 3.4 22.6],0
d3,1,0.85212,0.03475,[70 34] ; [17  9],[69.6 34.4] ; [17.4  8.6],0
d4,1,1.0,0.0,[80 24] ; [20  6],[80. 24.] ; [20.  6.],0
a1,1,1.0,0.0,[  4 100] ; [ 1 25],[  4. 100.] ; [ 1. 25.],0
