Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,25.281433,[ 71 181] ; [118 116],[ 98. 154.] ; [ 91. 143.],1
v2,1,2e-06,22.642205,[110 140] ; [154  81],[136.08247423 113.91752577] ; [127.91752577 107.08247423],1
n5,1,3.8e-05,16.955871,[165  96] ; [194  49],[185.91071429  75.08928571] ; [173.08928571  69.91071429],1
p3,1,0.000229,13.572868,[ 86 177] ; [119 125],[106.34122288 156.65877712] ; [ 98.65877712 145.34122288],1
p4,1,0.002033,9.519285,[107 154] ; [133 110],[124.28571429 136.71428571] ; [115.71428571 127.28571429],0
p2,1,0.002601,9.068136,[194  70] ; [206  38],[207.87401575  56.12598425] ; [192.12598425  51.87401575],0
b3,1,0.002649,9.034384,[ 32 109] ; [61 96],[44.0033557 96.9966443] ; [ 48.9966443 108.0033557],0
b2,1,0.002649,9.034384,[ 32 109] ; [61 96],[44.0033557 96.9966443] ; [ 48.9966443 108.0033557],0
p9,1,0.006853,7.311199,[196  62] ; [207  35],[207.948  50.052] ; [195.052  46.948],0
p5,1,0.010476,6.552085,[ 11 253] ; [ 24 217],[ 18.2970297 245.7029703] ; [ 16.7029703 224.2970297],0
a5,1,0.014193,6.013929,[180  84] ; [190  54],[192.28346457  71.71653543] ; [177.71653543  66.28346457],0
s2,1,0.015309,5.880588,[106 156] ; [123 117],[119.51792829 142.48207171] ; [109.48207171 130.51792829],0
n4,1,0.020589,5.361227,[179  84] ; [187  55],[190.60990099  72.39009901] ; [175.39009901  66.60990099],0
s8,1,0.021977,5.247622,[ 87 176] ; [104 138],[ 99.47128713 163.52871287] ; [ 91.52871287 150.47128713],0
a3,1,0.023394,5.138994,[171  93] ; [180  63],[182.76923077  81.23076923] ; [168.23076923  74.76923077],0
n6,1,0.025918,4.961492,[207  57] ; [209  34],[216.61538462  47.38461538] ; [199.38461538  43.61538462],0
v4,1,0.02743,4.86352,[251  12] ; [240   3],[255.20355731   7.79644269] ; [235.79644269   7.20355731],0
p8,1,0.0334,4.525174,[100 161] ; [115 126],[111.78286853 149.21713147] ; [103.21713147 137.78286853],0
p10,1,0.035823,4.405491,[192  69] ; [197  45],[201.84691849  59.15308151] ; [187.15308151  54.84691849],0
b5,1,0.042096,4.131352,[151 113] ; [161  83],[162.14173228 101.85826772] ; [149.85826772  94.14173228],0
s6,1,0.045244,4.009504,[153 107] ; [162  78],[163.8  96.2] ; [151.2  88.8],0
p1,1,0.048675,3.886523,[  9 253] ; [ 18 226],[ 13.98023715 248.01976285] ; [ 13.01976285 230.98023715],0
s7,1,0.063474,3.444206,[ 93 156] ; [106 126],[103.01663202 145.98336798] ; [ 95.98336798 136.01663202],0
a4,1,0.067838,3.33458,[101 163] ; [112 130],[111.13043478 152.86956522] ; [101.86956522 140.13043478],0
s5,1,0.07239,3.227982,[ 65 192] ; [ 77 159],[ 74.02434077 182.97565923] ; [ 67.97565923 168.02434077],0
p12,1,0.074497,3.18105,[ 10 253] ; [ 18 224],[ 14.58217822 248.41782178] ; [ 13.41782178 228.58217822],0
b1,1,0.07913,3.082688,[103 161] ; [ 77 167],[ 93.54330709 170.45669291] ; [ 86.45669291 157.54330709],0
p11,1,0.080506,3.05466,[196  68] ; [197  47],[204.23622047  59.76377953] ; [188.76377953  55.23622047],0
a8,1,0.089814,2.877707,[ 28 216] ; [ 37 181],[ 34.32900433 209.67099567] ; [ 30.67099567 187.32900433],0
u4,1,0.123824,2.368269,[  2 262] ; [  6 238],[  4.15748031 259.84251969] ; [  3.84251969 240.15748031],0
p7,1,0.128712,2.307975,[127 132] ; [134 106],[135.46893788 123.53106212] ; [125.53106212 114.46893788],0
n2,1,0.132002,2.268805,[54 20] ; [39  7],[57.35 16.65] ; [35.65 10.35],0
r1,1,0.136739,2.214283,[218  45] ; [212  30],[223.94059406  39.05940594] ; [206.05940594  35.94059406],0
u3,1,0.140488,2.172607,[46 45] ; [40 24],[50.49032258 40.50967742] ; [35.50967742 28.49032258],0
s1,1,0.177977,1.814438,[ 11 250] ; [  5 234],[  8.352 252.648] ; [  7.648 231.352],0
r2,1,0.207121,1.591439,[254   9] ; [239   4],[256.243083   6.756917] ; [236.756917   6.243083],0
a2,1,0.221293,1.495966,[ 54 210] ; [ 61 183],[ 59.76377953 204.23622047] ; [ 55.23622047 188.76377953],0
u1,1,0.264708,1.243966,[ 37 227] ; [ 43 201],[ 41.57480315 222.42519685] ; [ 38.42519685 205.57480315],0
d2,1,0.360015,0.837839,[115 147] ; [117 127],[120.12648221 141.87351779] ; [111.87351779 132.12648221],0
d1,1,0.372944,0.793832,[140 124] ; [139 105],[144.99212598 119.00787402] ; [134.00787402 109.99212598],0
b4,1,0.395001,0.72349,[157 107] ; [136 108],[152.26771654 111.73228346] ; [140.73228346 103.26771654],0
