Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,66.219545,[ 7 79] ; [60 28],[33.11494253 52.88505747] ; [33.88505747 54.11494253],1
s6,1,1e-06,24.56992,[24 62] ; [57 30],[40.26589595 45.73410405] ; [40.73410405 46.26589595],1
s7,1,0.00056,11.904762,[14 66] ; [34 46],[24. 56.] ; [24. 56.],1
s4,1,0.001677,9.87276,[ 7 79] ; [23 65],[14.82758621 71.17241379] ; [15.17241379 72.82758621],0
d4,1,0.00193,9.614907,[54 32] ; [72 14],[63. 23.] ; [63. 23.],0
s8,1,0.002278,9.311109,[13 73] ; [31 57],[21.74712644 64.25287356] ; [22.25287356 65.74712644],0
r3,1,0.002619,9.055404,[63 23] ; [79  8],[70.58959538 15.41040462] ; [71.41040462 15.58959538],0
n2,1,0.004891,7.91926,[15 16] ; [27  6],[20.34375 10.65625] ; [21.65625 11.34375],0
s5,1,0.012646,6.217983,[ 9 75] ; [21 61],[15.18072289 68.81927711] ; [14.81927711 67.18072289],0
v4,1,0.020547,5.364839,[64 22] ; [75 10],[69.90643275 16.09356725] ; [69.09356725 15.90643275],0
u3,1,0.03342,4.524148,[15 17] ; [24  9],[19.2 12.8] ; [19.8 13.2],0
r2,1,0.035689,4.411885,[66 19] ; [77  9],[71.08187135 13.91812865] ; [71.91812865 14.08187135],0
p7,1,0.046407,3.966746,[34 52] ; [45 37],[40.44047619 45.55952381] ; [38.55952381 43.44047619],0
p10,1,0.046771,3.953606,[39 45] ; [53 33],[45.45882353 38.54117647] ; [46.54117647 39.45882353],0
u2,1,0.056416,3.639721,[17 15] ; [25  8],[20.67692308 11.32307692] ; [21.32307692 11.67692308],0
d3,1,0.093244,2.817461,[45 40] ; [57 30],[50.40697674 34.59302326] ; [51.59302326 35.40697674],0
a2,1,0.115232,2.480963,[16 70] ; [ 9 79],[12.35632184 73.64367816] ; [12.64367816 75.35632184],0
r4,1,0.116269,2.466871,[54 32] ; [65 23],[58.81609195 27.18390805] ; [60.18390805 27.81609195],0
p3,1,0.132532,2.262592,[24 61] ; [34 53],[28.6627907 56.3372093] ; [29.3372093 57.6627907],0
p2,1,0.199695,1.644607,[51 34] ; [61 27],[55.02890173 29.97109827] ; [56.97109827 31.02890173],0
d1,1,0.212816,1.552166,[33 53] ; [42 46],[37.06896552 48.93103448] ; [37.93103448 50.06896552],0
p11,1,0.228514,1.450088,[43 43] ; [52 36],[46.95402299 39.04597701] ; [48.04597701 39.95402299],0
r1,1,0.232165,1.427549,[55 31] ; [63 24],[58.65895954 27.34104046] ; [59.34104046 27.65895954],0
a7,1,0.253401,1.304457,[58 28] ; [52 36],[54.36781609 31.63218391] ; [55.63218391 32.36781609],0
p6,1,0.259256,1.272727,[15 69] ; [21 63],[18. 66.] ; [18. 66.],0
b1,1,0.28585,1.139067,[48 38] ; [42 46],[44.48275862 41.51724138] ; [45.51724138 42.48275862],0
p9,1,0.315789,1.006308,[49 36] ; [56 30],[52.19298246 32.80701754] ; [52.80701754 33.19298246],0
d5,1,0.34462,0.893169,[63 23] ; [58 29],[60.15028902 25.84971098] ; [60.84971098 26.15028902],0
a4,1,0.365009,0.820584,[33 53] ; [28 60],[30.14942529 55.85057471] ; [30.85057471 57.14942529],0
d2,1,0.492847,0.470304,[35 51] ; [31 56],[32.80924855 53.19075145] ; [33.19075145 53.80924855],0
s1,1,0.502303,0.450068,[ 4 82] ; [ 6 79],[ 5.02923977 80.97076023] ; [ 4.97076023 80.02923977],0
p4,1,0.504464,0.445532,[30 55] ; [35 52],[32.12209302 52.87790698] ; [32.87790698 54.12209302],0
n5,1,0.521881,0.410174,[34 51] ; [39 48],[36.0755814 48.9244186] ; [36.9244186 50.0755814],0
b5,1,0.555321,0.34787,[48 38] ; [53 35],[49.91954023 36.08045977] ; [51.08045977 36.91954023],0
a1,1,0.577444,0.310386,[ 5 81] ; [ 7 81],[ 5.93103448 80.06896552] ; [ 6.06896552 81.93103448],0
b3,1,0.603113,0.270326,[14 34] ; [12 37],[12.86597938 35.13402062] ; [13.13402062 35.86597938],0
b2,1,0.603113,0.270326,[14 34] ; [12 37],[12.86597938 35.13402062] ; [13.13402062 35.86597938],0
n3,1,0.646807,0.20995,[18 12] ; [21 11],[18.87096774 11.12903226] ; [20.12903226 11.87096774],0
