Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4.3e-05,16.735335,[20  4] ; [27 49],[11.28 12.72] ; [35.72 40.28],1
s4,1,0.001258,10.402545,[10 16] ; [ 8 68],[ 4.58823529 21.41176471] ; [13.41176471 62.58823529],0
s2,1,0.003008,8.802811,[16 10] ; [22 54],[ 9.68627451 16.31372549] ; [28.31372549 47.68627451],0
s7,1,0.004508,8.066856,[14 11] ; [18 54],[ 8.24742268 16.75257732] ; [23.75257732 48.24742268],0
p6,1,0.007491,7.151351,[12 12] ; [16 58],[ 6.85714286 17.14285714] ; [21.14285714 52.85714286],0
v1,1,0.012502,6.238294,[16  9] ; [27 49],[10.64356436 14.35643564] ; [32.35643564 43.64356436],0
p7,1,0.02031,5.385053,[19  6] ; [36 37],[14.03061224 10.96938776] ; [40.96938776 32.03061224],0
v4,1,0.02204,5.242625,[25  1] ; [56 18],[21.06  4.94] ; [59.94 14.06],0
p2,1,0.023857,5.105022,[21  4] ; [45 31],[16.33663366  8.66336634] ; [49.66336634 26.33663366],0
r3,1,0.02742,4.864139,[24  2] ; [54 22],[19.88235294  6.11764706] ; [58.11764706 17.88235294],0
p8,1,0.039556,4.236825,[14 11] ; [25 51],[ 9.65346535 15.34653465] ; [29.34653465 46.65346535],0
r1,1,0.041161,4.169387,[18  8] ; [35 41],[13.50980392 12.49019608] ; [39.49019608 36.50980392],0
p3,1,0.06016,3.532955,[10 15] ; [16 60],[ 6.43564356 18.56435644] ; [19.56435644 56.43564356],0
p12,1,0.061041,3.508864,[ 3 22] ; [ 2 74],[ 1.23762376 23.76237624] ; [ 3.76237624 72.23762376],0
r4,1,0.065388,3.395159,[20  6] ; [43 33],[16.05882353  9.94117647] ; [46.94117647 29.05882353],0
n2,1,0.069498,3.294828,[9 1] ; [17 12],[6.66666667 3.33333333] ; [19.33333333  9.66666667],0
s3,1,0.088076,2.909189,[17  9] ; [34 40],[13.26 12.74] ; [37.74 36.26],0
d5,1,0.106316,2.60814,[15 11] ; [30 46],[11.47058824 14.52941176] ; [33.52941176 42.47058824],0
b4,1,0.112273,2.521926,[18  8] ; [39 37],[14.52941176 11.47058824] ; [42.47058824 33.52941176],0
p5,1,0.157892,1.994302,[ 4 21] ; [ 5 70],[ 2.25 22.75] ; [ 6.75 68.25],0
p10,1,0.162797,1.948052,[17  8] ; [39 36],[14. 11.] ; [42. 33.],0
p11,1,0.169109,1.890822,[19  7] ; [44 32],[16.05882353  9.94117647] ; [46.94117647 29.05882353],0
p1,1,0.171798,1.86718,[ 4 22] ; [ 5 71],[ 2.29411765 23.70588235] ; [ 6.70588235 69.29411765],0
p4,1,0.178657,1.808757,[14 11] ; [30 44],[11.11111111 13.88888889] ; [32.88888889 41.11111111],0
d4,1,0.191217,1.708215,[16 10] ; [35 40],[13.12871287 12.87128713] ; [37.87128713 37.12871287],0
u3,1,0.199386,1.64687,[9 7] ; [17 28],[6.81967213 9.18032787] ; [19.18032787 25.81967213],0
r2,1,0.231802,1.42977,[22  4] ; [54 20],[19.76  6.24] ; [56.24 17.76],0
p9,1,0.234257,1.414827,[18  7] ; [44 31],[15.5  9.5] ; [46.5 28.5],0
n1,1,0.280986,1.162315,[5 5] ; [ 9 20],[3.58974359 6.41025641] ; [10.41025641 18.58974359],0
b5,1,0.29902,1.078558,[12 14] ; [44 32],[14.2745098 11.7254902] ; [41.7254902 34.2745098],0
d3,1,0.319906,0.989332,[11 15] ; [24 52],[ 8.92156863 17.07843137] ; [26.07843137 49.92156863],0
b3,1,0.342782,0.9,[ 2 13] ; [12 36],[ 3.33333333 11.66666667] ; [10.66666667 37.33333333],0
b2,1,0.342782,0.9,[ 2 13] ; [12 36],[ 3.33333333 11.66666667] ; [10.66666667 37.33333333],0
n4,1,0.35779,0.845634,[19  7] ; [48 28],[17.07843137  8.92156863] ; [49.92156863 26.07843137],0
a6,1,0.418042,0.655813,[ 9 17] ; [20 56],[ 7.39215686 18.60784314] ; [21.60784314 54.39215686],0
u1,1,0.421819,0.645243,[ 1 25] ; [ 1 75],[ 0.50980392 25.49019608] ; [ 1.49019608 74.50980392],0
a1,1,0.445209,0.582821,[ 2 24] ; [ 3 73],[ 1.2745098 24.7254902] ; [ 3.7254902 72.2745098],0
s1,1,0.454508,0.559385,[ 2 24] ; [ 3 72],[ 1.28712871 24.71287129] ; [ 3.71287129 71.28712871],0
n3,1,0.522421,0.409111,[4 6] ; [15 14],[4.87179487 5.12820513] ; [14.12820513 14.87179487],0
n5,1,0.524658,0.404727,[19  6] ; [52 23],[17.75  7.25] ; [53.25 21.75],0
s8,1,0.564905,0.331282,[ 8 18] ; [19 57],[ 6.88235294 19.11764706] ; [20.11764706 55.88235294],0
d1,1,0.6227,0.242091,[ 4 22] ; [15 61],[ 4.84313725 21.15686275] ; [14.15686275 61.84313725],0
u2,1,0.701704,0.146705,[8 8] ; [20 25],[7.3442623 8.6557377] ; [20.6557377 24.3442623],0
v2,1,0.800441,0.063896,[10 15] ; [26 44],[ 9.47368421 15.52631579] ; [26.52631579 43.47368421],0
b1,1,0.816668,0.053746,[13 13] ; [36 40],[12.49019608 13.50980392] ; [36.50980392 39.49019608],0
d2,1,0.843422,0.039013,[ 7 19] ; [22 54],[ 7.39215686 18.60784314] ; [21.60784314 54.39215686],0
v3,1,0.924081,0.009081,[ 6 20] ; [18 57],[ 6.17821782 19.82178218] ; [17.82178218 57.17821782],0
n6,1,0.934057,0.006846,[17  8] ; [51 25],[16.83168317  8.16831683] ; [51.16831683 24.83168317],0
a8,1,0.944098,0.004917,[ 2 23] ; [ 6 65],[ 2.08333333 22.91666667] ; [ 5.91666667 65.08333333],0
a3,1,0.94441,0.004862,[10 15] ; [31 45],[10.14851485 14.85148515] ; [30.85148515 45.14851485],0
