Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,2.7e-05,17.593502,[36 11] ; [11 25],[26.61445783 20.38554217] ; [20.38554217 15.61445783],1
p3,1,0.001279,10.371963,[27 20] ; [ 8 28],[19.81927711 27.18072289] ; [15.18072289 20.81927711],0
a3,1,0.004859,7.931174,[34 13] ; [15 21],[27.74698795 19.25301205] ; [21.25301205 14.74698795],0
b3,1,0.005868,7.590491,[15 13] ; [ 4 20],[10.23076923 17.76923077] ; [ 8.76923077 15.23076923],0
b2,1,0.005868,7.590491,[15 13] ; [ 4 20],[10.23076923 17.76923077] ; [ 8.76923077 15.23076923],0
r1,1,0.012795,6.197225,[38  9] ; [20 16],[32.84337349 14.15662651] ; [25.15662651 10.84337349],0
a4,1,0.016013,5.801416,[12 35] ; [ 2 34],[ 7.92771084 39.07228916] ; [ 6.07228916 29.92771084],0
v3,1,0.020852,5.33909,[22 25] ; [ 8 28],[16.98795181 30.01204819] ; [13.01204819 22.98795181],0
s5,1,0.026774,4.905312,[23 23] ; [ 9 26],[18.17283951 27.82716049] ; [13.82716049 21.17283951],0
d2,1,0.036341,4.381023,[16 31] ; [ 5 31],[11.89156627 35.10843373] ; [ 9.10843373 26.89156627],0
p9,1,0.046563,3.961119,[41  6] ; [25 11],[37.37349398  9.62650602] ; [28.62650602  7.37349398],0
s7,1,0.055546,3.665612,[32 14] ; [17 18],[27.82716049 18.17283951] ; [21.17283951 13.82716049],0
d1,1,0.063796,3.43585,[ 7 40] ; [ 1 35],[ 4.53012048 42.46987952] ; [ 3.46987952 32.53012048],0
b4,1,0.069908,3.285185,[29 18] ; [15 21],[24.91566265 22.08433735] ; [19.08433735 16.91566265],0
a7,1,0.070911,3.261797,[35 12] ; [20 16],[31.14457831 15.85542169] ; [23.85542169 12.14457831],0
r4,1,0.083338,2.998563,[42  5] ; [27  9],[39.07228916  7.92771084] ; [29.92771084  6.07228916],0
p2,1,0.085048,2.965687,[39  8] ; [24 12],[35.6746988 11.3253012] ; [27.3253012  8.6746988],0
d4,1,0.111947,2.52652,[34 13] ; [20 16],[30.57831325 16.42168675] ; [23.42168675 12.57831325],0
s8,1,0.12165,2.395948,[25 22] ; [13 23],[21.51807229 25.48192771] ; [16.48192771 19.51807229],0
s1,1,0.124918,2.354553,[ 2 44] ; [ 5 31],[ 3.92682927 42.07317073] ; [ 3.07317073 32.92682927],0
p8,1,0.130274,2.289233,[30 17] ; [17 19],[26.61445783 20.38554217] ; [20.38554217 15.61445783],0
p7,1,0.136224,2.220103,[27 20] ; [25  9],[30.17283951 16.82716049] ; [21.82716049 12.17283951],0
s6,1,0.140713,2.170147,[38  9] ; [24 12],[35.10843373 11.89156627] ; [26.89156627  9.10843373],0
d3,1,0.154139,2.0308,[27 20] ; [15 21],[23.78313253 23.21686747] ; [18.21686747 17.78313253],0
p4,1,0.188409,1.730017,[29 18] ; [17 19],[26.04819277 20.95180723] ; [19.95180723 16.04819277],0
n3,1,0.201352,1.63254,[6 2] ; [4 5],[4.70588235 3.29411765] ; [5.29411765 3.70588235],0
p10,1,0.238611,1.388784,[39  8] ; [26 10],[36.80722892 10.19277108] ; [28.19277108  7.80722892],0
u3,1,0.274748,1.192886,[9 4] ; [10 10],[7.48484848 5.51515152] ; [11.51515152  8.48484848],0
n4,1,0.279154,1.171206,[34 13] ; [22 14],[31.71084337 15.28915663] ; [24.28915663 11.71084337],0
v2,1,0.336306,0.924464,[22 24] ; [13 22],[19.87654321 26.12345679] ; [15.12345679 19.87654321],0
b1,1,0.361423,0.832944,[23 24] ; [14 22],[20.95180723 26.04819277] ; [16.04819277 19.95180723],0
p6,1,0.392402,0.731487,[20 27] ; [12 24],[18.12048193 28.87951807] ; [13.87951807 22.12048193],0
r2,1,0.392643,0.730743,[42  5] ; [29  6],[40.69512195  6.30487805] ; [30.30487805  4.69512195],0
p5,1,0.392643,0.730743,[ 5 42] ; [ 6 29],[ 6.30487805 40.69512195] ; [ 4.69512195 30.30487805],0
p12,1,0.40891,0.681966,[ 5 42] ; [ 2 34],[ 3.96385542 43.03614458] ; [ 3.03614458 32.96385542],0
a1,1,0.447242,0.577631,[ 3 44] ; [ 1 35],[ 2.26506024 44.73493976] ; [ 1.73493976 34.26506024],0
n5,1,0.464439,0.535175,[36 11] ; [25 11],[34.54216867 12.45783133] ; [26.45783133  9.54216867],0
p11,1,0.464439,0.535175,[36 11] ; [25 11],[34.54216867 12.45783133] ; [26.45783133  9.54216867],0
v1,1,0.487108,0.482908,[24 22] ; [16 20],[22.43902439 23.56097561] ; [17.56097561 18.43902439],0
n1,1,0.490168,0.476157,[3 5] ; [2 7],[2.35294118 5.64705882] ; [2.64705882 6.35294118],0
