Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,5.8e-05,16.154449,[18 14] ; [13 61],[ 9.35849057 22.64150943] ; [21.64150943 52.35849057],1
s8,1,0.003508,8.522463,[11 21] ; [ 9 72],[ 5.66371681 26.33628319] ; [14.33628319 66.66371681],0
p2,1,0.007549,7.13744,[22 10] ; [34 49],[15.5826087 16.4173913] ; [40.4173913 42.5826087],0
s3,1,0.016098,5.792159,[19 11] ; [31 51],[13.39285714 16.60714286] ; [36.60714286 45.39285714],0
n1,1,0.026479,4.924454,[10  4] ; [14 24],[6.46153846 7.53846154] ; [17.53846154 20.46153846],0
s2,1,0.028174,4.817396,[15 17] ; [21 61],[10.10526316 21.89473684] ; [25.89473684 56.10526316],0
a8,1,0.028952,4.77046,[ 6 22] ; [ 5 71],[ 2.96153846 25.03846154] ; [ 8.03846154 67.96153846],0
b5,1,0.032732,4.55975,[25  7] ; [47 36],[20.03478261 11.96521739] ; [51.96521739 31.03478261],0
v4,1,0.044043,4.054899,[28  4] ; [56 25],[23.78761062  8.21238938] ; [60.21238938 20.78761062],0
a3,1,0.047227,3.937295,[22  8] ; [43 39],[17.41071429 12.58928571] ; [47.58928571 34.41071429],0
s6,1,0.055842,3.656756,[19 13] ; [32 49],[14.44247788 17.55752212] ; [36.55752212 44.44247788],0
a4,1,0.102172,2.671309,[17 14] ; [31 51],[13.16814159 17.83185841] ; [34.83185841 47.16814159],0
s5,1,0.103494,2.650855,[ 7 23] ; [ 9 72],[ 4.32432432 25.67567568] ; [11.67567568 69.32432432],0
n3,1,0.106,2.612863,[11  4] ; [17 18],[8.4 6.6] ; [19.6 15.4],0
n5,1,0.114617,2.489378,[21 10] ; [42 40],[17.28318584 13.71681416] ; [45.71681416 36.28318584],0
u4,1,0.128224,2.313876,[ 2 30] ; [ 1 82],[ 0.83478261 31.16521739] ; [ 2.16521739 80.83478261],0
p3,1,0.12943,2.299325,[15 17] ; [26 56],[11.50877193 20.49122807] ; [29.49122807 52.50877193],0
b4,1,0.146902,2.104126,[21 11] ; [42 41],[17.53043478 14.46956522] ; [45.46956522 37.53043478],0
r2,1,0.162028,1.955195,[28  3] ; [64 17],[25.46428571  5.53571429] ; [66.53571429 14.46428571],0
a2,1,0.168957,1.892172,[10 22] ; [16 67],[ 7.23478261 24.76521739] ; [18.76521739 64.23478261],0
p1,1,0.17009,1.882147,[ 5 27] ; [ 6 77],[ 3.06086957 28.93913043] ; [ 7.93913043 75.06086957],0
p6,1,0.183838,1.76632,[ 8 23] ; [12 68],[ 5.58558559 25.41441441] ; [14.41441441 65.58558559],0
p4,1,0.189419,1.722132,[15 16] ; [29 54],[11.96491228 19.03508772] ; [32.03508772 50.96491228],0
r3,1,0.205651,1.601779,[26  6] ; [57 25],[23.29824561  8.70175439] ; [59.70175439 22.29824561],0
p5,1,0.219366,1.508511,[ 3 29] ; [ 3 79],[ 1.68421053 30.31578947] ; [ 4.31578947 77.68421053],0
a5,1,0.234326,1.414408,[22 10] ; [47 36],[19.2 12.8] ; [49.8 33.2],0
d4,1,0.235479,1.407456,[24  7] ; [54 28],[21.39823009  9.60176991] ; [56.60176991 25.39823009],0
n2,1,0.272186,1.205699,[10  5] ; [19 19],[8.20754717 6.79245283] ; [20.79245283 17.20754717],0
p7,1,0.279243,1.170768,[14 18] ; [27 55],[11.50877193 20.49122807] ; [29.49122807 52.50877193],0
r4,1,0.282298,1.155993,[22 10] ; [48 35],[19.47826087 12.52173913] ; [50.52173913 32.47826087],0
d1,1,0.38103,0.767377,[16 16] ; [34 49],[13.91304348 18.08695652] ; [36.08695652 46.91304348],0
a1,1,0.452921,0.563331,[ 2 30] ; [ 9 74],[ 3.06086957 28.93913043] ; [ 7.93913043 75.06086957],0
