Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.001742,9.803435,[ 8 17] ; [28 11],[14.0625 10.9375] ; [21.9375 17.0625],0
s5,1,0.00278,8.946357,[ 3 22] ; [18 19],[ 8.46774194 16.53225806] ; [12.53225806 24.46774194],0
s2,1,0.007548,7.137752,[11 16] ; [28 10],[16.2 10.8] ; [22.8 15.2],0
p2,1,0.007921,7.051282,[25  2] ; [25 14],[20.45454545  6.54545455] ; [29.54545455  9.45454545],0
s8,1,0.018846,5.515727,[ 8 19] ; [23 16],[12.68181818 14.31818182] ; [18.31818182 20.68181818],0
p10,1,0.023014,5.16746,[15 12] ; [31  7],[19.10769231  7.89230769] ; [26.89230769 11.10769231],0
u3,1,0.027439,4.862981,[5 7] ; [8 1],[7.42857143 4.57142857] ; [5.57142857 3.42857143],0
v1,1,0.030695,4.669931,[ 9 18] ; [23 15],[13.29230769 13.70769231] ; [18.70769231 19.29230769],0
s3,1,0.030937,4.656433,[12 15] ; [27 11],[16.2 10.8] ; [22.8 15.2],0
d4,1,0.043578,4.072821,[17 10] ; [33  6],[20.45454545  6.54545455] ; [29.54545455  9.45454545],0
a3,1,0.044052,4.054581,[15 12] ; [30  8],[18.69230769  8.30769231] ; [26.30769231 11.69230769],0
p9,1,0.051192,3.801968,[18  9] ; [33  5],[21.18461538  5.81538462] ; [29.81538462  8.18461538],0
v3,1,0.061385,3.499555,[ 6 21] ; [17 21],[ 9.55384615 17.44615385] ; [13.44615385 24.55384615],0
n1,1,0.064012,3.430262,[2 7] ; [7 4],[4.05 4.95] ; [4.95 6.05],0
n5,1,0.074346,3.184368,[16 11] ; [31  8],[19.22727273  7.77272727] ; [27.77272727 11.22727273],0
n4,1,0.08124,3.039924,[17 10] ; [32  7],[20.04545455  6.95454545] ; [28.95454545 10.04545455],0
r4,1,0.090802,2.860099,[21  6] ; [36  3],[23.31818182  3.68181818] ; [33.68181818  5.31818182],0
b1,1,0.120963,2.404802,[ 8 19] ; [19 20],[11.04545455 15.95454545] ; [15.95454545 23.04545455],0
a5,1,0.132465,2.263374,[13 14] ; [26 13],[15.95454545 11.04545455] ; [23.04545455 15.95454545],0
p1,1,0.144299,2.131502,[ 2 25] ; [ 8 31],[ 4.09090909 22.90909091] ; [ 5.90909091 33.09090909],0
d5,1,0.159241,1.981421,[15 11] ; [29 10],[17.6  8.4] ; [26.4 12.6],0
n6,1,0.163977,1.937165,[19  8] ; [33  6],[21.27272727  5.72727273] ; [30.72727273  8.27272727],0
p11,1,0.173417,1.853154,[15 12] ; [28 11],[17.59090909  9.40909091] ; [25.40909091 13.59090909],0
n3,1,0.216522,1.527273,[8 2] ; [6 5],[6.66666667 3.33333333] ; [7.33333333 3.66666667],0
r1,1,0.21812,1.516697,[17 10] ; [30  9],[19.22727273  7.77272727] ; [27.77272727 11.22727273],0
n2,1,0.222969,1.48516,[7 3] ; [10  1],[8.0952381 1.9047619] ; [8.9047619 2.0952381],0
b5,1,0.241586,1.371318,[18  9] ; [31  8],[20.04545455  6.95454545] ; [28.95454545 10.04545455],0
v2,1,0.264377,1.24569,[13 14] ; [23 14],[15.1875 11.8125] ; [20.8125 16.1875],0
b2,1,0.309078,1.034612,[7 5] ; [11 16],[5.53846154 6.46153846] ; [12.46153846 14.53846154],0
b3,1,0.309078,1.034612,[7 5] ; [11 16],[5.53846154 6.46153846] ; [12.46153846 14.53846154],0
r2,1,0.353021,0.86257,[25  2] ; [38  1],[25.77272727  1.22727273] ; [37.22727273  1.77272727],0
v4,1,0.353021,0.86257,[25  2] ; [38  1],[25.77272727  1.22727273] ; [37.22727273  1.77272727],0
b4,1,0.398861,0.711757,[11 16] ; [20 19],[12.68181818 14.31818182] ; [18.31818182 20.68181818],0
a4,1,0.448811,0.573654,[10 17] ; [11 28],[ 8.59090909 18.40909091] ; [12.40909091 26.59090909],0
p8,1,0.486445,0.48438,[13 14] ; [15 23],[11.63076923 15.36923077] ; [16.36923077 21.63076923],0
a1,1,0.504325,0.445823,[ 1 26] ; [ 3 36],[ 1.63636364 25.36363636] ; [ 2.36363636 36.63636364],0
u1,1,0.52558,0.40293,[ 5 22] ; [ 5 34],[ 4.09090909 22.90909091] ; [ 5.90909091 33.09090909],0
s1,1,0.551598,0.354462,[ 1 24] ; [ 3 36],[ 1.5625 23.4375] ; [ 2.4375 36.5625],0
a2,1,0.555127,0.348211,[ 4 23] ; [ 8 31],[ 4.90909091 22.09090909] ; [ 7.09090909 31.90909091],0
r3,1,0.702801,0.145575,[25  2] ; [37  2],[25.36363636  1.63636364] ; [36.63636364  2.36363636],0
a6,1,0.705765,0.142544,[18  9] ; [27 11],[18.69230769  8.30769231] ; [26.30769231 11.69230769],0
d3,1,0.729494,0.119577,[13 12] ; [22 17],[13.671875 11.328125] ; [21.328125 17.671875],0
d1,1,0.732334,0.11698,[12 15] ; [19 20],[12.68181818 14.31818182] ; [18.31818182 20.68181818],0
d2,1,0.744383,0.106312,[10 17] ; [16 23],[10.63636364 16.36363636] ; [15.36363636 23.63636364],0
p3,1,0.750774,0.100882,[ 8 19] ; [13 26],[ 8.59090909 18.40909091] ; [12.40909091 26.59090909],0
a7,1,0.75293,0.099085,[17  9] ; [24 15],[16.4  9.6] ; [24.6 14.4],0
