Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.019456,5.460022,[122   9] ; [8 3],[119.92957746  11.07042254] ; [10.07042254  0.92957746],0
v3,1,0.028948,4.770681,[62 63] ; [ 2 10],[58.39416058 66.60583942] ; [5.60583942 6.39416058],0
d1,1,0.029922,4.713747,[76 56] ; [3 9],[72.41666667 59.58333333] ; [6.58333333 5.41666667],0
d2,1,0.030307,4.691818,[65 67] ; [ 2 10],[61.41666667 70.58333333] ; [5.58333333 6.41666667],0
r2,1,0.031231,4.640207,[121   9] ; [9 3],[119.01408451  10.98591549] ; [10.98591549  1.01408451],0
r3,1,0.031231,4.640207,[121   9] ; [9 3],[119.01408451  10.98591549] ; [10.98591549  1.01408451],0
r1,1,0.036621,4.367941,[108  22] ; [7 5],[105.28169014  24.71830986] ; [9.71830986 2.28169014],0
s1,1,0.049659,3.852937,[  5 125] ; [ 2 10],[  6.4084507 123.5915493] ; [ 0.5915493 11.4084507],0
b4,1,0.049818,3.847589,[72 60] ; [3 9],[68.75 63.25] ; [6.25 5.75],0
a3,1,0.064753,3.41126,[98 33] ; [6 6],[95.27272727 35.72727273] ; [8.72727273 3.27272727],0
s7,1,0.09423,2.800583,[28 95] ; [5 6],[30.29104478 92.70895522] ; [2.70895522 8.29104478],0
s2,1,0.097361,2.74825,[ 27 103] ; [5 7],[ 29.29577465 100.70422535] ; [2.70422535 9.29577465],0
r4,1,0.105645,2.618182,[112  20] ; [8 4],[110.  22.] ; [10.  2.],0
b3,1,0.108062,2.582337,[43 42] ; [1 5],[41.0989011 43.9010989] ; [2.9010989 3.0989011],0
b2,1,0.108062,2.582337,[43 42] ; [1 5],[41.0989011 43.9010989] ; [2.9010989 3.0989011],0
s5,1,0.134903,2.235154,[ 21 109] ; [4 8],[ 22.88732394 107.11267606] ; [2.11267606 9.88732394],0
a7,1,0.148662,2.085927,[92 39] ; [6 6],[89.77622378 41.22377622] ; [8.22377622 3.77622378],0
p8,1,0.156498,2.007746,[70 58] ; [4 8],[67.65714286 60.34285714] ; [6.34285714 5.65714286],0
p11,1,0.176422,1.827506,[109  23] ; [8 4],[107.25  24.75] ; [9.75 2.25],0
a6,1,0.18036,1.794652,[91 41] ; [6 6],[88.91666667 43.08333333] ; [8.08333333 3.91666667],0
v2,1,0.230379,1.438519,[86 42] ; [6 6],[84.11428571 43.88571429] ; [7.88571429 4.11428571],0
p9,1,0.252685,1.308397,[104  25] ; [8 4],[102.46808511  26.53191489] ; [9.53191489 2.46808511],0
p3,1,0.258302,1.277834,[64 65] ; [8 4],[65.87234043 63.12765957] ; [6.12765957 5.87234043],0
p2,1,0.341477,0.904878,[111  19] ; [9 3],[109.85915493  20.14084507] ; [10.14084507  1.85915493],0
n6,1,0.386903,0.748652,[101  29] ; [8 4],[99.78873239 30.21126761] ; [9.21126761 2.78873239],0
d4,1,0.407512,0.686048,[102  30] ; [8 4],[100.83333333  31.16666667] ; [9.16666667 2.83333333],0
u2,1,0.45102,0.568087,[17 17] ; [2 4],[16.15 17.85] ; [2.85 3.15],0
n2,1,0.470027,0.521912,[17  6] ; [1 1],[16.56  6.44] ; [1.44 0.56],0
d5,1,0.486234,0.484848,[98 34] ; [10  2],[99. 33.] ; [9. 3.],0
b1,1,0.540818,0.374026,[54 78] ; [6 6],[55. 77.] ; [5. 7.],0
b5,1,0.540818,0.374026,[78 54] ; [6 6],[77. 55.] ; [7. 5.],0
n4,1,0.545555,0.36534,[99 32] ; [10  2],[99.85314685 31.14685315] ; [9.14685315 2.85314685],0
a1,1,0.5591,0.341265,[  6 126] ; [ 1 11],[  6.41666667 125.58333333] ; [ 0.58333333 11.41666667],0
a5,1,0.56862,0.324998,[98 34] ; [8 4],[97.16666667 34.83333333] ; [8.83333333 3.16666667],0
s3,1,0.634056,0.226601,[35 95] ; [4 8],[35.70422535 94.29577465] ; [3.29577465 8.70422535],0
p4,1,0.643606,0.214057,[74 56] ; [6 6],[73.23943662 56.76056338] ; [6.76056338 5.23943662],0
u3,1,0.686884,0.162479,[20 14] ; [3 3],[19.55 14.45] ; [3.45 2.55],0
p7,1,0.719337,0.129129,[82 47] ; [7 5],[81.42553191 47.57446809] ; [7.57446809 4.42553191],0
a4,1,0.762222,0.091545,[61 71] ; [5 7],[60.5 71.5] ; [5.5 6.5],0
u1,1,0.830881,0.045613,[ 19 113] ; [ 2 10],[ 19.25 112.75] ; [ 1.75 10.25],0
a8,1,0.837381,0.042126,[ 13 104] ; [ 1 10],[ 12.796875 104.203125] ; [1.203125 9.796875],0
d3,1,0.874765,0.02484,[85 47] ; [8 4],[85.25 46.75] ; [7.75 4.25],0
p10,1,0.891429,0.018631,[99 30] ; [9 3],[98.80851064 30.19148936] ; [9.19148936 2.80851064],0
p6,1,0.895939,0.017107,[40 87] ; [4 8],[40.20143885 86.79856115] ; [3.79856115 8.20143885],0
n5,1,0.942411,0.005219,[97 34] ; [9 3],[97.1048951 33.8951049] ; [8.8951049 3.1048951],0
s8,1,0.954144,0.003307,[34 98] ; [3 9],[33.91666667 98.08333333] ; [3.08333333 8.91666667],0
