Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,23.306427,[40  4] ; [12 19],[30.50666667 13.49333333] ; [21.49333333  9.50666667],1
a5,1,0.007292,7.199626,[32 14] ; [12 19],[26.28571429 19.71428571] ; [17.71428571 13.28571429],0
s6,1,0.010148,6.608795,[24 19] ; [ 8 23],[18.59459459 24.40540541] ; [13.40540541 17.59459459],0
p9,1,0.046845,3.950956,[41  4] ; [23  8],[37.89473684  7.10526316] ; [26.10526316  4.89473684],0
d2,1,0.051998,3.775821,[22 24] ; [ 8 23],[17.92207792 28.07792208] ; [12.07792208 18.92207792],0
a4,1,0.059475,3.551975,[20 26] ; [ 7 24],[16.12987013 29.87012987] ; [10.87012987 20.12987013],0
n6,1,0.078917,3.08707,[32 11] ; [17 14],[28.47297297 14.52702703] ; [20.52702703 10.47297297],0
a7,1,0.084355,2.978931,[22 24] ; [21 10],[25.68831169 20.31168831] ; [17.31168831 13.68831169],0
p1,1,0.090786,2.860384,[ 7 39] ; [ 1 30],[ 4.77922078 41.22077922] ; [ 3.22077922 27.77922078],0
s7,1,0.105323,2.623031,[22 21] ; [10 21],[18.59459459 24.40540541] ; [13.40540541 17.59459459],0
p3,1,0.112187,2.523142,[18 27] ; [ 7 24],[14.80263158 30.19736842] ; [10.19736842 20.80263158],0
u3,1,0.135575,2.227482,[ 5 10] ; [8 5],[6.96428571 8.03571429] ; [6.03571429 6.96428571],0
n2,1,0.160485,1.96965,[14  3] ; [9 6],[12.21875  4.78125] ; [10.78125  4.21875],0
p11,1,0.164148,1.935595,[35 11] ; [19 12],[32.25974026 13.74025974] ; [21.74025974  9.25974026],0
u2,1,0.168201,1.898901,[6 8] ; [9 4],[7.77777778 6.22222222] ; [7.22222222 5.77777778],0
a6,1,0.177988,1.814342,[25 21] ; [12 19],[22.1038961 23.8961039] ; [14.8961039 16.1038961],0
v2,1,0.1812,1.787753,[20 24] ; [ 9 21],[17.24324324 26.75675676] ; [11.75675676 18.24324324],0
v3,1,0.198496,1.653404,[13 32] ; [ 5 26],[10.65789474 34.34210526] ; [ 7.34210526 23.65789474],0
s8,1,0.226267,1.464174,[16 29] ; [ 7 24],[13.61842105 31.38157895] ; [ 9.38157895 21.61842105],0
r3,1,0.234297,1.414585,[30 12] ; [18 13],[27.61643836 14.38356164] ; [20.38356164 10.61643836],0
d1,1,0.239863,1.381397,[21 25] ; [10 21],[18.51948052 27.48051948] ; [12.48051948 18.51948052],0
s2,1,0.250655,1.319648,[20 24] ; [10 21],[17.6 26.4] ; [12.4 18.6],0
s4,1,0.26984,1.21756,[ 7 38] ; [ 8 23],[ 8.88157895 36.11842105] ; [ 6.11842105 24.88157895],0
p5,1,0.323946,0.972949,[ 8 37] ; [ 3 28],[ 6.51315789 38.48684211] ; [ 4.48684211 26.51315789],0
a1,1,0.339438,0.912553,[ 4 42] ; [ 1 30],[ 2.98701299 43.01298701] ; [ 2.01298701 28.98701299],0
s3,1,0.354805,0.856199,[20 22] ; [11 19],[18.08333333 23.91666667] ; [12.91666667 17.08333333],0
a3,1,0.404071,0.696178,[31 15] ; [18 13],[29.27272727 16.72727273] ; [19.72727273 11.27272727],0
p7,1,0.441477,0.592442,[24 19] ; [14 16],[22.38356164 20.61643836] ; [15.61643836 14.38356164],0
d5,1,0.451449,0.567011,[32 14] ; [19 12],[30.46753247 15.53246753] ; [20.53246753 10.46753247],0
a8,1,0.500952,0.452918,[ 3 40] ; [ 1 29],[ 2.35616438 40.64383562] ; [ 1.64383562 28.35616438],0
d3,1,0.502413,0.449836,[24 22] ; [18 12],[25.42105263 20.57894737] ; [16.57894737 13.42105263],0
d4,1,0.556625,0.345582,[34 12] ; [21 10],[32.85714286 13.14285714] ; [22.14285714  8.85714286],0
p8,1,0.578267,0.309044,[17 29] ; [13 17],[18.15789474 27.84210526] ; [11.84210526 18.15789474],0
n3,1,0.623233,0.241349,[10  7] ; [7 7],[9.32258065 7.67741935] ; [7.67741935 6.32258065],0
v4,1,0.645732,0.211323,[28 13] ; [22  8],[28.87323944 12.12676056] ; [21.12676056  8.87323944],0
n1,1,0.647434,0.20915,[ 7 10] ; [ 5 10],[ 6.375 10.625] ; [5.625 9.375],0
a2,1,0.652083,0.203284,[ 6 40] ; [ 3 28],[ 5.37662338 40.62337662] ; [ 3.62337662 27.37662338],0
p4,1,0.683522,0.166188,[21 24] ; [13 18],[20.13157895 24.86842105] ; [13.86842105 17.13157895],0
p6,1,0.686008,0.163441,[12 33] ; [ 7 24],[11.25 33.75] ; [ 7.75 23.25],0
r1,1,0.71295,0.135349,[16 28] ; [10 21],[15.25333333 28.74666667] ; [10.74666667 20.25333333],0
b1,1,0.74446,0.106245,[22 24] ; [16 15],[22.7012987 23.2987013] ; [15.2987013 15.7012987],0
b2,1,0.771618,0.084251,[11 20] ; [ 5 11],[10.55319149 20.44680851] ; [ 5.44680851 10.55319149],0
b3,1,0.771618,0.084251,[11 20] ; [ 5 11],[10.55319149 20.44680851] ; [ 5.44680851 10.55319149],0
r2,1,0.776876,0.080311,[26 15] ; [20 10],[26.56338028 14.43661972] ; [19.43661972 10.56338028],0
p12,1,0.788232,0.07215,[ 1 44] ; [ 1 30],[ 1.18421053 43.81578947] ; [ 0.81578947 30.18421053],0
s1,1,0.802948,0.062267,[ 2 44] ; [ 1 30],[ 1.79220779 44.20779221] ; [ 1.20779221 29.79220779],0
s5,1,0.867904,0.027663,[ 9 34] ; [ 6 25],[ 8.71621622 34.28378378] ; [ 6.28378378 24.71621622],0
b4,1,0.876265,0.024244,[29 17] ; [19 12],[28.67532468 17.32467532] ; [19.32467532 11.67532468],0
u1,1,0.883159,0.021599,[ 4 42] ; [ 3 28],[ 4.18181818 41.81818182] ; [ 2.81818182 28.18181818],0
b5,1,0.889583,0.019274,[23 23] ; [16 15],[23.2987013 22.7012987] ; [15.7012987 15.2987013],0
p2,1,0.936972,0.006253,[33 11] ; [23  8],[32.85333333 11.14666667] ; [23.14666667  7.85333333],0
v1,1,0.942805,0.005147,[17 26] ; [12 19],[16.85135135 26.14864865] ; [12.14864865 18.85135135],0
