Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,103.984991,[230 166] ; [ 57 237],[164.71304348 231.28695652] ; [122.28695652 171.71304348],1
v1,1,0.0,50.448979,[262 136] ; [114 181],[215.94227994 182.05772006] ; [160.05772006 134.94227994],1
r3,1,1e-06,23.256579,[395   9] ; [270  33],[380.  24.] ; [285.  18.],1
a5,1,2.3e-05,17.907531,[321  84] ; [197 106],[296.31355932 108.68644068] ; [221.68644068  81.31355932],1
r1,1,2.4e-05,17.87884,[349  55] ; [222  79],[327.21134752  76.78865248] ; [243.78865248  57.21134752],1
p3,1,2.7e-05,17.598652,[224 177] ; [120 181],[196.5014245 204.4985755] ; [147.4985755 153.5014245],1
d1,1,0.000297,13.088506,[260 146] ; [153 150],[236.49929478 169.50070522] ; [176.50070522 126.49929478],1
p10,1,0.000357,12.745164,[332  69] ; [213  85],[312.65379113  88.34620887] ; [232.34620887  65.65379113],1
p7,1,0.00049,12.152233,[267 128] ; [161 134],[245.01449275 149.98550725] ; [182.98550725 112.01449275],1
s8,1,0.000518,12.048846,[190 212] ; [103 198],[167.54765292 234.45234708] ; [125.45234708 175.54765292],1
s7,1,0.000609,11.74785,[201 184] ; [112 176],[179.0564636 205.9435364] ; [133.9435364 154.0564636],1
p9,1,0.001222,10.456108,[343  57] ; [227  71],[326.64756447  73.35243553] ; [243.35243553  54.64756447],0
r4,1,0.001304,10.337499,[381  25] ; [263  40],[368.77856135  37.22143865] ; [275.22143865  27.77856135],0
p11,1,0.001315,10.320708,[331  75] ; [216  87],[313.23272214  92.76727786] ; [233.76727786  69.23272214],0
d5,1,0.001359,10.261239,[342  63] ; [225  76],[325.26203966  79.73796034] ; [241.73796034  59.26203966],0
p4,1,0.001615,9.942049,[249 150] ; [152 149],[228.57 170.43] ; [172.43 128.57],0
p2,1,0.001768,9.776238,[344  58] ; [229  71],[328.12820513  73.87179487] ; [244.87179487  55.12820513],0
d4,1,0.003342,8.610474,[343  60] ; [230  71],[328.00994318  74.99005682] ; [244.99005682  56.00994318],0
a3,1,0.004138,8.222232,[304 100] ; [196 104],[286.93181818 117.06818182] ; [213.06818182  86.93181818],0
s2,1,0.004625,8.020364,[204 199] ; [120 181],[185.47159091 217.52840909] ; [138.52840909 162.47159091],0
p8,1,0.005791,7.614309,[222 174] ; [137 164],[203.96556671 192.03443329] ; [155.03443329 145.96556671],0
d3,1,0.006376,7.440965,[284 120] ; [182 119],[267.04113475 136.95886525] ; [198.95886525 102.04113475],0
s1,1,0.009182,6.787068,[  8 392] ; [ 17 281],[ 14.32664756 385.67335244] ; [ 10.67335244 287.32664756],0
n6,1,0.011311,6.415828,[344  57] ; [237  65],[331.40967283  69.59032717] ; [249.59032717  52.40967283],0
n3,1,0.014171,6.016678,[61 18] ; [46 32],[53.84076433 25.15923567] ; [53.15923567 24.84076433],0
p6,1,0.014939,5.923691,[154 242] ; [ 90 210],[138.82758621 257.17241379] ; [105.17241379 194.82758621],0
p12,1,0.016205,5.780444,[ 38 363] ; [ 14 286],[ 29.74607703 371.25392297] ; [ 22.25392297 277.74607703],0
a6,1,0.019707,5.437642,[287 116] ; [190 112],[272.66808511 130.33191489] ; [204.33191489  97.66808511],0
s6,1,0.022096,5.238224,[259 140] ; [168 130],[244.43758967 154.56241033] ; [182.56241033 115.43758967],0
u1,1,0.022345,5.218684,[ 80 326] ; [ 40 263],[ 68.71650212 337.28349788] ; [ 51.28349788 251.71650212],0
a7,1,0.027504,4.858891,[303 100] ; [205  98],[289.97733711 113.02266289] ; [218.02266289  84.97733711],0
a2,1,0.045514,3.999493,[108 298] ; [ 61 242],[ 96.77574048 309.22425952] ; [ 72.22425952 230.77574048],0
b1,1,0.051934,3.777903,[145 261] ; [130 173],[157.47531735 248.52468265] ; [117.52468265 185.47531735],0
s5,1,0.054148,3.708118,[131 261] ; [ 79 218],[119.47750363 272.52249637] ; [ 90.52249637 206.47750363],0
n2,1,0.057986,3.594085,[61 17] ; [53 29],[55.575 22.425] ; [58.425 23.575],0
v4,1,0.11337,2.506603,[389  15] ; [283  19],[384.54390935  19.45609065] ; [287.45609065  14.54390935],0
d2,1,0.134957,2.234542,[207 196] ; [137 163],[197.20056899 205.79943101] ; [146.79943101 153.20056899],0
n4,1,0.135205,2.231704,[326  79] ; [229  73],[317.92786421  87.07213579] ; [237.07213579  64.92786421],0
u4,1,0.20351,1.617004,[ 11 395] ; [  4 299],[  8.58956276 397.41043724] ; [  6.41043724 296.58956276],0
b4,1,0.223045,1.48467,[241 165] ; [166 137],[233.06346968 172.93653032] ; [173.93653032 129.06346968],0
n5,1,0.260895,1.263999,[307  94] ; [220  82],[300.60739687 100.39260313] ; [226.39260313  75.60739687],0
s3,1,0.430151,0.622415,[213 185] ; [151 148],[207.8507891 190.1492109] ; [156.1492109 142.8507891],0
u2,1,0.547796,0.36128,[57 43] ; [56 50],[54.85436893 45.14563107] ; [58.14563107 47.85436893],0
b3,1,0.56621,0.329066,[106 152] ; [ 71 114],[103.08352144 154.91647856] ; [ 73.91647856 111.08352144],0
b2,1,0.56621,0.329066,[106 152] ; [ 71 114],[103.08352144 154.91647856] ; [ 73.91647856 111.08352144],0
n1,1,0.651909,0.203502,[30 47] ; [34 46],[31.38853503 45.61146497] ; [32.61146497 47.38853503],0
a8,1,0.663413,0.189404,[ 55 308] ; [ 39 241],[ 53.06687403 309.93312597] ; [ 40.93312597 239.06687403],0
a4,1,0.715014,0.133321,[182 222] ; [131 169],[179.61931818 224.38068182] ; [133.38068182 166.61931818],0
a1,1,0.718751,0.129693,[ 24 382] ; [ 16 287],[ 22.90550071 383.09449929] ; [ 17.09449929 285.90550071],0
p1,1,0.758114,0.094838,[ 35 369] ; [ 28 272],[ 36.15340909 367.84659091] ; [ 26.84659091 273.15340909],0
b5,1,0.833455,0.044214,[238 168] ; [180 123],[239.36248237 166.63751763] ; [178.63751763 124.36248237],0
u3,1,0.856682,0.032616,[59 43] ; [60 46],[58.35576923 43.64423077] ; [60.64423077 45.35576923],0
