Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,23.99007,[165  17] ; [22 15],[155.40639269  26.59360731] ; [31.59360731  5.40639269],1
p10,1,5e-06,20.655864,[147  33] ; [16 19],[136.46511628  43.53488372] ; [26.53488372  8.46511628],1
p9,1,8.5e-05,15.435095,[152  28] ; [20 16],[143.33333333  36.66666667] ; [28.66666667  7.33333333],1
v4,1,0.00011,14.964926,[167  15] ; [24 11],[160.19354839  21.80645161] ; [30.80645161  4.19354839],1
p11,1,0.000348,12.7949,[148  34] ; [20 17],[139.61643836  42.38356164] ; [28.38356164  8.61643836],1
r4,1,0.0004,12.532396,[151  31] ; [21 16],[142.94063927  39.05936073] ; [29.05936073  7.94063927],1
r3,1,0.00071,11.463591,[165  17] ; [26 11],[158.73059361  23.26940639] ; [32.26940639  4.73059361],1
s8,1,0.001305,10.33478,[97 85] ; [ 9 28],[88.0913242 93.9086758] ; [17.9086758 19.0913242],0
a5,1,0.001573,9.990627,[132  50] ; [17 20],[123.82648402  58.17351598] ; [25.17351598 11.82648402],0
p8,1,0.002322,9.275695,[94 84] ; [ 9 27],[85.6728972 92.3271028] ; [17.3271028 18.6728972],0
p7,1,0.004027,8.271743,[115  63] ; [14 22],[107.29906542  70.70093458] ; [21.70093458 14.29906542],0
p2,1,0.006065,7.530841,[146  34] ; [21 14],[139.81395349  40.18604651] ; [27.18604651  7.81395349],0
d4,1,0.01506,5.909464,[138  43] ; [21 16],[132.01376147  48.98623853] ; [26.98623853 10.01376147],0
a3,1,0.017518,5.64375,[134  48] ; [20 17],[127.98173516  54.01826484] ; [26.01826484 10.98173516],0
p4,1,0.020396,5.377655,[103  77] ; [13 23],[96.66666667 83.33333333] ; [19.33333333 16.66666667],0
d5,1,0.028772,4.781233,[139  42] ; [22 15],[133.67431193  47.32568807] ; [27.32568807  9.67431193],0
p3,1,0.030801,4.663999,[96 85] ; [12 24],[90.08294931 90.91705069] ; [17.91705069 18.08294931],0
s6,1,0.034238,4.482798,[118  58] ; [18 19],[112.37558685  63.62441315] ; [23.62441315 13.37558685],0
b1,1,0.037958,4.306906,[84 98] ; [24 13],[89.75342466 92.24657534] ; [18.24657534 18.75342466],0
