Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,5.8e-05,16.165675,[13  2] ; [ 6 21],[6.78571429 8.21428571] ; [12.21428571 14.78571429],1
p7,1,0.000393,12.5637,[10  4] ; [ 4 22],[4.9 9.1] ; [ 9.1 16.9],1
p6,1,0.000813,11.211667,[8 7] ; [ 2 25],[ 3.57142857 11.42857143] ; [ 6.42857143 20.57142857],1
r4,1,0.000813,11.211667,[8 7] ; [ 2 25],[ 3.57142857 11.42857143] ; [ 6.42857143 20.57142857],1
v2,1,0.002967,8.827385,[7 8] ; [ 2 25],[ 3.21428571 11.78571429] ; [ 5.78571429 21.21428571],0
s2,1,0.006285,7.466667,[9 6] ; [ 5 22],[ 5. 10.] ; [ 9. 18.],0
p11,1,0.006398,7.43463,[11  4] ; [ 8 19],[6.78571429 8.21428571] ; [12.21428571 14.78571429],0
p10,1,0.007556,7.135758,[12  3] ; [10 17],[7.85714286 7.14285714] ; [14.14285714 12.85714286],0
n6,1,0.008649,6.893879,[13  1] ; [14 13],[9.2195122 4.7804878] ; [17.7804878  9.2195122],0
p3,1,0.018068,5.589586,[9 6] ; [ 6 20],[5.48780488 9.51219512] ; [ 9.51219512 16.48780488],0
a7,1,0.025675,4.977778,[12  3] ; [12 15],[8.57142857 6.42857143] ; [15.42857143 11.57142857],0
s6,1,0.029342,4.747436,[9 6] ; [ 7 20],[5.71428571 9.28571429] ; [10.28571429 16.71428571],0
p5,1,0.035579,4.417151,[ 5 10] ; [ 2 24],[ 2.56097561 12.43902439] ; [ 4.43902439 21.56097561],0
v4,1,0.040424,4.2,[13  2] ; [15 12],[10.  5.] ; [18.  9.],0
p2,1,0.047439,3.929733,[10  5] ; [ 9 17],[6.95121951 8.04878049] ; [12.04878049 13.95121951],0
v1,1,0.054687,3.691608,[9 6] ; [ 8 19],[6.07142857 8.92857143] ; [10.92857143 16.07142857],0
d3,1,0.065624,3.389213,[13  2] ; [16 11],[10.35714286  4.64285714] ; [18.64285714  8.35714286],0
a4,1,0.06726,3.348643,[6 9] ; [18  8],[8.7804878 6.2195122] ; [15.2195122 10.7804878],0
s7,1,0.072731,3.220286,[8 7] ; [ 6 18],[5.38461538 9.61538462] ; [ 8.61538462 15.38461538],0
s1,1,0.084721,2.97193,[ 3 12] ; [ 1 26],[ 1.42857143 13.57142857] ; [ 2.57142857 24.42857143],0
p9,1,0.116626,2.462063,[11  4] ; [12 13],[8.625 6.375] ; [14.375 10.625],0
s5,1,0.148252,2.09014,[6 9] ; [ 5 21],[ 4.02439024 10.97560976] ; [ 6.97560976 19.02439024],0
a1,1,0.194924,1.68,[ 1 14] ; [ 6 21],[ 2.5 12.5] ; [ 4.5 22.5],0
b3,1,0.212977,1.551073,[3 9] ; [ 9 10],[4.64516129 7.35483871] ; [ 7.35483871 11.64516129],0
b2,1,0.212977,1.551073,[3 9] ; [ 9 10],[4.64516129 7.35483871] ; [ 7.35483871 11.64516129],0
r1,1,0.231123,1.433939,[9 6] ; [11 16],[7.14285714 7.85714286] ; [12.85714286 14.14285714],0
b5,1,0.247943,1.334859,[10  5] ; [13 14],[8.21428571 6.78571429] ; [14.78571429 12.21428571],0
s8,1,0.280087,1.166667,[ 5 10] ; [ 5 22],[ 3.57142857 11.42857143] ; [ 6.42857143 20.57142857],0
d5,1,0.280087,1.166667,[10  5] ; [22  5],[11.42857143  3.57142857] ; [20.57142857  6.42857143],0
n2,1,0.33235,0.939719,[6 2] ; [7 6],[4.95238095 3.04761905] ; [8.04761905 4.95238095],0
v3,1,0.344471,0.893722,[6 9] ; [ 7 20],[ 4.64285714 10.35714286] ; [ 8.35714286 18.64285714],0
b4,1,0.352567,0.864198,[10  5] ; [14 13],[8.57142857 6.42857143] ; [15.42857143 11.57142857],0
d2,1,0.355358,0.85423,[7 8] ; [16 10],[8.41463415 6.58536585] ; [14.58536585 11.41463415],0
d4,1,0.359397,0.84,[12  3] ; [18  9],[10.71428571  4.28571429] ; [19.28571429  7.71428571],0
a3,1,0.4603,0.545165,[12  3] ; [23  3],[12.80487805  2.19512195] ; [22.19512195  3.80487805],0
d1,1,0.46118,0.54303,[9 6] ; [13 14],[7.85714286 7.14285714] ; [14.14285714 12.85714286],0
n5,1,0.482096,0.494118,[13  2] ; [21  6],[12.14285714  2.85714286] ; [21.85714286  5.14285714],0
u1,1,0.530736,0.392982,[ 2 13] ; [ 2 25],[ 1.42857143 13.57142857] ; [ 2.57142857 24.42857143],0
s4,1,0.537471,0.380247,[ 4 11] ; [ 5 22],[ 3.21428571 11.78571429] ; [ 5.78571429 21.21428571],0
a6,1,0.654293,0.200531,[11  4] ; [18  9],[10.35714286  4.64285714] ; [18.64285714  8.35714286],0
b1,1,0.665706,0.186667,[9 6] ; [18  9],[9.64285714 5.35714286] ; [17.35714286  9.64285714],0
n1,1,0.697161,0.151442,[5 3] ; [7 6],[4.57142857 3.42857143] ; [7.42857143 5.57142857],0
s3,1,0.717146,0.131243,[6 8] ; [10 17],[5.46341463 8.53658537] ; [10.53658537 16.46341463],0
n4,1,0.74591,0.105,[11  4] ; [21  6],[11.42857143  3.57142857] ; [20.57142857  6.42857143],0
r2,1,0.769297,0.086022,[12  3] ; [19  6],[11.625  3.375] ; [19.375  5.625],0
p1,1,0.83126,0.045405,[ 2 13] ; [ 3 24],[ 1.78571429 13.21428571] ; [ 3.21428571 23.78571429],0
n3,1,0.852179,0.034722,[3 5] ; [5 7],[3.2 4.8] ; [4.8 7.2],0
a2,1,0.866446,0.028283,[ 3 12] ; [ 6 21],[ 3.21428571 11.78571429] ; [ 5.78571429 21.21428571],0
