Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.0,48.846665,[  9 105] ; [81 91],[35.87412587 78.12587413] ; [ 54.12587413 117.87412587],1
p8,1,0.0,47.145127,[25 88] ; [110  63],[53.33916084 59.66083916] ; [81.66083916 91.33916084],1
p2,1,3e-06,21.860219,[74 40] ; [153  21],[89.85416667 24.14583333] ; [137.14583333  36.85416667],1
p4,1,1.9e-05,18.285722,[39 74] ; [105  69],[56.69686411 56.30313589] ; [87.30313589 86.69686411],1
p3,1,0.000115,14.868435,[34 80] ; [92 82],[49.875 64.125] ; [76.125 97.875],1
s7,1,0.000168,14.162437,[32 76] ; [87 78],[47.07692308 60.92307692] ; [71.92307692 93.07692308],1
p10,1,0.001966,9.580598,[73 40] ; [140  33],[84.15734266 28.84265734] ; [128.84265734  44.15734266],0
s3,1,0.003051,8.776976,[45 65] ; [102  71],[57.13780919 52.86219081] ; [89.86219081 83.13780919],0
r3,1,0.003606,8.472421,[101  13] ; [168   5],[106.85017422   7.14982578] ; [162.14982578  10.85017422],0
n5,1,0.004752,7.971657,[69 45] ; [131  41],[79.72027972 34.27972028] ; [120.27972028  51.72027972],0
s5,1,0.006111,7.517402,[22 85] ; [ 62 110],[32.21505376 74.78494624] ; [ 51.78494624 120.21505376],0
p9,1,0.008047,7.023018,[78 36] ; [141  31],[87.29370629 26.70629371] ; [131.70629371  40.29370629],0
s1,1,0.010968,6.470523,[ 10 101] ; [  4 169],[  5.47183099 105.52816901] ; [  8.52816901 164.47183099],0
n6,1,0.013489,6.103823,[80 33] ; [143  29],[88.41754386 24.58245614] ; [134.58245614  37.41754386],0
p5,1,0.014139,6.020682,[  6 108] ; [ 25 148],[ 12.31358885 101.68641115] ; [ 18.68641115 154.31358885],0
s6,1,0.021268,5.304686,[64 49] ; [119  51],[73.07067138 39.92932862] ; [109.92932862  60.07067138],0
s2,1,0.02896,4.769962,[38 72] ; [83 91],[46.86619718 63.13380282] ; [74.13380282 99.86619718],0
p11,1,0.029992,4.709778,[79 35] ; [140  34],[86.6875 27.3125] ; [132.3125  41.6875],0
b1,1,0.032868,4.552632,[38 76] ; [80 94],[46.70833333 67.29166667] ; [ 71.29166667 102.70833333],0
v2,1,0.034967,4.446772,[48 58] ; [98 70],[56.48175182 49.51824818] ; [89.51824818 78.48175182],0
u1,1,0.034972,4.446519,[  1 113] ; [ 10 164],[  4.35416667 109.64583333] ; [  6.64583333 167.35416667],0
s8,1,0.039072,4.257732,[34 80] ; [ 72 100],[42.25174825 71.74825175] ; [ 63.74825175 108.25174825],0
b4,1,0.049175,3.869357,[73 41] ; [91 83],[64.91666667 49.08333333] ; [99.08333333 74.91666667],0
r4,1,0.051551,3.790278,[101  13] ; [165   9],[105.29166667   8.70833333] ; [160.70833333  13.29166667],0
a6,1,0.082135,3.02215,[74 40] ; [95 79],[66.89583333 47.10416667] ; [102.10416667  71.89583333],0
n3,1,0.082171,3.021429,[19 12] ; [32  8],[22.26760563  8.73239437] ; [28.73239437 11.26760563],0
v3,1,0.105617,2.618615,[33 75] ; [ 69 103],[39.34285714 68.65714286] ; [ 62.65714286 109.34285714],0
v4,1,0.145552,2.118255,[102  11] ; [163   9],[105.07017544   7.92982456] ; [159.92982456  12.07017544],0
v1,1,0.158397,1.989461,[51 61] ; [92 78],[56.79432624 55.20567376] ; [86.20567376 83.79432624],0
d5,1,0.231515,1.431526,[60 54] ; [104  70],[64.91666667 49.08333333] ; [99.08333333 74.91666667],0
a7,1,0.300117,1.073673,[71 43] ; [118  55],[75.07317073 38.92682927] ; [113.92682927  59.07317073],0
a3,1,0.304201,1.055686,[64 48] ; [110  64],[68.13986014 43.86013986] ; [105.86013986  68.13986014],0
a8,1,0.347736,0.881703,[13 95] ; [ 26 135],[15.65799257 92.34200743] ; [ 23.34200743 137.65799257],0
d4,1,0.419572,0.651514,[66 48] ; [109  65],[69.27083333 44.72916667] ; [105.72916667  68.27083333],0
n2,1,0.477961,0.503512,[25  8] ; [33  7],[26.21917808  6.78082192] ; [31.78082192  8.21917808],0
a1,1,0.492968,0.470041,[  5 109] ; [  5 169],[  3.95833333 110.04166667] ; [  6.04166667 167.95833333],0
p12,1,0.493741,0.468363,[  5 108] ; [ 11 163],[  6.29965157 106.70034843] ; [  9.70034843 164.29965157],0
b5,1,0.517862,0.418149,[66 48] ; [94 80],[63.33333333 50.66666667] ; [96.66666667 77.33333333],0
s4,1,0.624682,0.239341,[19 95] ; [ 25 147],[17.53846154 96.46153846] ; [ 26.46153846 145.53846154],0
a4,1,0.742753,0.107722,[30 83] ; [ 49 124],[31.21328671 81.78671329] ; [ 47.78671329 125.21328671],0
u2,1,0.748652,0.102667,[26 23] ; [31 31],[25.16216216 23.83783784] ; [31.83783784 30.16216216],0
r2,1,0.780947,0.077331,[107   7] ; [160  12],[106.42657343   7.57342657] ; [160.57342657  11.42657343],0
d3,1,0.787009,0.073006,[46 68] ; [ 73 101],[47.10416667 66.89583333] ; [ 71.89583333 102.10416667],0
a2,1,0.800409,0.063917,[  7 107] ; [ 12 162],[  7.52083333 106.47916667] ; [ 11.47916667 162.52083333],0
n1,1,0.828812,0.046753,[12 20] ; [16 24],[12.44444444 19.55555556] ; [15.55555556 24.44444444],0
b2,1,0.841497,0.039992,[19 39] ; [35 67],[19.575 38.425] ; [34.425 67.575],0
b3,1,0.841497,0.039992,[19 39] ; [35 67],[19.575 38.425] ; [34.425 67.575],0
a5,1,0.851919,0.034846,[72 42] ; [108  66],[71.25 42.75] ; [108.75  65.25],0
p1,1,0.908646,0.013167,[ 10 103] ; [ 16 157],[ 10.27272727 102.72727273] ; [ 15.72727273 157.27272727],0
n4,1,0.928547,0.008041,[82 32] ; [126  48],[82.33333333 31.66666667] ; [125.66666667  48.33333333],0
d2,1,0.99438,5e-05,[17 97] ; [ 26 148],[17.02083333 96.97916667] ; [ 25.97916667 148.02083333],0
u3,1,0.994512,4.7e-05,[29 21] ; [36 26],[29.01785714 20.98214286] ; [35.98214286 26.01785714],0
