Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.003415,8.57146,[44 18] ; [61  6],[50.46511628 11.53488372] ; [54.53488372 12.46511628],0
p10,1,0.003696,8.427407,[25 36] ; [44 22],[33.14173228 27.85826772] ; [35.85826772 30.14173228],0
s6,1,0.006493,7.408116,[26 35] ; [44 22],[33.62204724 27.37795276] ; [36.37795276 29.62204724],0
v3,1,0.02032,5.384188,[13 46] ; [27 38],[19.03225806 39.96774194] ; [20.96774194 44.03225806],0
d4,1,0.037171,4.34255,[51 11] ; [63  4],[54.79069767  7.20930233] ; [59.20930233  7.79069767],0
p6,1,0.051279,3.799147,[ 7 55] ; [16 49],[11.22834646 50.77165354] ; [11.77165354 53.22834646],0
p7,1,0.056298,3.643223,[15 46] ; [26 38],[20.008 40.992] ; [20.992 43.008],0
s7,1,0.073938,3.193368,[19 36] ; [33 32],[23.83333333 31.16666667] ; [28.16666667 36.83333333],0
s2,1,0.076821,3.130905,[21 41] ; [33 34],[25.95348837 36.04651163] ; [28.04651163 38.95348837],0
p9,1,0.082164,3.021562,[29 30] ; [42 23],[33.78225806 25.21774194] ; [37.21774194 27.78225806],0
s5,1,0.082498,3.014988,[11 47] ; [21 43],[15.21311475 42.78688525] ; [16.78688525 47.21311475],0
b1,1,0.096049,2.769959,[35 27] ; [28 39],[30.27906977 31.72093023] ; [32.72093023 34.27906977],0
p5,1,0.104269,2.638997,[ 6 54] ; [ 2 65],[ 3.77952756 56.22047244] ; [ 4.22047244 62.77952756],0
v1,1,0.113504,2.504744,[17 42] ; [28 38],[21.24 37.76] ; [23.76 42.24],0
n1,1,0.128124,2.315087,[14 15] ; [ 6 16],[11.37254902 17.62745098] ; [ 8.62745098 13.37254902],0
p11,1,0.131415,2.27571,[26 36] ; [37 30],[30.27906977 31.72093023] ; [32.72093023 34.27906977],0
s8,1,0.164965,1.928115,[20 41] ; [30 37],[23.828125 37.171875] ; [26.171875 40.828125],0
v4,1,0.175031,1.839318,[48 14] ; [58  9],[50.94573643 11.05426357] ; [55.05426357 11.94573643],0
n6,1,0.18868,1.727893,[40 21] ; [51 16],[43.3671875 17.6328125] ; [47.6328125 19.3671875],0
r1,1,0.212449,1.554657,[39 23] ; [49 18],[42.29457364 19.70542636] ; [45.70542636 21.29457364],0
s1,1,0.256413,1.288023,[ 6 56] ; [ 3 63],[ 4.359375 57.640625] ; [ 4.640625 61.359375],0
p8,1,0.272856,1.202332,[10 52] ; [16 51],[12.49612403 49.50387597] ; [13.50387597 53.49612403],0
s3,1,0.347852,0.881278,[25 36] ; [33 34],[27.640625 33.359375] ; [30.359375 36.640625],0
n4,1,0.37734,0.77935,[37 25] ; [45 22],[39.41085271 22.58914729] ; [42.58914729 24.41085271],0
d1,1,0.386727,0.749207,[41 21] ; [49 18],[43.25581395 18.74418605] ; [46.74418605 20.25581395],0
s4,1,0.392816,0.730207,[11 50] ; [16 50],[12.96850394 48.03149606] ; [14.03149606 51.96850394],0
p1,1,0.398704,0.71223,[ 5 57] ; [ 3 64],[ 3.84496124 58.15503876] ; [ 4.15503876 62.84496124],0
p3,1,0.417135,0.658374,[22 40] ; [19 47],[19.859375 42.140625] ; [21.140625 44.859375],0
r2,1,0.451106,0.56787,[53  7] ; [60  5],[54.24  5.76] ; [58.76  6.24],0
a4,1,0.452256,0.564993,[35 26] ; [34 33],[32.8828125 28.1171875] ; [36.1171875 30.8828125],0
n5,1,0.47416,0.512266,[39 23] ; [38 29],[37.00775194 24.99224806] ; [39.99224806 27.00775194],0
p4,1,0.493624,0.468618,[19 43] ; [24 42],[20.828125 41.171875] ; [22.171875 43.828125],0
r4,1,0.504785,0.444863,[43 19] ; [50 17],[44.69767442 17.30232558] ; [48.30232558 18.69767442],0
a2,1,0.509478,0.435138,[16 46] ; [14 53],[14.41860465 47.58139535] ; [15.58139535 51.41860465],0
a6,1,0.573488,0.316882,[40 22] ; [40 27],[38.4496124 23.5503876] ; [41.5503876 25.4496124],0
d3,1,0.611925,0.257382,[39 23] ; [45 22],[40.37209302 21.62790698] ; [43.62790698 23.37209302],0
a3,1,0.640507,0.218079,[44 18] ; [50 17],[45.17829457 16.82170543] ; [48.82170543 18.17829457],0
n3,1,0.660877,0.192459,[17 11] ; [12 10],[16.24 11.76] ; [12.76  9.24],0
b5,1,0.696528,0.152109,[40 22] ; [41 26],[38.93023256 23.06976744] ; [42.06976744 24.93023256],0
u4,1,0.71286,0.135437,[ 2 60] ; [ 3 64],[ 2.40310078 59.59689922] ; [ 2.59689922 64.40310078],0
u1,1,0.80861,0.058671,[11 51] ; [13 54],[11.53488372 50.46511628] ; [12.46511628 54.53488372],0
d2,1,0.820968,0.051212,[37 23] ; [40 27],[36.37795276 23.62204724] ; [40.62204724 26.37795276],0
b4,1,0.860276,0.030984,[37 25] ; [41 26],[37.48837209 24.51162791] ; [40.51162791 26.48837209],0
a1,1,0.884541,0.021087,[ 6 56] ; [ 7 60],[ 6.24806202 55.75193798] ; [ 6.75193798 60.24806202],0
a7,1,0.890572,0.018928,[40 22] ; [44 23],[40.37209302 21.62790698] ; [43.62790698 23.37209302],0
u3,1,0.902785,0.014919,[12  6] ; [11  6],[11.82857143  6.17142857] ; [11.17142857  5.82857143],0
a5,1,0.905452,0.014108,[45 17] ; [48 19],[44.69767442 17.30232558] ; [48.30232558 18.69767442],0
b3,1,0.927184,0.008352,[15 27] ; [16 30],[14.79545455 27.20454545] ; [16.20454545 29.79545455],0
b2,1,0.927184,0.008352,[15 27] ; [16 30],[14.79545455 27.20454545] ; [16.20454545 29.79545455],0
n2,1,0.929642,0.007796,[18 11] ; [14  9],[17.84615385 11.15384615] ; [14.15384615  8.84615385],0
a8,1,0.956845,0.002928,[ 5 57] ; [ 5 55],[ 5.08196721 56.91803279] ; [ 4.91803279 55.08196721],0
u2,1,0.967531,0.001657,[10  8] ; [9 7],[10.05882353  7.94117647] ; [8.94117647 7.05882353],0
