Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,4.1e-05,16.807427,[146 134] ; [ 8 35],[133.49845201 146.50154799] ; [20.50154799 22.49845201],1
r4,1,5.7e-05,16.208904,[279  12] ; [37  9],[272.86646884  18.13353116] ; [43.13353116  2.86646884],1
s3,1,8.3e-05,15.478619,[260  28] ; [32 14],[251.78443114  36.21556886] ; [40.21556886  5.78443114],1
s8,1,0.000265,13.302021,[177 112] ; [15 31],[165.6358209 123.3641791] ; [26.3641791 19.6358209],1
r1,1,0.00041,12.486653,[253  36] ; [31 15],[245.00298507  43.99701493] ; [38.99701493  7.00298507],1
s7,1,0.001018,10.793848,[196  82] ; [20 24],[186.48447205  91.51552795] ; [29.51552795 14.48447205],0
n6,1,0.001624,9.931891,[255  32] ; [33 13],[248.21621622  38.78378378] ; [39.78378378  6.21621622],0
r3,1,0.014542,5.971169,[282   6] ; [42  4],[279.37724551   8.62275449] ; [44.62275449  1.37724551],0
v4,1,0.021045,5.323051,[286   4] ; [42  3],[283.94029851   6.05970149] ; [44.05970149  0.94029851],0
d1,1,0.033351,4.527652,[204  87] ; [25 21],[197.74183976  93.25816024] ; [31.25816024 14.74183976],0
a2,1,0.041818,4.142553,[101 190] ; [ 9 37],[ 94.9851632 196.0148368] ; [15.0148368 30.9851632],0
a3,1,0.041843,4.141547,[218  72] ; [28 18],[212.32142857  77.67857143] ; [33.67857143 12.32142857],0
p4,1,0.056586,3.634715,[196  93] ; [24 21],[190.35928144  98.64071856] ; [29.64071856 15.35928144],0
d5,1,0.056652,3.632795,[246  43] ; [34 12],[241.55223881  47.44776119] ; [38.44776119  7.55223881],0
a5,1,0.058166,3.588918,[227  64] ; [30 16],[221.91988131  69.08011869] ; [35.08011869 10.91988131],0
p9,1,0.07592,3.150155,[259  26] ; [37  8],[255.63636364  29.36363636] ; [40.36363636  4.63636364],0
d2,1,0.079233,3.080568,[159 129] ; [19 27],[153.48502994 134.51497006] ; [24.51497006 21.48502994],0
p7,1,0.082769,3.009664,[187  92] ; [23 20],[181.95652174  97.04347826] ; [28.04347826 14.95652174],0
p5,1,0.090774,2.860597,[ 40 249] ; [ 2 41],[ 36.56024096 252.43975904] ; [ 5.43975904 37.56024096],0
a4,1,0.146496,2.108367,[141 150] ; [17 29],[136.43323442 154.56676558] ; [21.56676558 24.43323442],0
s4,1,0.167332,1.90668,[ 70 216] ; [ 7 39],[ 66.3313253 219.6686747] ; [10.6686747 35.3313253],0
v1,1,0.167588,1.904388,[159 122] ; [20 24],[154.76615385 126.23384615] ; [24.23384615 19.76615385],0
u1,1,0.189736,1.71967,[ 84 207] ; [ 9 37],[ 80.30563798 210.69436202] ; [12.69436202 33.30563798],0
n5,1,0.196029,1.671716,[226  63] ; [32 14],[222.57313433  66.42686567] ; [35.42686567 10.57313433],0
u3,1,0.229359,1.444831,[50 21] ; [10  8],[47.86516854 23.13483146] ; [12.13483146  5.86516854],0
b5,1,0.267947,1.227226,[201  90] ; [28 18],[197.74183976  93.25816024] ; [31.25816024 14.74183976],0
p6,1,0.281694,1.158897,[127 161] ; [16 29],[123.67567568 164.32432432] ; [19.32432432 25.67567568],0
b1,1,0.311796,1.023051,[104 187] ; [20 26],[107.07418398 183.92581602] ; [16.92581602 29.07418398],0
n2,1,0.344148,0.89492,[44 12] ; [10  1],[45.13432836 10.86567164] ; [8.86567164 2.13432836],0
d3,1,0.351118,0.869411,[231  58] ; [34 12],[228.6119403  60.3880597] ; [36.3880597  9.6119403],0
p8,1,0.358985,0.84144,[155 132] ; [21 24],[152.14457831 134.85542169] ; [23.85542169 21.14457831],0
p1,1,0.369377,0.805761,[ 32 257] ; [ 3 42],[ 30.28443114 258.71556886] ; [ 4.71556886 40.28443114],0
p2,1,0.43376,0.612735,[251  40] ; [36  8],[249.30447761  41.69552239] ; [37.69552239  6.30447761],0
v2,1,0.4998,0.455361,[166 111] ; [24 20],[163.95638629 113.04361371] ; [26.04361371 17.95638629],0
b2,1,0.504642,0.44516,[ 61 107] ; [10 13],[ 62.45026178 105.54973822] ; [ 8.54973822 14.45026178],0
b3,1,0.504642,0.44516,[ 61 107] ; [10 13],[ 62.45026178 105.54973822] ; [ 8.54973822 14.45026178],0
p10,1,0.530489,0.393454,[252  36] ; [37  7],[250.69879518  37.30120482] ; [38.30120482  5.69879518],0
p12,1,0.540727,0.374194,[ 35 256] ; [ 4 41],[ 33.77678571 257.22321429] ; [ 5.22321429 39.77678571],0
p3,1,0.5913,0.288318,[151 139] ; [21 23],[149.34131737 140.65868263] ; [22.65868263 21.34131737],0
u2,1,0.649784,0.206173,[43 27] ; [10  8],[42.15909091 27.84090909] ; [10.84090909  7.15909091],0
u4,1,0.654307,0.200513,[ 10 281] ; [ 1 45],[  9.49851632 281.50148368] ; [ 1.50148368 44.49851632],0
n3,1,0.670756,0.180719,[44 12] ; [8 3],[43.46268657 12.53731343] ; [8.53731343 2.46268657],0
a6,1,0.675659,0.175054,[221  67] ; [34 12],[219.88023952  68.11976048] ; [35.11976048 10.88023952],0
