Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,20.852943,[59 17] ; [ 3 13],[51.2173913 24.7826087] ; [10.7826087  5.2173913],1
r2,1,4.7e-05,16.562945,[67  9] ; [7 9],[61.13043478 14.86956522] ; [12.86956522  3.13043478],1
d5,1,0.002163,9.405898,[58 18] ; [ 6 10],[52.86956522 23.13043478] ; [11.13043478  4.86956522],0
a6,1,0.003746,8.403091,[53 23] ; [ 5 11],[47.91304348 28.08695652] ; [10.08695652  5.91304348],0
p10,1,0.014873,5.931493,[47 26] ; [ 5 11],[42.65168539 30.34831461] ; [9.34831461 6.65168539],0
r1,1,0.016195,5.781559,[52 23] ; [ 6 10],[47.8021978 27.1978022] ; [10.1978022  5.8021978],0
s8,1,0.020713,5.35077,[27 49] ; [ 1 15],[23.13043478 52.86956522] ; [ 4.86956522 11.13043478],0
r3,1,0.021147,5.314653,[65 10] ; [10  6],[61.81318681 13.18681319] ; [13.18681319  2.81318681],0
u2,1,0.042818,4.102564,[24  8] ; [3 5],[21.6 10.4] ; [5.4 2.6],0
d3,1,0.0501,3.838123,[48 27] ; [ 6 10],[44.50549451 30.49450549] ; [9.49450549 6.50549451],0
p9,1,0.061773,3.489137,[50 23] ; [7 9],[46.75280899 26.24719101] ; [10.24719101  5.75280899],0
s1,1,0.067492,3.342986,[ 4 71] ; [ 3 13],[ 5.76923077 69.23076923] ; [ 1.23076923 14.76923077],0
p2,1,0.107175,2.595396,[49 26] ; [7 9],[46.15384615 28.84615385] ; [9.84615385 6.15384615],0
s2,1,0.121429,2.398798,[35 41] ; [ 4 12],[32.2173913 43.7826087] ; [6.7826087 9.2173913],0
v1,1,0.160126,1.973033,[33 42] ; [ 4 12],[30.49450549 44.50549451] ; [6.50549451 9.49450549],0
p11,1,0.231621,1.430882,[41 35] ; [ 6 10],[38.82608696 37.17391304] ; [8.17391304 7.82608696],0
p3,1,0.238856,1.387334,[25 49] ; [ 3 13],[23.02222222 50.97777778] ; [ 4.97777778 11.02222222],0
d1,1,0.277658,1.178517,[35 41] ; [ 5 11],[33.04347826 42.95652174] ; [6.95652174 9.04347826],0
d2,1,0.29558,1.094029,[23 53] ; [7 9],[24.7826087 51.2173913] ; [ 5.2173913 10.7826087],0
n3,1,0.320988,0.984919,[22  7] ; [4 3],[20.94444444  8.05555556] ; [5.05555556 1.94444444],0
s6,1,0.338679,0.915427,[38 37] ; [ 6 10],[36.26373626 38.73626374] ; [7.73626374 8.26373626],0
n2,1,0.354777,0.856298,[18 11] ; [3 4],[16.91666667 12.08333333] ; [4.08333333 2.91666667],0
d4,1,0.449055,0.573035,[59 17] ; [11  5],[57.82608696 18.17391304] ; [12.17391304  3.82608696],0
a8,1,0.452698,0.563889,[ 2 70] ; [ 1 14],[ 2.48275862 69.51724138] ; [ 0.51724138 14.48275862],0
b4,1,0.471355,0.518797,[40 36] ; [10  6],[41.30434783 34.69565217] ; [8.69565217 7.30434783],0
s3,1,0.518315,0.417245,[40 36] ; [7 9],[38.82608696 37.17391304] ; [8.17391304 7.82608696],0
s7,1,0.535879,0.383232,[21 50] ; [ 3 11],[20.04705882 50.95294118] ; [ 3.95294118 10.04705882],0
p1,1,0.55238,0.35307,[ 6 70] ; [ 2 14],[ 6.60869565 69.39130435] ; [ 1.39130435 14.60869565],0
n5,1,0.558876,0.341654,[19 55] ; [ 3 13],[18.08888889 55.91111111] ; [ 3.91111111 12.08888889],0
a4,1,0.571195,0.320687,[23 53] ; [ 6 10],[23.95652174 52.04347826] ; [ 5.04347826 10.95652174],0
v2,1,0.589263,0.291497,[31 38] ; [ 6 10],[30.03529412 38.96470588] ; [6.96470588 9.03529412],0
a3,1,0.630363,0.231569,[43 33] ; [8 8],[42.13043478 33.86956522] ; [8.86956522 7.13043478],0
b1,1,0.64943,0.206619,[38 38] ; [9 7],[38.82608696 37.17391304] ; [8.17391304 7.82608696],0
a5,1,0.64943,0.206619,[38 38] ; [9 7],[38.82608696 37.17391304] ; [8.17391304 7.82608696],0
n1,1,0.721761,0.126812,[10 18] ; [2 5],[ 9.6 18.4] ; [2.4 4.6],0
a7,1,0.723176,0.12547,[51 25] ; [10  6],[50.39130435 25.60869565] ; [10.60869565  5.39130435],0
p7,1,0.727565,0.121359,[34 36] ; [7 9],[33.37209302 36.62790698] ; [7.62790698 8.37209302],0
p4,1,0.746127,0.104814,[31 43] ; [ 6 10],[30.42222222 43.57777778] ; [6.57777778 9.42222222],0
s5,1,0.779432,0.078433,[16 57] ; [ 3 13],[15.58426966 57.41573034] ; [ 3.41573034 12.58426966],0
p6,1,0.832358,0.044808,[16 55] ; [ 4 12],[16.32183908 54.67816092] ; [ 3.67816092 12.32183908],0
v3,1,0.849695,0.035913,[16 56] ; [ 3 12],[15.72413793 56.27586207] ; [ 3.27586207 11.72413793],0
b2,1,0.896787,0.016827,[12 29] ; [3 8],[11.82692308 29.17307692] ; [3.17307692 7.82692308],0
b3,1,0.896787,0.016827,[12 29] ; [3 8],[11.82692308 29.17307692] ; [3.17307692 7.82692308],0
a2,1,0.943382,0.005044,[10 66] ; [ 2 14],[ 9.91304348 66.08695652] ; [ 2.08695652 13.91304348],0
p8,1,0.946508,0.004501,[31 43] ; [6 8],[31.11363636 42.88636364] ; [5.88636364 8.11363636],0
s4,1,0.975419,0.000949,[14 62] ; [ 3 13],[14.04347826 61.95652174] ; [ 2.95652174 13.04347826],0
b5,1,0.980753,0.000582,[43 33] ; [9 7],[42.95652174 33.04347826] ; [9.04347826 6.95652174],0
