Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,98.752956,[ 22 148] ; [84 36],[ 62.13793103 107.86206897] ; [43.86206897 76.13793103],1
d3,1,0.0,84.357582,[ 60 109] ; [109  13],[98.14776632 70.85223368] ; [70.85223368 51.14776632],1
d5,1,0.0,83.187407,[78 92] ; [118   4],[114.10958904  55.89041096] ; [81.89041096 40.10958904],1
d4,1,0.0,62.727255,[95 76] ; [117   3],[124.57731959  46.42268041] ; [87.42268041 32.57731959],1
a2,1,0.0,49.156486,[  6 165] ; [42 81],[ 27.91836735 143.08163265] ; [ 20.08163265 102.91836735],1
a4,1,0.0,44.699127,[ 32 138] ; [69 53],[ 58.80136986 111.19863014] ; [42.19863014 79.80136986],1
a5,1,0.0,33.760642,[74 97] ; [95 28],[98.29591837 72.70408163] ; [70.70408163 52.29591837],1
a3,1,0.0,28.671614,[82 86] ; [98 25],[103.91752577  64.08247423] ; [76.08247423 46.91752577],1
a6,1,0.0,27.174801,[88 83] ; [99 23],[109.13651877  61.86348123] ; [77.86348123 44.13651877],1
u1,1,3.4e-05,17.162084,[  6 165] ; [ 22 101],[ 16.28571429 154.71428571] ; [ 11.71428571 111.28571429],1
r1,1,0.000569,11.873775,[98 72] ; [94 28],[111.78082192  58.21917808] ; [80.21917808 41.78082192],1
v2,1,0.00308,8.75938,[ 55 105] ; [61 56],[67.00361011 92.99638989] ; [48.99638989 68.00361011],0
a7,1,0.004641,8.014243,[99 70] ; [91 31],[110.34364261  58.65635739] ; [79.65635739 42.34364261],0
r2,1,0.007939,7.047072,[141  27] ; [113   7],[148.16666667  19.83333333] ; [105.83333333  14.16666667],0
n2,1,0.048276,3.900347,[43 15] ; [25 20],[38.29126214 19.70873786] ; [29.70873786 15.29126214],0
s4,1,0.063156,3.452496,[ 32 139] ; [ 13 108],[ 26.35273973 144.64726027] ; [ 18.64726027 102.35273973],0
r3,1,0.064605,3.415025,[136  31] ; [109  13],[141.57439446  25.42560554] ; [103.42560554  18.57439446],0
r4,1,0.096415,2.763859,[117  54] ; [95 28],[123.30612245  47.69387755] ; [88.69387755 34.30612245],0
b5,1,0.153876,2.033401,[100  71] ; [82 41],[105.85714286  65.14285714] ; [76.14285714 46.85714286],0
b2,1,0.191478,1.706206,[25 60] ; [25 38],[28.71621622 56.28378378] ; [21.28378378 41.71621622],0
b3,1,0.191478,1.706206,[25 60] ; [25 38],[28.71621622 56.28378378] ; [21.28378378 41.71621622],0
p10,1,0.192434,1.698885,[94 72] ; [79 44],[99.37024221 66.62975779] ; [73.62975779 49.37024221],0
s7,1,0.223643,1.480843,[ 26 138] ; [25 91],[ 29.87142857 134.12857143] ; [21.12857143 94.87142857],0
n6,1,0.234239,1.414933,[112  56] ; [90 33],[116.6185567  51.3814433] ; [85.3814433 37.6185567],0
b4,1,0.249024,1.328768,[97 74] ; [78 45],[101.78571429  69.21428571] ; [73.21428571 49.78571429],0
n5,1,0.268856,1.222576,[107  62] ; [70 53],[102.44178082  66.55821918] ; [74.55821918 48.44178082],0
a1,1,0.377336,0.779363,[ 11 160] ; [  5 118],[  9.30612245 161.69387755] ; [  6.69387755 116.30612245],0
s1,1,0.392565,0.730981,[  9 158] ; [  4 118],[  7.51211073 159.48788927] ; [  5.48788927 116.51211073],0
p6,1,0.420871,0.647881,[ 23 142] ; [ 13 108],[ 20.76923077 144.23076923] ; [ 15.23076923 105.76923077],0
u3,1,0.436275,0.606062,[35 54] ; [12 13],[36.69298246 52.30701754] ; [10.30701754 14.69298246],0
p9,1,0.452358,0.564737,[106  58] ; [82 37],[108.94699647  55.05300353] ; [79.05300353 39.94699647],0
p8,1,0.504383,0.445701,[ 44 124] ; [36 85],[ 46.50519031 121.49480969] ; [33.49480969 87.50519031],0
u2,1,0.526236,0.401655,[39 48] ; [13 12],[40.39285714 46.60714286] ; [11.60714286 13.39285714],0
v1,1,0.577739,0.309904,[ 59 108] ; [47 75],[ 61.25259516 105.74740484] ; [44.74740484 77.25259516],0
v3,1,0.583856,0.300042,[ 40 125] ; [32 86],[ 41.97879859 123.02120141] ; [30.02120141 87.97879859],0
s5,1,0.61617,0.251287,[ 28 138] ; [23 97],[ 29.6013986 136.3986014] ; [21.3986014 98.6013986],0
p5,1,0.638784,0.220336,[  4 165] ; [  4 118],[  4.64604811 164.35395189] ; [  3.35395189 118.64604811],0
b1,1,0.664442,0.188172,[ 64 107] ; [43 80],[ 62.23469388 108.76530612] ; [44.76530612 78.23469388],0
p7,1,0.680351,0.169731,[ 63 101] ; [49 71],[64.67605634 99.32394366] ; [47.32394366 72.67605634],0
v4,1,0.68427,0.165358,[140  26] ; [105  17],[141.21527778  24.78472222] ; [103.78472222  18.21527778],0
