Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.000473,12.219689,[38 16] ; [11 23],[30.06818182 23.93181818] ; [18.93181818 15.06818182],1
d4,1,0.00182,9.722368,[44 10] ; [17 17],[37.43181818 16.56818182] ; [23.56818182 10.43181818],0
a6,1,0.006869,7.306794,[35 19] ; [12 22],[28.84090909 25.15909091] ; [18.15909091 15.84090909],0
b1,1,0.006949,7.286187,[12 42] ; [17 17],[17.79545455 36.20454545] ; [11.20454545 22.79545455],0
p11,1,0.014368,5.99238,[49  5] ; [24 10],[44.79545455  9.20454545] ; [28.20454545  5.79545455],0
n1,1,0.024485,5.059933,[ 2 13] ; [6 5],[ 4.61538462 10.38461538] ; [3.38461538 7.61538462],0
p2,1,0.033565,4.516701,[47  6] ; [24 10],[43.25287356  9.74712644] ; [27.74712644  6.25287356],0
b4,1,0.036933,4.353502,[36 18] ; [15 19],[31.29545455 22.70454545] ; [19.70454545 14.29545455],0
p10,1,0.041448,4.157609,[45  6] ; [24 10],[41.4  9.6] ; [27.6  6.4],0
d5,1,0.041711,4.146906,[40 14] ; [18 16],[35.59090909 18.40909091] ; [22.40909091 11.59090909],0
b2,1,0.090844,2.85936,[11 20] ; [ 3 18],[ 8.34615385 22.65384615] ; [ 5.65384615 15.34615385],0
b3,1,0.090844,2.85936,[11 20] ; [ 3 18],[ 8.34615385 22.65384615] ; [ 5.65384615 15.34615385],0
p9,1,0.109672,2.558945,[47  7] ; [25  9],[44.18181818  9.81818182] ; [27.81818182  6.18181818],0
r2,1,0.112399,2.520167,[45  7] ; [24  9],[42.21176471  9.78823529] ; [26.78823529  6.21176471],0
d1,1,0.125811,2.343448,[23 31] ; [ 9 25],[19.63636364 34.36363636] ; [12.36363636 21.63636364],0
v3,1,0.166377,1.915289,[20 33] ; [ 8 26],[17.05747126 35.94252874] ; [10.94252874 23.05747126],0
a1,1,0.167855,1.901995,[ 6 48] ; [ 1 33],[ 4.29545455 49.70454545] ; [ 2.70454545 31.29545455],0
b5,1,0.197897,1.657824,[36 18] ; [18 16],[33.13636364 20.86363636] ; [20.86363636 13.13636364],0
a4,1,0.235104,1.409714,[10 44] ; [10 24],[12.27272727 41.72727273] ; [ 7.72727273 26.27272727],0
a2,1,0.252237,1.310874,[ 5 49] ; [ 1 33],[ 3.68181818 50.31818182] ; [ 2.31818182 31.68181818],0
v1,1,0.322031,0.980681,[26 27] ; [13 21],[23.75862069 29.24137931] ; [15.24137931 18.75862069],0
a5,1,0.343341,0.897916,[31 23] ; [16 18],[28.84090909 25.15909091] ; [18.15909091 15.84090909],0
p3,1,0.343341,0.897916,[31 23] ; [16 18],[28.84090909 25.15909091] ; [18.15909091 15.84090909],0
a3,1,0.362044,0.830792,[26 28] ; [13 21],[23.93181818 30.06818182] ; [15.06818182 18.93181818],0
p12,1,0.391697,0.733668,[ 6 47] ; [ 2 32],[ 4.87356322 48.12643678] ; [ 3.12643678 30.87356322],0
p1,1,0.451903,0.565876,[ 5 48] ; [ 5 29],[ 6.09195402 46.90804598] ; [ 3.90804598 30.09195402],0
r4,1,0.456435,0.554622,[36 18] ; [20 14],[34.36363636 19.63636364] ; [21.63636364 12.36363636],0
p5,1,0.477338,0.504939,[11 42] ; [ 5 29],[ 9.74712644 43.25287356] ; [ 6.25287356 27.74712644],0
u3,1,0.486124,0.485093,[13 14] ; [ 8 13],[11.8125 15.1875] ; [ 9.1875 11.8125],0
p6,1,0.529694,0.394978,[25 27] ; [14 20],[23.58139535 28.41860465] ; [15.41860465 18.58139535],0
n6,1,0.57089,0.321195,[46  7] ; [28  6],[45.08045977  7.91954023] ; [28.91954023  5.08045977],0
n2,1,0.596613,0.280135,[11  4] ; [7 4],[10.38461538  4.61538462] ; [7.61538462 3.38461538],0
r3,1,0.619551,0.246499,[48  6] ; [29  5],[47.25  6.75] ; [29.75  4.25],0
v2,1,0.643837,0.213759,[24 30] ; [13 20],[22.96551724 31.03448276] ; [14.03448276 18.96551724],0
u2,1,0.679988,0.170139,[15 13] ; [10 11],[14.28571429 13.71428571] ; [10.71428571 10.28571429],0
s3,1,0.713686,0.134623,[24 30] ; [16 17],[24.82758621 29.17241379] ; [15.17241379 17.82758621],0
s7,1,0.730064,0.119053,[21 29] ; [13 21],[20.23809524 29.76190476] ; [13.76190476 20.23809524],0
p4,1,0.734486,0.115033,[33 21] ; [22 12],[33.75 20.25] ; [21.25 12.75],0
n3,1,0.740797,0.109428,[10  5] ; [8 3],[10.38461538  4.61538462] ; [7.61538462 3.38461538],0
p7,1,0.75808,0.094866,[39 12] ; [25  9],[38.4 12.6] ; [25.6  8.4],0
s1,1,0.782269,0.076377,[ 4 50] ; [ 2 32],[ 3.68181818 50.31818182] ; [ 2.31818182 31.68181818],0
n5,1,0.793291,0.068664,[36 17] ; [24 10],[36.55172414 16.44827586] ; [23.44827586 10.55172414],0
v4,1,0.799033,0.06482,[49  4] ; [30  3],[48.68604651  4.31395349] ; [30.31395349  2.68604651],0
a8,1,0.806894,0.059748,[ 4 47] ; [ 3 29],[ 4.30120482 46.69879518] ; [ 2.69879518 29.30120482],0
s2,1,0.841594,0.039942,[25 29] ; [15 19],[24.54545455 29.45454545] ; [15.45454545 18.54545455],0
s6,1,0.843701,0.038873,[32 20] ; [19 13],[31.57142857 20.42857143] ; [19.42857143 12.57142857],0
u1,1,0.84779,0.036841,[ 2 52] ; [ 1 33],[ 1.84090909 52.15909091] ; [ 1.15909091 32.84090909],0
s4,1,0.856058,0.032904,[12 42] ; [ 7 27],[11.65909091 42.34090909] ; [ 7.34090909 26.65909091],0
s5,1,0.856952,0.032492,[13 37] ; [ 8 25],[12.65060241 37.34939759] ; [ 8.34939759 24.65060241],0
s8,1,0.909987,0.012781,[20 34] ; [13 21],[20.25 33.75] ; [12.75 21.25],0
d2,1,0.954846,0.003206,[14 40] ; [ 9 25],[14.11363636 39.88636364] ; [ 8.88636364 25.11363636],0
n4,1,0.991689,0.000109,[35 19] ; [22 12],[34.97727273 19.02272727] ; [22.02272727 11.97727273],0
