Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,4.2e-05,16.756883,[28 10] ; [ 6 21],[19.87692308 18.12307692] ; [14.12307692 12.87692308],1
b4,1,0.002572,9.0884,[27 11] ; [ 9 18],[21.04615385 16.95384615] ; [14.95384615 12.04615385],0
a6,1,0.00635,7.448299,[27 11] ; [10 17],[21.63076923 16.36923077] ; [15.36923077 11.63076923],0
b5,1,0.03553,4.419503,[28 10] ; [13 14],[23.96923077 14.03076923] ; [17.03076923  9.96923077],0
n1,1,0.037289,4.33716,[3 7] ; [7 2],[5.26315789 4.73684211] ; [4.73684211 4.26315789],0
r4,1,0.044052,4.054581,[30  8] ; [15 12],[26.30769231 11.69230769] ; [18.69230769  8.30769231],0
a4,1,0.069674,3.290674,[10 28] ; [13 14],[13.44615385 24.55384615] ; [ 9.55384615 17.44615385],0
d5,1,0.092385,2.832322,[31  7] ; [17 10],[28.06153846  9.93846154] ; [19.93846154  7.06153846],0
d4,1,0.098058,2.736842,[32  6] ; [18  9],[29.23076923  8.76923077] ; [20.76923077  6.23076923],0
p1,1,0.099331,2.716252,[ 3 35] ; [ 6 21],[ 5.26153846 32.73846154] ; [ 3.73846154 23.26153846],0
b1,1,0.100156,2.703054,[12 26] ; [14 13],[15.2 22.8] ; [10.8 16.2],0
u2,1,0.119467,2.424298,[10  3] ; [4 5],[8.27272727 4.72727273] ; [5.72727273 3.27272727],0
s5,1,0.121054,2.403628,[14 18] ; [ 6 19],[11.22807018 20.77192982] ; [ 8.77192982 16.22807018],0
d1,1,0.134741,2.23701,[24 14] ; [12 15],[21.04615385 16.95384615] ; [14.95384615 12.04615385],0
v4,1,0.172461,1.861417,[36  2] ; [22  4],[34.4375  3.5625] ; [23.5625  2.4375],0
a2,1,0.205187,1.605064,[ 7 31] ; [ 2 25],[ 5.26153846 32.73846154] ; [ 3.73846154 23.26153846],0
r2,1,0.2226,1.487531,[32  3] ; [21  5],[30.40983607  4.59016393] ; [22.59016393  3.40983607],0
n5,1,0.295004,1.096642,[25 13] ; [21  6],[26.89230769 11.10769231] ; [19.10769231  7.89230769],0
b3,1,0.307014,1.043478,[10 15] ; [ 6 17],[ 8.33333333 16.66666667] ; [ 7.66666667 15.33333333],0
b2,1,0.307014,1.043478,[10 15] ; [ 6 17],[ 8.33333333 16.66666667] ; [ 7.66666667 15.33333333],0
r3,1,0.309043,1.034763,[34  4] ; [26  1],[35.07692308  2.92307692] ; [24.92307692  2.07692308],0
n3,1,0.407094,0.687273,[7 4] ; [8 2],[7.85714286 3.14285714] ; [7.14285714 2.85714286],0
p4,1,0.413398,0.669008,[23 15] ; [19  8],[24.55384615 13.44615385] ; [17.44615385  9.55384615],0
a5,1,0.413398,0.669008,[23 15] ; [19  8],[24.55384615 13.44615385] ; [17.44615385  9.55384615],0
p5,1,0.439553,0.59745,[ 5 32] ; [ 2 25],[ 4.046875 32.953125] ; [ 2.953125 24.046875],0
s6,1,0.474434,0.511629,[27 10] ; [21  5],[28.19047619  8.80952381] ; [19.80952381  6.19047619],0
d2,1,0.486445,0.48438,[15 23] ; [13 14],[16.36923077 21.63076923] ; [11.63076923 15.36923077],0
u1,1,0.488386,0.480079,[ 3 35] ; [ 1 26],[ 2.33846154 35.66153846] ; [ 1.66153846 25.33846154],0
s2,1,0.543203,0.369636,[27 11] ; [21  6],[28.06153846  9.93846154] ; [19.93846154  7.06153846],0
s4,1,0.543203,0.369636,[11 27] ; [ 6 21],[ 9.93846154 28.06153846] ; [ 7.06153846 19.93846154],0
p10,1,0.586026,0.296593,[32  5] ; [22  5],[31.21875  5.78125] ; [22.78125  4.21875],0
v1,1,0.606735,0.264957,[19 17] ; [12 14],[18. 18.] ; [13. 13.],0
p7,1,0.621161,0.244239,[25 12] ; [16 10],[24.07936508 12.92063492] ; [16.92063492  9.07936508],0
a8,1,0.688216,0.161024,[ 4 32] ; [ 2 23],[ 3.54098361 32.45901639] ; [ 2.45901639 22.54098361],0
n6,1,0.705765,0.142544,[31  7] ; [21  6],[30.4  7.6] ; [21.6  5.4],0
p2,1,0.705765,0.142544,[31  7] ; [21  6],[30.4  7.6] ; [21.6  5.4],0
p12,1,0.722968,0.125667,[ 2 36] ; [ 2 25],[ 2.33846154 35.66153846] ; [ 1.66153846 25.33846154],0
a1,1,0.722968,0.125667,[ 2 36] ; [ 2 25],[ 2.33846154 35.66153846] ; [ 1.66153846 25.33846154],0
u3,1,0.778999,0.078749,[8 5] ; [5 4],[7.68181818 5.31818182] ; [5.31818182 3.68181818],0
p9,1,0.804502,0.061269,[33  5] ; [24  3],[33.32307692  4.67692308] ; [23.67692308  3.32307692],0
