Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,67.00116,[107  49] ; [ 35 121],[71. 85.] ; [71. 85.],1
p6,1,0.0,39.9223,[77 78] ; [ 24 128],[ 50.99348534 104.00651466] ; [ 50.00651466 101.99348534],1
p8,1,0.0,33.849157,[106  48] ; [55 99],[80.5 73.5] ; [80.5 73.5],1
p7,1,1e-06,24.388358,[116  37] ; [73 78],[95.12171053 57.87828947] ; [93.87828947 57.12171053],1
n5,1,0.0007,11.489654,[124  31] ; [97 58],[110.5  44.5] ; [110.5  44.5],1
p10,1,0.000739,11.388271,[137  17] ; [114  40],[125.5  28.5] ; [125.5  28.5],1
p5,1,0.001069,10.703325,[ 26 129] ; [  8 147],[ 17. 138.] ; [ 17. 138.],0
p2,1,0.002745,8.969907,[138  17] ; [118  37],[128.  27.] ; [128.  27.],0
s7,1,0.00528,7.780825,[73 73] ; [51 99],[61.16216216 84.83783784] ; [62.83783784 87.16216216],0
n4,1,0.017208,5.675014,[121  35] ; [102  54],[111.5  44.5] ; [111.5  44.5],0
a4,1,0.017862,5.609613,[ 49 106] ; [ 31 125],[ 39.87138264 115.12861736] ; [ 40.12861736 115.87138264],0
s8,1,0.036361,4.380095,[64 92] ; [ 46 109],[ 55.17684887 100.82315113] ; [ 54.82315113 100.17684887],0
d5,1,0.040189,4.209895,[96 60] ; [78 78],[87. 69.] ; [87. 69.],0
a5,1,0.05207,3.773509,[97 59] ; [80 76],[88.5 67.5] ; [88.5 67.5],0
n1,1,0.073621,3.200378,[17 14] ; [15 29],[13.22666667 17.77333333] ; [18.77333333 25.22666667],0
p1,1,0.075393,3.161524,[ 18 137] ; [  9 144],[ 13.58766234 141.41233766] ; [ 13.41233766 139.58766234],0
p9,1,0.078094,3.104123,[137  19] ; [124  30],[131.34193548  24.65806452] ; [129.65806452  24.34193548],0
s6,1,0.085222,2.962383,[101  51] ; [87 66],[93.69180328 58.30819672] ; [94.30819672 58.69180328],0
a6,1,0.105312,2.623198,[101  55] ; [87 69],[94. 62.] ; [94. 62.],0
b2,1,0.120262,2.413909,[38 59] ; [24 61],[33.04395604 63.95604396] ; [28.95604396 56.04395604],0
b3,1,0.120262,2.413909,[38 59] ; [24 61],[33.04395604 63.95604396] ; [28.95604396 56.04395604],0
a7,1,0.137915,2.201066,[104  51] ; [92 64],[97.68488746 57.31511254] ; [98.31511254 57.68488746],0
n6,1,0.139868,2.179415,[132  23] ; [122  33],[127.  28.] ; [127.  28.],0
s4,1,0.141799,2.158326,[ 21 133] ; [ 31 125],[ 25.83225806 128.16774194] ; [ 26.16774194 129.83225806],0
v1,1,0.150275,2.069459,[80 72] ; [67 84],[73.74257426 78.25742574] ; [73.25742574 77.74257426],0
v3,1,0.16262,1.949693,[ 53 100] ; [ 42 112],[ 47.34527687 105.65472313] ; [ 47.65472313 106.34527687],0
p12,1,0.18966,1.720253,[ 14 141] ; [  8 146],[ 11.03559871 143.96440129] ; [ 10.96440129 143.03559871],0
a2,1,0.236537,1.401114,[ 12 144] ; [  7 149],[  9.5 146.5] ; [  9.5 146.5],0
a3,1,0.250829,1.318681,[96 60] ; [86 70],[91. 65.] ; [91. 65.],0
u2,1,0.290836,1.115746,[36 24] ; [35 34],[33.02325581 26.97674419] ; [37.97674419 31.02325581],0
r1,1,0.297071,1.087297,[116  40] ; [107  48],[111.8585209  44.1414791] ; [111.1414791  43.8585209],0
v4,1,0.310342,1.029221,[148   7] ; [141  11],[145.91205212   9.08794788] ; [143.08794788   8.91205212],0
v2,1,0.320371,0.98743,[78 73] ; [67 79],[73.72053872 77.27946128] ; [71.27946128 74.72053872],0
n2,1,0.32555,0.966518,[24  8] ; [37  7],[25.68421053  6.31578947] ; [35.31578947  8.68421053],0
d2,1,0.340484,0.908609,[ 25 131] ; [ 19 136],[ 22.07073955 133.92926045] ; [ 21.92926045 133.07073955],0
b1,1,0.34509,0.891429,[60 96] ; [ 52 104],[ 56. 100.] ; [ 56. 100.],0
u1,1,0.395355,0.722408,[  5 151] ; [  8 148],[  6.5 149.5] ; [  6.5 149.5],0
s5,1,0.419733,0.651063,[ 45 105] ; [ 39 112],[ 41.86046512 108.13953488] ; [ 42.13953488 108.86046512],0
s2,1,0.485728,0.485975,[65 89] ; [59 95],[62. 92.] ; [62. 92.],0
r4,1,0.522998,0.407976,[135  21] ; [131  25],[133.  23.] ; [133.  23.],0
d3,1,0.643543,0.214139,[64 92] ; [60 96],[62. 94.] ; [62. 94.],0
d4,1,0.645993,0.210989,[93 63] ; [89 67],[91. 65.] ; [91. 65.],0
s3,1,0.68848,0.160736,[77 77] ; [80 73],[78.75570033 75.24429967] ; [78.24429967 74.75570033],0
u3,1,0.696786,0.151837,[30 29] ; [38 32],[31.10077519 27.89922481] ; [36.89922481 33.10077519],0
a8,1,0.738797,0.111186,[ 21 122] ; [ 20 130],[ 20.01023891 122.98976109] ; [ 20.98976109 129.01023891],0
s1,1,0.750517,0.101097,[  5 150] ; [  6 148],[  5.51779935 149.48220065] ; [  5.48220065 148.51779935],0
