Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.213975,[ 6 20] ; [44 11],[16.04938272  9.95061728] ; [33.95061728 21.04938272],1
a5,1,0.003334,8.615214,[ 9 17] ; [38 17],[15.08641975 10.91358025] ; [31.91358025 23.08641975],0
n2,1,0.004117,8.231293,[3 6] ; [18  3],[6.3 2.7] ; [14.7  6.3],0
p6,1,0.006459,7.41755,[ 2 23] ; [20 33],[ 7.05128205 17.94871795] ; [14.94871795 38.05128205],0
s7,1,0.017997,5.596468,[ 5 20] ; [25 27],[ 9.74025974 15.25974026] ; [20.25974026 31.74025974],0
s5,1,0.022709,5.190594,[ 8 16] ; [ 6 46],[ 4.42105263 19.57894737] ; [ 9.57894737 42.42105263],0
p11,1,0.025137,5.014428,[14 12] ; [43 12],[18.2962963  7.7037037] ; [38.7037037 16.2962963],0
a7,1,0.045303,4.007327,[18  8] ; [25 30],[13.80246914 12.19753086] ; [29.19753086 25.80246914],0
s8,1,0.04777,3.918057,[ 4 22] ; [20 34],[ 7.8 18.2] ; [16.2 37.8],0
p10,1,0.061568,3.494624,[16  8] ; [46  8],[19.07692308  4.92307692] ; [42.92307692 11.07692308],0
n6,1,0.075868,3.151278,[13 13] ; [38 16],[16.575  9.425] ; [34.425 19.575],0
d5,1,0.092394,2.832168,[14 12] ; [40 15],[17.33333333  8.66666667] ; [36.66666667 18.33333333],0
v4,1,0.108767,2.572045,[20  4] ; [34 18],[17.05263158  6.94736842] ; [36.94736842 15.05263158],0
a2,1,0.109862,2.556211,[ 1 25] ; [ 9 46],[ 3.20987654 22.79012346] ; [ 6.79012346 48.20987654],0
r2,1,0.129815,2.294721,[18  6] ; [29 22],[15.04  8.96] ; [31.96 19.04],0
a6,1,0.132452,2.263524,[10 16] ; [31 24],[13.16049383 12.83950617] ; [27.83950617 27.16049383],0
p4,1,0.147549,2.09741,[ 9 17] ; [28 26],[12.025 13.975] ; [24.975 29.025],0
s3,1,0.170537,1.878213,[14 10] ; [22 31],[11.22077922 12.77922078] ; [24.77922078 28.22077922],0
a3,1,0.190915,1.710545,[13 12] ; [37 18],[15.625  9.375] ; [34.375 20.625],0
d2,1,0.194972,1.679642,[ 7 19] ; [23 32],[ 9.62962963 16.37037037] ; [20.37037037 34.62962963],0
v3,1,0.195059,1.678986,[ 4 21] ; [16 38],[ 6.32911392 18.67088608] ; [13.67088608 40.32911392],0
u1,1,0.211024,1.564385,[ 1 25] ; [ 7 48],[ 2.56790123 23.43209877] ; [ 5.43209877 49.56790123],0
p5,1,0.225721,1.467621,[ 2 23] ; [10 44],[ 3.79746835 21.20253165] ; [ 8.20253165 45.79746835],0
d3,1,0.253117,1.306019,[17  9] ; [28 26],[14.625 11.375] ; [30.375 23.625],0
n1,1,0.282471,1.155161,[2 7] ; [ 9 12],[3.3 5.7] ; [ 7.7 13.3],0
a4,1,0.319892,0.989388,[ 7 19] ; [21 34],[ 8.98765432 17.01234568] ; [19.01234568 35.98765432],0
d1,1,0.339508,0.912287,[ 8 18] ; [23 32],[ 9.95061728 16.04938272] ; [21.04938272 33.95061728],0
s2,1,0.355353,0.854248,[ 8 18] ; [22 31],[ 9.87341772 16.12658228] ; [20.12658228 32.87341772],0
p2,1,0.372619,0.794912,[21  4] ; [39 13],[19.48051948  5.51948052] ; [40.51948052 11.48051948],0
d4,1,0.374543,0.788535,[20  6] ; [37 18],[18.2962963  7.7037037] ; [38.7037037 16.2962963],0
s1,1,0.431545,0.618663,[ 2 24] ; [ 2 53],[ 1.28395062 24.71604938] ; [ 2.71604938 52.28395062],0
b5,1,0.440463,0.595077,[17  9] ; [31 24],[15.40740741 10.59259259] ; [32.59259259 22.40740741],0
p3,1,0.443009,0.588477,[ 8 18] ; [21 32],[ 9.5443038 16.4556962] ; [19.4556962 33.5443038],0
b1,1,0.489041,0.478636,[13 13] ; [32 23],[14.44444444 11.55555556] ; [30.55555556 24.44444444],0
a1,1,0.500844,0.453147,[ 2 24] ; [ 7 48],[ 2.88888889 23.11111111] ; [ 6.11111111 48.88888889],0
a8,1,0.622054,0.242992,[ 1 21] ; [ 4 48],[ 1.48648649 20.51351351] ; [ 3.51351351 48.48648649],0
b3,1,0.624065,0.240196,[5 9] ; [10 25],[4.28571429 9.71428571] ; [10.71428571 24.28571429],0
b2,1,0.624065,0.240196,[5 9] ; [10 25],[4.28571429 9.71428571] ; [10.71428571 24.28571429],0
p8,1,0.663343,0.189489,[ 8 17] ; [20 34],[ 8.86075949 16.13924051] ; [19.13924051 34.86075949],0
p1,1,0.687673,0.161616,[ 2 23] ; [ 6 49],[ 2.5 22.5] ; [ 5.5 49.5],0
v1,1,0.688736,0.160457,[12 13] ; [22 29],[11.18421053 13.81578947] ; [22.81578947 28.18421053],0
r3,1,0.731503,0.117736,[17  9] ; [36 16],[17.66666667  8.33333333] ; [35.33333333 16.66666667],0
v2,1,0.739673,0.110414,[ 9 15] ; [22 31],[ 9.66233766 14.33766234] ; [21.33766234 31.66233766],0
