Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-05,16.443251,[85 12] ; [1 4],[81.78431373 15.21568627] ; [4.21568627 0.78431373],1
r3,1,0.002823,8.918405,[91  5] ; [3 2],[89.34653465  6.65346535] ; [4.65346535 0.34653465],0
n6,1,0.007885,7.059315,[71 24] ; [1 4],[68.4 26.6] ; [3.6 1.4],0
r1,1,0.025419,4.995124,[79 18] ; [2 3],[77.02941176 19.97058824] ; [3.97058824 1.02941176],0
a1,1,0.057521,3.607448,[ 3 94] ; [1 4],[ 3.80392157 93.19607843] ; [0.19607843 4.80392157],0
a5,1,0.058508,3.579191,[75 22] ; [2 3],[73.2254902 23.7745098] ; [3.7745098 1.2254902],0
p10,1,0.06407,3.428763,[58 36] ; [1 4],[56.02020202 37.97979798] ; [2.97979798 2.02020202],0
s6,1,0.081839,3.027994,[70 23] ; [2 3],[68.32653061 24.67346939] ; [3.67346939 1.32653061],0
s2,1,0.082561,3.013751,[57 39] ; [1 4],[55.12871287 40.87128713] ; [2.87128713 2.12871287],0
v1,1,0.097509,2.745827,[56 41] ; [1 4],[54.20588235 42.79411765] ; [2.79411765 2.20588235],0
s1,1,0.111558,2.532014,[ 4 92] ; [1 4],[ 4.75247525 91.24752475] ; [0.24752475 4.75247525],0
d3,1,0.123728,2.369485,[70 27] ; [2 3],[68.47058824 28.52941176] ; [3.52941176 1.47058824],0
a3,1,0.123728,2.369485,[70 27] ; [2 3],[68.47058824 28.52941176] ; [3.52941176 1.47058824],0
p4,1,0.154834,2.023967,[50 45] ; [1 4],[48.45 46.55] ; [2.55 2.45],0
p1,1,0.172521,1.860895,[ 5 91] ; [1 4],[ 5.7029703 90.2970297] ; [0.2970297 4.7029703],0
p2,1,0.201162,1.633916,[65 31] ; [2 3],[63.68316832 32.31683168] ; [3.31683168 1.68316832],0
b3,1,0.206791,1.59375,[15 33] ; [2 1],[16. 32.] ; [1. 2.],0
b2,1,0.206791,1.59375,[15 33] ; [2 1],[16. 32.] ; [1. 2.],0
v3,1,0.215336,1.535182,[45 48] ; [1 4],[43.65306122 49.34693878] ; [2.34693878 2.65306122],0
a6,1,0.235847,1.405248,[64 33] ; [2 3],[62.76470588 34.23529412] ; [3.23529412 1.76470588],0
b5,1,0.257842,1.280307,[63 34] ; [2 3],[61.81372549 35.18627451] ; [3.18627451 1.81372549],0
s8,1,0.275717,1.188082,[43 53] ; [1 4],[41.82178218 54.17821782] ; [2.17821782 2.82178218],0
d1,1,0.328998,0.952837,[60 37] ; [2 3],[58.96078431 38.03921569] ; [3.03921569 1.96078431],0
s4,1,0.346085,0.887761,[21 75] ; [2 3],[21.86138614 74.13861386] ; [1.13861386 3.86138614],0
v4,1,0.366246,0.816362,[89  8] ; [4 1],[88.44117647  8.55882353] ; [4.55882353 0.44117647],0
n5,1,0.402775,0.700026,[56 39] ; [2 3],[55.1 39.9] ; [2.9 2.1],0
n3,1,0.456511,0.554435,[23  8] ; [1 1],[22.54545455  8.45454545] ; [1.45454545 0.54545455],0
p3,1,0.457993,0.550796,[42 54] ; [1 3],[41.28 54.72] ; [1.72 2.28],0
n4,1,0.507234,0.439769,[63 33] ; [4 1],[63.68316832 32.31683168] ; [3.31683168 1.68316832],0
p8,1,0.545428,0.365571,[31 63] ; [1 4],[30.38383838 63.61616162] ; [1.61616162 3.38383838],0
a7,1,0.556493,0.345813,[70 27] ; [3 2],[69.42156863 27.57843137] ; [3.57843137 1.42156863],0
s3,1,0.566674,0.32828,[51 45] ; [2 3],[50.37623762 45.62376238] ; [2.62376238 2.37623762],0
b1,1,0.583048,0.301333,[46 51] ; [3 2],[46.59803922 50.40196078] ; [2.40196078 2.59803922],0
a4,1,0.614506,0.253665,[50 47] ; [2 3],[49.45098039 47.54901961] ; [2.54901961 2.45098039],0
u3,1,0.625585,0.238095,[14 13] ; [2 1],[14.4 12.6] ; [1.6 1.4],0
p7,1,0.629694,0.232476,[48 46] ; [2 3],[47.47474747 46.52525253] ; [2.52525253 2.47474747],0
p6,1,0.68328,0.166458,[37 56] ; [2 2],[37.39175258 55.60824742] ; [1.60824742 2.39175258],0
d4,1,0.785635,0.073975,[82 15] ; [4 1],[81.78431373 15.21568627] ; [4.21568627 0.78431373],0
d2,1,0.849189,0.036158,[54 43] ; [3 2],[54.20588235 42.79411765] ; [2.79411765 2.20588235],0
b4,1,0.884515,0.021097,[55 42] ; [3 2],[55.15686275 41.84313725] ; [2.84313725 2.15686275],0
