Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.002505,9.136712,[ 1 20] ; [55 89],[ 7.12727273 13.87272727] ; [48.87272727 95.12727273],0
b2,1,0.002505,9.136712,[ 1 20] ; [55 89],[ 7.12727273 13.87272727] ; [48.87272727 95.12727273],0
s3,1,0.003676,8.437132,[32 12] ; [120 125],[23.14186851 20.85813149] ; [128.85813149 116.14186851],0
s2,1,0.004423,8.101367,[27 16] ; [ 98 150],[18.47079038 24.52920962] ; [106.52920962 141.47079038],0
s5,1,0.018931,5.507864,[19 23] ; [ 66 176],[12.57042254 29.42957746] ; [ 72.42957746 169.57042254],0
s6,1,0.025278,5.004735,[35  9] ; [152  93],[28.47058824 15.52941176] ; [158.52941176  86.47058824],0
d3,1,0.054094,3.709788,[25 21] ; [ 97 151],[19.08843537 26.91156463] ; [102.91156463 145.08843537],0
a8,1,0.056989,3.622915,[ 2 39] ; [ 38 196],[ 5.96363636 35.03636364] ; [ 34.03636364 199.96363636],0
n4,1,0.071064,3.258281,[28 18] ; [184  65],[33.05762712 12.94237288] ; [178.94237288  70.05762712],0
v3,1,0.088481,2.901786,[11 33] ; [ 93 149],[16. 28.] ; [ 88. 154.],0
v2,1,0.094662,2.793252,[19 26] ; [130 103],[24.11870504 20.88129496] ; [124.88129496 108.11870504],0
p5,1,0.130882,2.282017,[ 2 44] ; [ 29 216],[ 4.90034364 41.09965636] ; [ 26.09965636 218.90034364],0
s7,1,0.162978,1.946377,[24 21] ; [ 98 135],[19.74820144 25.25179856] ; [102.25179856 130.74820144],0
d4,1,0.18748,1.737311,[24 22] ; [155  93],[28.00680272 17.99319728] ; [150.99319728  97.00680272],0
p2,1,0.229762,1.442336,[33 13] ; [196  50],[36.07534247  9.92465753] ; [192.92465753  53.07534247],0
a5,1,0.250496,1.320536,[25 21] ; [157  91],[28.47619048 17.52380952] ; [153.52380952  94.47619048],0
u2,1,0.305142,1.051587,[ 7 10] ; [53 44],[8.94736842 8.05263158] ; [51.05263158 45.94736842],0
p9,1,0.322215,0.979936,[37  8] ; [184  60],[34.41176471 10.58823529] ; [186.58823529  57.41176471],0
p6,1,0.324581,0.970397,[11 34] ; [ 77 165],[13.79790941 31.20209059] ; [ 74.20209059 167.79790941],0
s1,1,0.3457,0.88918,[ 1 43] ; [ 14 232],[ 2.27586207 41.72413793] ; [ 12.72413793 233.27586207],0
s8,1,0.350609,0.871252,[14 32] ; [ 93 154],[16.79863481 29.20136519] ; [ 90.20136519 156.79863481],0
n2,1,0.385013,0.754633,[9 1] ; [50 14],[7.97297297 2.02702703] ; [51.02702703 12.97297297],0
d2,1,0.438061,0.601356,[ 5 41] ; [ 38 211],[ 6.70508475 39.29491525] ; [ 36.29491525 212.70508475],0
p11,1,0.469012,0.524304,[33 13] ; [191  58],[34.92881356 11.07118644] ; [189.07118644  59.92881356],0
a2,1,0.475159,0.509953,[ 2 44] ; [ 18 231],[ 3.11864407 42.88135593] ; [ 16.88135593 232.11864407],0
v4,1,0.487417,0.482224,[43  2] ; [229  18],[41.91780822  3.08219178] ; [230.08219178  16.91780822],0
v1,1,0.50686,0.440544,[21 24] ; [127 117],[23.0449827 21.9550173] ; [124.9550173 119.0449827],0
p8,1,0.512989,0.427966,[19 26] ; [115 127],[21.01045296 23.98954704] ; [112.98954704 129.01045296],0
r2,1,0.521533,0.41086,[44  2] ; [230  17],[43.01706485  2.98293515] ; [230.98293515  16.01706485],0
n1,1,0.558566,0.342193,[3 7] ; [25 38],[3.83561644 6.16438356] ; [24.16438356 38.83561644],0
p4,1,0.570999,0.321014,[21 25] ; [123 122],[22.7628866 23.2371134] ; [121.2371134 123.7628866],0
r3,1,0.60594,0.26613,[43  2] ; [232  16],[42.23549488  2.76450512] ; [232.76450512  15.23549488],0
u3,1,0.612461,0.256607,[11  6] ; [57 41],[10.05217391  6.94782609] ; [57.94782609 40.05217391],0
a1,1,0.619885,0.24603,[ 1 45] ; [  9 240],[ 1.55932203 44.44067797] ; [  8.44067797 240.55932203],0
n5,1,0.620619,0.244998,[31 15] ; [174  71],[32.40549828 13.59450172] ; [172.59450172  72.40549828],0
p7,1,0.624682,0.239341,[25 19] ; [147  95],[26.46153846 17.53846154] ; [145.53846154  96.46153846],0
b5,1,0.681136,0.16885,[27 19] ; [138 111],[25.72881356 20.27118644] ; [139.27118644 109.72881356],0
n6,1,0.682291,0.167558,[36  9] ; [190  56],[34.94845361 10.05154639] ; [191.05154639  54.94845361],0
b4,1,0.73613,0.113557,[25 21] ; [142 107],[26.04067797 19.95932203] ; [140.95932203 108.04067797],0
p12,1,0.744948,0.105825,[ 3 43] ; [ 13 231],[ 2.53793103 43.46206897] ; [ 13.46206897 230.53793103],0
