Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3e-06,21.666469,[24 26] ; [111  24],[36.48648649 13.51351351] ; [98.51351351 36.48648649],1
p9,1,0.000134,14.587576,[24 26] ; [102  30],[34.61538462 15.38461538] ; [91.38461538 40.61538462],1
v4,1,0.000423,12.427844,[32 16] ; [120  15],[39.86885246  8.13114754] ; [112.13114754  22.86885246],1
p11,1,0.000548,11.943249,[26 25] ; [104  31],[35.64516129 15.35483871] ; [94.35483871 40.64516129],1
n4,1,0.000894,11.034971,[28 23] ; [107  28],[37.01612903 13.98387097] ; [97.98387097 37.01612903],1
b1,1,0.000953,10.915977,[35 16] ; [56 79],[24.9516129 26.0483871] ; [66.0483871 68.9516129],1
s7,1,0.001486,10.096154,[ 9 36] ; [61 69],[18. 27.] ; [52. 78.],0
r3,1,0.00185,9.692412,[34 17] ; [117  18],[41.40322581  9.59677419] ; [109.59677419  25.40322581],0
p10,1,0.001902,9.641818,[22 27] ; [93 40],[30.96153846 18.03846154] ; [84.03846154 48.96153846],0
p2,1,0.002638,9.042386,[25 24] ; [99 34],[33.38461538 15.61538462] ; [90.61538462 42.38461538],0
s8,1,0.004156,8.214185,[10 41] ; [57 78],[18.37096774 32.62903226] ; [48.62903226 86.37096774],0
r4,1,0.007953,7.044034,[27 24] ; [99 36],[34.5483871 16.4516129] ; [91.4516129 43.5483871],0
s6,1,0.010999,6.465501,[16 35] ; [70 64],[23.70810811 27.29189189] ; [62.29189189 71.70810811],0
p3,1,0.020882,5.336588,[11 39] ; [54 80],[17.66304348 32.33695652] ; [47.33695652 86.66304348],0
p8,1,0.026777,4.905119,[13 37] ; [58 74],[19.50549451 30.49450549] ; [51.49450549 80.50549451],0
d5,1,0.027101,4.884334,[25 26] ; [90 45],[31.53225806 19.46774194] ; [83.46774194 51.53225806],0
v3,1,0.048715,3.885134,[11 36] ; [52 80],[16.54189944 30.45810056] ; [46.45810056 85.54189944],0
d4,1,0.091985,2.839281,[27 23] ; [91 44],[31.89189189 18.10810811] ; [86.10810811 48.89189189],0
p6,1,0.106417,2.606645,[ 7 40] ; [35 97],[11.02793296 35.97206704] ; [ 30.97206704 101.02793296],0
r1,1,0.113752,2.50131,[26 25] ; [86 49],[30.70967742 20.29032258] ; [81.29032258 53.70967742],0
u2,1,0.122084,2.390384,[13  9] ; [18 28],[10.02941176 11.97058824] ; [20.97058824 25.02941176],0
p7,1,0.136459,2.217447,[21 28] ; [73 59],[25.44751381 23.55248619] ; [68.55248619 63.44751381],0
a8,1,0.152798,2.04409,[ 2 46] ; [ 14 111],[ 4.43930636 43.56069364] ; [ 11.56069364 113.43930636],0
a5,1,0.164114,1.935908,[26 25] ; [84 51],[30.16129032 20.83870968] ; [79.83870968 55.16129032],0
u3,1,0.225327,1.470116,[10 12] ; [14 32],[ 7.76470588 14.23529412] ; [16.23529412 29.76470588],0
a1,1,0.240532,1.377473,[ 4 47] ; [  5 130],[ 2.46774194 48.53225806] ; [  6.53225806 128.46774194],0
n2,1,0.246009,1.345825,[17  6] ; [25 17],[14.86153846  8.13846154] ; [27.13846154 14.86153846],0
r2,1,0.246906,1.340725,[38 11] ; [112  20],[40.60773481  8.39226519] ; [109.39226519  22.60773481],0
a3,1,0.252222,1.310953,[29 22] ; [89 46],[32.35483871 18.64516129] ; [85.64516129 49.35483871],0
p4,1,0.270335,1.215048,[18 31] ; [61 72],[21.26923077 27.73076923] ; [57.73076923 75.26923077],0
p5,1,0.316266,1.004324,[ 2 48] ; [ 11 122],[ 3.55191257 46.44808743] ; [  9.44808743 123.55191257],0
u1,1,0.333571,0.934986,[ 1 50] ; [  7 128],[ 2.19354839 48.80645161] ; [  5.80645161 129.19354839],0
n3,1,0.350944,0.87004,[16  6] ; [25 16],[14.31746032  7.68253968] ; [26.68253968 14.31746032],0
d3,1,0.354839,0.856075,[17 34] ; [55 80],[19.74193548 31.25806452] ; [52.25806452 82.74193548],0
s2,1,0.360575,0.83589,[15 36] ; [49 85],[17.64324324 33.35675676] ; [46.35675676 87.64324324],0
v1,1,0.361377,0.833103,[19 32] ; [59 73],[21.73770492 29.26229508] ; [56.26229508 75.73770492],0
b5,1,0.392873,0.730031,[24 27] ; [73 62],[26.59677419 24.40322581] ; [70.40322581 64.59677419],0
b2,1,0.406464,0.689119,[10 21] ; [37 54],[11.94262295 19.05737705] ; [35.05737705 55.94262295],0
b3,1,0.406464,0.689119,[10 21] ; [37 54],[11.94262295 19.05737705] ; [35.05737705 55.94262295],0
n1,1,0.448111,0.575425,[10 12] ; [15 27],[ 8.59375 13.40625] ; [16.40625 25.59375],0
d1,1,0.456759,0.553826,[17 34] ; [53 82],[19.19354839 31.80645161] ; [50.80645161 84.19354839],0
v2,1,0.468996,0.524341,[17 29] ; [56 74],[19.07954545 26.92045455] ; [53.92045455 76.07954545],0
p1,1,0.472567,0.515967,[ 2 49] ; [  9 125],[ 3.03243243 47.96756757] ; [  7.96756757 126.03243243],0
a2,1,0.492996,0.469981,[ 4 47] ; [  7 128],[ 3.01612903 47.98387097] ; [  7.98387097 127.01612903],0
