Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,84.62421,[143  28] ; [18 59],[111.01209677  59.98790323] ; [49.98790323 27.01209677],1
p2,1,0.0,27.559228,[138  33] ; [38 41],[120.384  50.616] ; [55.616 23.384],1
v4,1,1.3e-05,19.000717,[159  13] ; [56 22],[147.92  24.08] ; [67.08 10.92],1
r3,1,1.8e-05,18.400315,[155  17] ; [54 25],[143.21912351  28.78087649] ; [65.78087649 13.21912351],1
p11,1,5.8e-05,16.167262,[128  45] ; [38 41],[113.96031746  59.03968254] ; [52.03968254 26.96031746],1
r4,1,0.000166,14.176779,[143  30] ; [48 31],[131.12301587  41.87698413] ; [59.87698413 19.12301587],1
n6,1,0.000287,13.156532,[136  36] ; [45 34],[124.03187251  47.96812749] ; [56.96812749 22.03187251],1
s6,1,0.000501,12.111242,[102  69] ; [28 50],[89.27710843 81.72289157] ; [40.72289157 37.27710843],1
s2,1,0.00082,11.194422,[75 96] ; [17 61],[ 63.18072289 107.81927711] ; [28.81927711 49.18072289],1
p8,1,0.000901,11.020443,[ 70 102] ; [15 63],[ 58.48 113.52] ; [26.52 51.48],1
s8,1,0.001005,10.81798,[ 62 111] ; [12 66],[ 51.00398406 121.99601594] ; [22.99601594 55.00398406],0
n2,1,0.001313,10.32402,[46 10] ; [20 19],[38.90526316 17.09473684] ; [27.09473684 11.90526316],0
p4,1,0.004124,8.228521,[ 67 105] ; [16 62],[ 57.104 114.896] ; [25.896 52.104],0
s5,1,0.005588,7.678567,[ 49 120] ; [10 68],[ 40.36842105 128.63157895] ; [18.63157895 59.36842105],0
d2,1,0.010812,6.495938,[ 61 111] ; [41 37],[ 70.176 101.824] ; [31.824 46.176],0
b1,1,0.012547,6.231848,[ 61 112] ; [41 38],[ 70.02380952 102.97619048] ; [31.97619048 47.02380952],0
b5,1,0.016505,5.748304,[115  58] ; [40 39],[106.40873016  66.59126984] ; [48.59126984 30.40873016],0
