Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,9.8e-05,15.166326,[ 5 36] ; [6 2],[ 9.20408163 31.79591837] ; [1.79591837 6.20408163],1
d2,1,0.002901,8.868508,[ 9 32] ; [6 2],[12.55102041 28.44897959] ; [2.44897959 5.55102041],0
p12,1,0.005299,7.774404,[ 2 39] ; [3 5],[ 4.18367347 36.81632653] ; [0.81632653 7.18367347],0
p3,1,0.014114,6.0238,[12 29] ; [6 2],[15.06122449 25.93877551] ; [2.93877551 5.06122449],0
b3,1,0.016173,5.783989,[ 4 19] ; [4 2],[ 6.34482759 16.65517241] ; [1.65517241 4.34482759],0
b2,1,0.016173,5.783989,[ 4 19] ; [4 2],[ 6.34482759 16.65517241] ; [1.65517241 4.34482759],0
a3,1,0.017188,5.677078,[17 24] ; [7 1],[20.08163265 20.91836735] ; [3.91836735 4.08163265],0
d1,1,0.032406,4.576907,[10 31] ; [5 3],[12.55102041 28.44897959] ; [2.44897959 5.55102041],0
r4,1,0.032406,4.576907,[10 31] ; [5 3],[12.55102041 28.44897959] ; [2.44897959 5.55102041],0
v3,1,0.06661,3.364645,[ 8 33] ; [4 4],[10.04081633 30.95918367] ; [1.95918367 6.04081633],0
p4,1,0.095419,2.780493,[23 18] ; [7 1],[25.10204082 15.89795918] ; [4.89795918 3.10204082],0
v1,1,0.098414,2.731057,[13 28] ; [5 3],[15.06122449 25.93877551] ; [2.93877551 5.06122449],0
a5,1,0.107511,2.590427,[18 23] ; [6 2],[20.08163265 20.91836735] ; [3.91836735 4.08163265],0
s6,1,0.107511,2.590427,[18 23] ; [6 2],[20.08163265 20.91836735] ; [3.91836735 4.08163265],0
v2,1,0.172516,1.860939,[15 26] ; [5 3],[16.73469388 24.26530612] ; [3.26530612 4.73469388],0
u1,1,0.188321,1.730702,[ 1 40] ; [1 7],[ 1.67346939 39.32653061] ; [0.32653061 7.67346939],0
a2,1,0.188321,1.730702,[ 1 40] ; [1 7],[ 1.67346939 39.32653061] ; [0.32653061 7.67346939],0
b1,1,0.273845,1.197385,[24 17] ; [3 5],[22.59183673 18.40816327] ; [4.40816327 3.59183673],0
s3,1,0.309257,1.033846,[12 28] ; [1 7],[10.83333333 29.16666667] ; [2.16666667 5.83333333],0
p7,1,0.319719,0.990097,[23 18] ; [6 2],[24.26530612 16.73469388] ; [4.73469388 3.26530612],0
n3,1,0.328864,0.953366,[12  7] ; [1 2],[11.22727273  7.77272727] ; [1.77272727 1.22727273],0
n2,1,0.328864,0.953366,[12  7] ; [1 2],[11.22727273  7.77272727] ; [1.77272727 1.22727273],0
b5,1,0.334975,0.929567,[23 18] ; [3 5],[21.75510204 19.24489796] ; [4.24489796 3.75510204],0
p8,1,0.334975,0.929567,[18 23] ; [5 3],[19.24489796 21.75510204] ; [3.75510204 4.24489796],0
a4,1,0.349535,0.875144,[ 9 32] ; [3 5],[10.04081633 30.95918367] ; [1.95918367 6.04081633],0
n5,1,0.382002,0.764249,[24 17] ; [6 2],[25.10204082 15.89795918] ; [4.89795918 3.10204082],0
d5,1,0.382002,0.764249,[24 17] ; [6 2],[25.10204082 15.89795918] ; [4.89795918 3.10204082],0
n4,1,0.382002,0.764249,[24 17] ; [6 2],[25.10204082 15.89795918] ; [4.89795918 3.10204082],0
a6,1,0.402987,0.699395,[19 22] ; [5 3],[20.08163265 20.91836735] ; [3.91836735 4.08163265],0
a1,1,0.410765,0.676586,[ 2 39] ; [1 7],[ 2.51020408 38.48979592] ; [0.48979592 7.51020408],0
p6,1,0.541116,0.373476,[11 30] ; [3 5],[11.71428571 29.28571429] ; [2.28571429 5.71428571],0
b4,1,0.558678,0.341999,[21 20] ; [5 3],[21.75510204 19.24489796] ; [4.24489796 3.75510204],0
r1,1,0.563424,0.33381,[16 25] ; [4 4],[16.73469388 24.26530612] ; [3.26530612 4.73469388],0
s2,1,0.569996,0.322689,[11 29] ; [3 5],[11.66666667 28.33333333] ; [2.33333333 5.66666667],0
s7,1,0.593636,0.284702,[12 25] ; [3 4],[12.61363636 24.38636364] ; [2.38636364 4.61363636],0
s8,1,0.613825,0.254642,[14 27] ; [2 6],[13.3877551 27.6122449] ; [2.6122449 5.3877551],0
v4,1,0.644007,0.21354,[29 12] ; [5 3],[28.44897959 12.55102041] ; [5.55102041 2.44897959],0
d3,1,0.73783,0.112043,[23 18] ; [5 3],[23.42857143 17.57142857] ; [4.57142857 3.42857143],0
a8,1,0.771176,0.084586,[ 4 34] ; [1 6],[ 4.22222222 33.77777778] ; [0.77777778 6.22222222],0
r3,1,0.87794,0.023587,[31  9] ; [6 2],[30.83333333  9.16666667] ; [6.16666667 1.83333333],0
a7,1,0.949673,0.003984,[20 21] ; [4 4],[20.08163265 20.91836735] ; [3.91836735 4.08163265],0
