Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,164.92597,[341   8] ; [20 29],[316.55527638  32.44472362] ; [44.44472362  4.55527638],1
p11,1,0.0,62.892694,[310  39] ; [22 28],[290.39598997  58.60401003] ; [41.60401003  8.39598997],1
n5,1,0.0,28.10842,[291  57] ; [25 24],[276.99748111  71.00251889] ; [39.00251889  9.99748111],1
n6,1,6e-06,20.431029,[314  34] ; [33 16],[304.17128463  43.82871537] ; [42.82871537  6.17128463],1
p8,1,0.000144,14.451677,[250  98] ; [22 27],[238.42821159 109.57178841] ; [33.57178841 15.42821159],1
r4,1,0.000345,12.806443,[329  20] ; [40 10],[322.7593985  26.2406015] ; [46.2406015  3.7593985],1
n4,1,0.00036,12.731094,[299  50] ; [32 17],[290.24874372  58.75125628] ; [40.75125628  8.24874372],1
a5,1,0.000556,11.919185,[284  65] ; [30 20],[274.65162907  74.34837093] ; [39.34837093 10.65162907],1
a3,1,0.00091,11.002231,[275  72] ; [29 21],[265.71284635  81.28715365] ; [38.28715365 11.71284635],1
p7,1,0.001,10.827125,[284  62] ; [31 19],[275.22727273  70.77272727] ; [39.77272727 10.22727273],0
p4,1,0.001299,10.344646,[300  49] ; [34 16],[292.14536341  56.85463659] ; [41.85463659  8.14536341],0
v3,1,0.002233,9.347161,[167 172] ; [12 35],[157.20466321 181.79533679] ; [21.79533679 25.20466321],0
s5,1,0.003028,8.790753,[147 187] ; [10 37],[137.63254593 196.36745407] ; [19.36745407 27.63254593],0
d1,1,0.00481,7.949518,[232 117] ; [23 27],[223.04511278 125.95488722] ; [31.95488722 18.04511278],0
s6,1,0.008932,6.836323,[252  87] ; [27 21],[244.39534884  94.60465116] ; [34.60465116 13.39534884],0
v2,1,0.00963,6.702089,[215 125] ; [21 27],[206.80412371 133.19587629] ; [29.19587629 18.80412371],0
v1,1,0.013823,6.060575,[218 122] ; [23 27],[210.1025641 129.8974359] ; [30.8974359 19.1025641],0
d5,1,0.014322,5.998019,[303  45] ; [37 13],[297.28643216  50.71356784] ; [42.71356784  7.28643216],0
r1,1,0.017293,5.666347,[290  56] ; [35 15],[283.96464646  62.03535354] ; [41.03535354  8.96464646],0
s7,1,0.018435,5.554343,[199 129] ; [20 27],[191.552 136.448] ; [27.448 19.552],0
a6,1,0.019856,5.424479,[251  97] ; [28 22],[243.94974874 104.05025126] ; [35.05025126 14.94974874],0
p6,1,0.020708,5.351198,[180 166] ; [16 31],[172.55979644 173.44020356] ; [23.44020356 23.55979644],0
d4,1,0.02506,5.019762,[300  48] ; [37 13],[294.66331658  53.33668342] ; [42.33668342  7.66331658],0
u2,1,0.026656,4.912966,[48 26] ; [ 7 12],[43.76344086 30.23655914] ; [11.23655914  7.76344086],0
b1,1,0.028228,4.814066,[145 204] ; [29 21],[152.19548872 196.80451128] ; [21.80451128 28.19548872],0
a4,1,0.031148,4.644779,[175 173] ; [17 33],[167.87939698 180.12060302] ; [24.12060302 25.87939698],0
r2,1,0.047601,3.92403,[333  13] ; [45  5],[330.27272727  15.72727273] ; [47.72727273  2.27272727],0
s8,1,0.057732,3.601373,[188 159] ; [19 29],[181.84556962 165.15443038] ; [25.15443038 22.84556962],0
a2,1,0.076851,3.130264,[105 244] ; [ 9 41],[ 99.71428571 249.28571429] ; [14.28571429 35.71428571],0
p5,1,0.080137,3.062115,[ 71 277] ; [ 5 45],[ 66.45226131 281.54773869] ; [ 9.54773869 40.45226131],0
u1,1,0.103979,2.643428,[ 85 264] ; [ 7 43],[ 80.47117794 268.52882206] ; [11.52882206 38.47117794],0
b5,1,0.104874,2.62981,[195 154] ; [34 16],[200.30325815 148.69674185] ; [28.69674185 21.30325815],0
d2,1,0.15498,2.022538,[191 158] ; [22 28],[186.30827068 162.69172932] ; [26.69172932 23.30827068],0
r3,1,0.166514,1.914049,[333  13] ; [46  4],[331.14646465  14.85353535] ; [47.85353535  2.14646465],0
s2,1,0.169513,1.887247,[195 151] ; [22 26],[190.56345178 155.43654822] ; [26.43654822 21.56345178],0
b2,1,0.226947,1.459897,[ 93 132] ; [10 23],[ 89.8255814 135.1744186] ; [13.1744186 19.8255814],0
b3,1,0.226947,1.459897,[ 93 132] ; [10 23],[ 89.8255814 135.1744186] ; [13.1744186 19.8255814],0
n2,1,0.251503,1.314935,[29 15] ; [13  3],[30.8 13.2] ; [11.2  4.8],0
