Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.9e-05,18.335459,[12  2] ; [ 6 26],[5.47826087 8.52173913] ; [12.52173913 19.47826087],1
p4,1,0.013829,6.059837,[12  2] ; [15 17],[8.2173913 5.7826087] ; [18.7826087 13.2173913],0
v3,1,0.014564,5.968444,[7 7] ; [ 5 27],[ 3.65217391 10.34782609] ; [ 8.34782609 23.65217391],0
d1,1,0.018882,5.512404,[8 6] ; [ 7 25],[4.56521739 9.43478261] ; [10.43478261 21.56521739],0
p6,1,0.034437,4.472887,[5 9] ; [ 3 28],[ 2.48888889 11.51111111] ; [ 5.51111111 25.48888889],0
p7,1,0.036274,4.384155,[9 5] ; [10 22],[5.7826087 8.2173913] ; [13.2173913 18.7826087],0
a4,1,0.046331,3.969527,[6 8] ; [ 5 27],[ 3.34782609 10.65217391] ; [ 7.65217391 24.34782609],0
p11,1,0.052942,3.745755,[13  1] ; [21 11],[10.34782609  3.65217391] ; [23.65217391  8.34782609],0
a3,1,0.054529,3.696429,[10  4] ; [13 19],[7. 7.] ; [16. 16.],0
a5,1,0.054529,3.696429,[10  4] ; [13 19],[7. 7.] ; [16. 16.],0
b4,1,0.060639,3.519813,[6 8] ; [23  9],[8.82608696 5.17391304] ; [20.17391304 11.82608696],0
p5,1,0.128522,2.310268,[5 9] ; [ 5 27],[ 3.04347826 10.95652174] ; [ 6.95652174 25.04347826],0
d2,1,0.151764,2.054427,[7 7] ; [ 9 23],[4.86956522 9.13043478] ; [11.13043478 20.86956522],0
u1,1,0.158352,1.989895,[ 2 12] ; [ 1 31],[ 0.91304348 13.08695652] ; [ 2.08695652 29.91304348],0
s2,1,0.16474,1.930167,[6 7] ; [ 8 24],[4.04444444 8.95555556] ; [ 9.95555556 22.04444444],0
p10,1,0.194822,1.680773,[10  3] ; [18 14],[8.08888889 4.91111111] ; [19.91111111 12.08888889],0
p3,1,0.225413,1.469574,[7 7] ; [10 22],[5.17391304 8.82608696] ; [11.82608696 20.17391304],0
v4,1,0.225413,1.469574,[7 7] ; [22 10],[8.82608696 5.17391304] ; [20.17391304 11.82608696],0
n5,1,0.22795,1.453606,[12  2] ; [22 10],[10.34782609  3.65217391] ; [23.65217391  8.34782609],0
s3,1,0.275349,1.189904,[ 2 11] ; [10 22],[3.46666667 9.53333333] ; [ 8.53333333 23.46666667],0
d4,1,0.284661,1.1447,[11  3] ; [20 12],[9.43478261 4.56521739] ; [21.56521739 10.43478261],0
n4,1,0.284661,1.1447,[11  3] ; [20 12],[9.43478261 4.56521739] ; [21.56521739 10.43478261],0
s5,1,0.308457,1.037269,[ 4 10] ; [ 5 27],[ 2.73913043 11.26086957] ; [ 6.26086957 25.73913043],0
p8,1,0.317731,0.998264,[7 7] ; [11 21],[5.47826087 8.52173913] ; [12.52173913 19.47826087],0
d5,1,0.331755,0.942035,[10  4] ; [18 14],[8.52173913 5.47826087] ; [19.47826087 12.52173913],0
u3,1,0.349445,0.87547,[2 2] ; [ 5 14],[1.2173913 2.7826087] ; [ 5.7826087 13.2173913],0
d3,1,0.370768,0.801088,[9 5] ; [16 16],[7.60869565 6.39130435] ; [17.39130435 14.60869565],0
a7,1,0.402756,0.700081,[8 6] ; [14 18],[6.69565217 7.30434783] ; [15.30434783 16.69565217],0
s6,1,0.402756,0.700081,[8 6] ; [14 18],[6.69565217 7.30434783] ; [15.30434783 16.69565217],0
b5,1,0.428207,0.62768,[7 7] ; [20 12],[8.2173913 5.7826087] ; [18.7826087 13.2173913],0
p2,1,0.496053,0.46337,[11  3] ; [22 10],[10.04347826  3.95652174] ; [22.95652174  9.04347826],0
a6,1,0.521607,0.410714,[8 6] ; [15 17],[7. 7.] ; [16. 16.],0
s1,1,0.538652,0.378044,[ 1 13] ; [ 1 31],[ 0.60869565 13.39130435] ; [ 1.39130435 30.60869565],0
p9,1,0.542519,0.370891,[10  3] ; [21 10],[9.15909091 3.84090909] ; [21.84090909  9.15909091],0
n3,1,0.585106,0.298052,[3 3] ; [7 4],[3.52941176 2.47058824] ; [6.47058824 4.52941176],0
p1,1,0.591182,0.288502,[ 1 13] ; [ 4 28],[ 1.52173913 12.47826087] ; [ 3.47826087 28.52173913],0
s8,1,0.606741,0.264947,[5 9] ; [ 9 23],[4.26086957 9.73913043] ; [ 9.73913043 22.26086957],0
n1,1,0.622252,0.242716,[1 5] ; [3 8],[1.41176471 4.58823529] ; [2.58823529 8.41176471],0
p12,1,0.622463,0.242422,[ 2 12] ; [ 3 29],[ 1.52173913 12.47826087] ; [ 3.47826087 28.52173913],0
r1,1,0.766317,0.088326,[5 9] ; [10 22],[4.56521739 9.43478261] ; [10.43478261 21.56521739],0
s7,1,0.791462,0.069914,[3 9] ; [ 9 22],[3.34883721 8.65116279] ; [ 8.65116279 22.34883721],0
b1,1,0.801251,0.063367,[6 8] ; [15 17],[6.39130435 7.60869565] ; [14.60869565 17.39130435],0
r4,1,0.855842,0.033004,[ 4 10] ; [10 22],[4.26086957 9.73913043] ; [ 9.73913043 22.26086957],0
r3,1,0.891778,0.018511,[10  3] ; [24  8],[9.82222222 3.17777778] ; [24.17777778  7.82222222],0
n2,1,0.900569,0.015611,[4 2] ; [7 4],[3.88235294 2.11764706] ; [7.11764706 3.88235294],0
s4,1,0.907366,0.01354,[ 2 12] ; [ 5 27],[ 2.13043478 11.86956522] ; [ 4.86956522 27.13043478],0
u2,1,0.923708,0.009171,[2 2] ; [ 9 10],[1.91304348 2.08695652] ; [9.08695652 9.91304348],0
b2,1,0.930386,0.007632,[3 6] ; [ 7 13],[3.10344828 5.89655172] ; [ 6.89655172 13.10344828],0
b3,1,0.930386,0.007632,[3 6] ; [ 7 13],[3.10344828 5.89655172] ; [ 6.89655172 13.10344828],0
