Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1.4e-05,18.853901,[363  22] ; [62 16],[353.40172786  31.59827214] ; [71.59827214  6.40172786],1
r3,1,0.00011,14.952825,[377   7] ; [69  8],[371.50542299  12.49457701] ; [74.49457701  2.50542299],1
p2,1,0.000433,12.38273,[341  42] ; [57 20],[331.37826087  51.62173913] ; [66.62173913 10.37826087],1
n5,1,0.001176,10.527268,[313  71] ; [50 27],[302.36876356  81.63123644] ; [60.63123644 16.36876356],0
p8,1,0.001311,10.326962,[228 151] ; [31 46],[215.26535088 163.73464912] ; [43.73464912 33.26535088],0
v1,1,0.002525,9.122333,[231 141] ; [34 44],[219.06666667 152.93333333] ; [45.93333333 32.06666667],0
p4,1,0.005374,7.748973,[271 112] ; [42 35],[260.60652174 122.39347826] ; [52.39347826 24.60652174],0
p7,1,0.007095,7.248823,[267 109] ; [42 34],[257.04424779 118.95575221] ; [51.95575221 24.04424779],0
n6,1,0.009574,6.712542,[344  40] ; [60 16],[337.25217391  46.74782609] ; [66.74782609  9.25217391],0
n4,1,0.011069,6.454251,[327  59] ; [56 21],[319.30453564  66.69546436] ; [63.69546436 13.30453564],0
n1,1,0.030957,4.655331,[22 44] ; [17 13],[26.8125 39.1875] ; [12.1875 17.8125],0
b5,1,0.038004,4.304865,[234 152] ; [57 21],[242.08189655 143.91810345] ; [48.91810345 29.08189655],0
s1,1,0.058913,3.567713,[  9 371] ; [ 5 73],[ 11.61572052 368.38427948] ; [ 2.38427948 75.61572052],0
v3,1,0.071484,3.248616,[172 191] ; [27 48],[164.92465753 198.07534247] ; [34.07534247 40.92465753],0
s4,1,0.078423,3.097288,[ 61 319] ; [19 59],[ 66.37554585 313.62445415] ; [13.62445415 64.37554585],0
d2,1,0.106164,2.61041,[270 115] ; [61 16],[275.83333333 109.16666667] ; [55.16666667 21.83333333],0
n3,1,0.165682,1.921588,[46 19] ; [26  5],[48.75 16.25] ; [23.25  7.75],0
p5,1,0.177843,1.815557,[ 57 325] ; [ 7 70],[ 53.26361656 328.73638344] ; [10.73638344 66.26361656],0
p12,1,0.186822,1.742503,[ 44 340] ; [ 5 73],[ 40.72727273 343.27272727] ; [ 8.27272727 69.72727273],0
r4,1,0.199173,1.648426,[362  24] ; [70  8],[359.37931034  26.62068966] ; [72.62068966  5.37931034],0
v2,1,0.208721,1.580275,[237 132] ; [43 33],[232.17977528 136.82022472] ; [47.82022472 28.17977528],0
a4,1,0.221413,1.495192,[223 162] ; [51 27],[227.84017279 157.15982721] ; [46.15982721 31.84017279],0
a3,1,0.230914,1.435225,[313  72] ; [67 10],[316.66666667  68.33333333] ; [63.33333333 13.66666667],0
a2,1,0.288919,1.124654,[134 252] ; [32 46],[138.09482759 247.90517241] ; [27.90517241 50.09482759],0
d3,1,0.292192,1.109493,[339  46] ; [71  6],[341.66666667  43.33333333] ; [68.33333333  8.66666667],0
b3,1,0.319521,0.990908,[111 145] ; [14 26],[108.10810811 147.89189189] ; [16.89189189 23.10810811],0
b2,1,0.319521,0.990908,[111 145] ; [14 26],[108.10810811 147.89189189] ; [16.89189189 23.10810811],0
b1,1,0.32656,0.962492,[131 255] ; [31 47],[134.76724138 251.23275862] ; [27.23275862 50.76724138],0
a5,1,0.333697,0.934498,[333  53] ; [64 14],[330.26293103  55.73706897] ; [66.73706897 11.26293103],0
s7,1,0.367681,0.811487,[204 170] ; [44 29],[207.49888143 166.50111857] ; [40.50111857 32.49888143],0
p6,1,0.37173,0.797873,[162 219] ; [37 40],[165.54366812 215.45633188] ; [33.45633188 43.54366812],0
