Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,25.131831,[23  3] ; [ 9 28],[13.20634921 12.79365079] ; [18.79365079 18.20634921],1
s6,1,0.012471,6.242649,[22  3] ; [21 15],[17.62295082  7.37704918] ; [25.37704918 10.62295082],0
p9,1,0.020051,5.407484,[24  2] ; [25 12],[20.22222222  5.77777778] ; [28.77777778  8.22222222],0
b5,1,0.03962,4.234088,[20  6] ; [19 18],[16.0952381  9.9047619] ; [22.9047619 14.0952381],0
a7,1,0.041131,4.170611,[22  3] ; [24 13],[18.5483871  6.4516129] ; [27.4516129  9.5483871],0
a6,1,0.052509,3.759466,[19  7] ; [18 19],[15.26984127 10.73015873] ; [21.73015873 15.26984127],0
r4,1,0.086896,2.930957,[24  2] ; [28  9],[21.46031746  4.53968254] ; [30.53968254  6.46031746],0
p10,1,0.087293,2.923597,[23  3] ; [26 11],[20.22222222  5.77777778] ; [28.77777778  8.22222222],0
r2,1,0.115484,2.477522,[25  1] ; [30  6],[23.06451613  2.93548387] ; [31.93548387  4.06451613],0
s5,1,0.12322,2.375913,[10 14] ; [ 8 27],[ 7.3220339 16.6779661] ; [10.6779661 24.3220339],0
v1,1,0.123377,2.373916,[13 12] ; [12 25],[10.08064516 14.91935484] ; [14.91935484 22.08064516],0
r3,1,0.124022,2.365774,[25  1] ; [31  6],[23.11111111  2.88888889] ; [32.88888889  4.11111111],0
s8,1,0.171349,1.871102,[ 8 18] ; [ 6 31],[ 5.77777778 20.22222222] ; [ 8.22222222 28.77777778],0
u1,1,0.184034,1.764745,[ 4 22] ; [ 2 35],[ 2.47619048 23.52380952] ; [ 3.52380952 33.47619048],0
a2,1,0.19176,1.704042,[ 5 21] ; [ 3 34],[ 3.3015873 22.6984127] ; [ 4.6984127 32.3015873],0
n4,1,0.208067,1.584823,[12 14] ; [23 14],[14.44444444 11.55555556] ; [20.55555556 16.44444444],0
v3,1,0.209062,1.577908,[ 3 22] ; [ 9 27],[ 4.91803279 20.08196721] ; [ 7.08196721 28.91803279],0
n5,1,0.228705,1.448895,[16 10] ; [28  9],[18.15873016  7.84126984] ; [25.84126984 11.15873016],0
n1,1,0.243498,1.360227,[1 7] ; [4 7],[2.10526316 5.89473684] ; [2.89473684 8.10526316],0
d5,1,0.281728,1.158735,[20  5] ; [25 12],[18.14516129  6.85483871] ; [26.85483871 10.14516129],0
a4,1,0.302534,1.062991,[11 15] ; [11 26],[ 9.07936508 16.92063492] ; [12.92063492 24.07936508],0
n6,1,0.330642,0.946383,[22  3] ; [29  8],[20.56451613  4.43548387] ; [30.43548387  6.56451613],0
u3,1,0.337482,0.919974,[9 5] ; [8 9],[7.67741935 6.32258065] ; [9.32258065 7.67741935],0
p8,1,0.380747,0.768287,[ 8 18] ; [15 21],[ 9.64516129 16.35483871] ; [13.35483871 22.64516129],0
b4,1,0.422833,0.642429,[15 11] ; [25 12],[16.50793651  9.49206349] ; [23.49206349 13.50793651],0
a5,1,0.427732,0.628975,[18  8] ; [22 15],[16.50793651  9.49206349] ; [23.49206349 13.50793651],0
u2,1,0.436198,0.606264,[6 8] ; [ 5 12],[4.96774194 9.03225806] ; [ 6.03225806 10.96774194],0
d3,1,0.452182,0.565176,[16  9] ; [27 10],[17.33870968  7.66129032] ; [25.66129032 11.33870968],0
v2,1,0.45935,0.547477,[10 14] ; [19 18],[11.40983607 12.59016393] ; [17.59016393 19.40983607],0
p5,1,0.494617,0.466467,[ 1 25] ; [ 3 34],[ 1.65079365 24.34920635] ; [ 2.34920635 34.65079365],0
b2,1,0.501594,0.451561,[1 7] ; [ 5 16],[1.65517241 6.34482759] ; [ 4.34482759 16.65517241],0
b3,1,0.501594,0.451561,[1 7] ; [ 5 16],[1.65517241 6.34482759] ; [ 4.34482759 16.65517241],0
b1,1,0.518212,0.41745,[ 9 17] ; [10 27],[ 7.84126984 18.15873016] ; [11.15873016 25.84126984],0
a3,1,0.536902,0.381312,[12 14] ; [20 17],[13.20634921 12.79365079] ; [18.79365079 18.20634921],0
p2,1,0.558092,0.343019,[20  6] ; [26 11],[18.98412698  7.01587302] ; [27.01587302  9.98412698],0
d2,1,0.56231,0.33572,[ 8 18] ; [14 23],[ 9.07936508 16.92063492] ; [12.92063492 24.07936508],0
p11,1,0.56231,0.33572,[18  8] ; [23 14],[16.92063492  9.07936508] ; [24.07936508 12.92063492],0
r1,1,0.717421,0.130977,[18  8] ; [24 13],[17.33333333  8.66666667] ; [24.66666667 12.33333333],0
a8,1,0.745171,0.105634,[ 1 22] ; [ 1 35],[ 0.77966102 22.22033898] ; [ 1.22033898 34.77966102],0
p7,1,0.751094,0.100614,[13 13] ; [20 17],[13.61904762 12.38095238] ; [19.38095238 17.61904762],0
d1,1,0.751094,0.100614,[13 13] ; [17 20],[12.38095238 13.61904762] ; [17.61904762 19.38095238],0
p1,1,0.774791,0.081861,[ 1 25] ; [ 2 35],[ 1.23809524 24.76190476] ; [ 1.76190476 35.23809524],0
p6,1,0.80818,0.05894,[ 7 19] ; [11 26],[ 7.42857143 18.57142857] ; [10.57142857 26.42857143],0
p3,1,0.888452,0.019674,[11 15] ; [15 22],[10.73015873 15.26984127] ; [15.26984127 21.73015873],0
d4,1,0.891198,0.018711,[20  6] ; [29  8],[20.22222222  5.77777778] ; [28.77777778  8.22222222],0
p4,1,0.915879,0.011157,[13 13] ; [18 19],[12.79365079 13.20634921] ; [18.20634921 18.79365079],0
n3,1,0.959566,0.00257,[5 3] ; [7 4],[5.05263158 2.94736842] ; [6.94736842 4.05263158],0
n2,1,0.959566,0.00257,[5 3] ; [7 4],[5.05263158 2.94736842] ; [6.94736842 4.05263158],0
