Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,6.3e-05,16.006291,[32 22] ; [18 56],[21.09375 32.90625] ; [28.90625 45.09375],1
r3,1,0.000329,12.894995,[52  2] ; [53 21],[44.296875  9.703125] ; [60.703125 13.296875],1
v1,1,0.001019,10.793392,[35 18] ; [27 47],[25.87401575 27.12598425] ; [36.12598425 37.87401575],0
p10,1,0.0018,9.742901,[44  9] ; [42 32],[35.88976378 17.11023622] ; [50.11023622 23.88976378],0
p6,1,0.002393,9.220389,[25 28] ; [16 58],[17.11023622 35.88976378] ; [23.88976378 50.11023622],0
a7,1,0.003787,8.383415,[39 15] ; [35 40],[30.97674419 23.02325581] ; [43.02325581 31.97674419],0
p7,1,0.003875,8.341491,[38 15] ; [34 40],[30.04724409 22.95275591] ; [41.95275591 32.04724409],0
p9,1,0.004326,8.141639,[45  8] ; [45 28],[37.85714286 15.14285714] ; [52.14285714 20.85714286],0
p3,1,0.007768,7.086216,[32 21] ; [27 47],[24.62204724 28.37795276] ; [34.37795276 39.62204724],0
s4,1,0.008897,6.843435,[ 4 49] ; [19 55],[ 9.5984252 43.4015748] ; [13.4015748 60.5984252],0
r1,1,0.009259,6.772097,[44 10] ; [45 30],[37.25581395 16.74418605] ; [51.74418605 23.25581395],0
p8,1,0.016812,5.71586,[31 22] ; [27 46],[24.3968254 28.6031746] ; [33.6031746 39.3968254],0
s8,1,0.023404,5.138271,[23 30] ; [18 56],[17.11023622 35.88976378] ; [23.88976378 50.11023622],0
p4,1,0.024553,5.055141,[34 19] ; [33 42],[27.7421875 25.2578125] ; [39.2578125 35.7421875],0
p11,1,0.030331,4.690419,[44 10] ; [48 27],[38.51162791 15.48837209] ; [53.48837209 21.51162791],0
r4,1,0.04097,4.177244,[47  7] ; [54 21],[42.27906977 11.72093023] ; [58.72093023 16.27906977],0
d3,1,0.042558,4.112861,[22 32] ; [18 57],[16.74418605 37.25581395] ; [23.25581395 51.74418605],0
u2,1,0.048892,3.879072,[12 12] ; [10 29],[ 8.38095238 15.61904762] ; [13.61904762 25.38095238],0
p2,1,0.055705,3.660867,[44  9] ; [51 24],[39.3359375 13.6640625] ; [55.6640625 19.3359375],0
b4,1,0.092389,2.832239,[34 20] ; [36 39],[29.30232558 24.69767442] ; [40.69767442 34.30232558],0
s1,1,0.125548,2.346708,[ 1 52] ; [ 6 67],[ 2.94444444 50.05555556] ; [ 4.05555556 68.94444444],0
a4,1,0.140388,2.1737,[12 42] ; [25 48],[15.73228346 38.26771654] ; [21.26771654 51.73228346],0
s5,1,0.146206,2.11139,[16 36] ; [14 58],[12.58064516 39.41935484] ; [17.41935484 54.58064516],0
n2,1,0.150962,2.0625,[10  1] ; [15  7],[8.33333333 2.66666667] ; [16.66666667  5.33333333],0
n6,1,0.162352,1.952177,[47  7] ; [58 17],[43.95348837 10.04651163] ; [61.04651163 13.95348837],0
s7,1,0.18379,1.766706,[23 24] ; [26 45],[19.51694915 27.48305085] ; [29.48305085 41.51694915],0
a5,1,0.247783,1.335761,[35 19] ; [41 34],[31.81395349 22.18604651] ; [44.18604651 30.81395349],0
r2,1,0.301551,1.067322,[49  4] ; [65 10],[47.203125  5.796875] ; [66.796875  8.203125],0
v4,1,0.363082,0.827204,[48  5] ; [63 11],[46.32283465  6.67716535] ; [64.67716535  9.32283465],0
p12,1,0.384635,0.755836,[ 4 49] ; [ 3 72],[ 2.8984375 50.1015625] ; [ 4.1015625 70.8984375],0
b2,1,0.394069,0.726349,[12 24] ; [13 39],[10.22727273 25.77272727] ; [14.77272727 37.22727273],0
b3,1,0.394069,0.726349,[12 24] ; [13 39],[10.22727273 25.77272727] ; [14.77272727 37.22727273],0
u1,1,0.401691,0.703258,[ 3 51] ; [ 2 73],[ 2.09302326 51.90697674] ; [ 2.90697674 72.09302326],0
u3,1,0.433742,0.612783,[11 13] ; [14 25],[ 9.52380952 14.47619048] ; [15.47619048 23.52380952],0
a6,1,0.479517,0.499961,[35 19] ; [44 31],[33.06976744 20.93023256] ; [45.93023256 29.06976744],0
s2,1,0.484607,0.488478,[20 32] ; [24 50],[18.15873016 33.84126984] ; [25.84126984 48.15873016],0
a3,1,0.486497,0.484266,[30 24] ; [36 37],[28.06299213 25.93700787] ; [37.93700787 35.06299213],0
a8,1,0.551594,0.354469,[ 5 45] ; [ 9 57],[ 6.03448276 43.96551724] ; [ 7.96551724 58.03448276],0
s6,1,0.608151,0.262877,[30 21] ; [39 33],[28.6097561 22.3902439] ; [40.3902439 31.6097561],0
a2,1,0.621507,0.243756,[ 5 49] ; [ 9 66],[ 5.86046512 48.13953488] ; [ 8.13953488 66.86046512],0
s3,1,0.715876,0.132479,[27 25] ; [35 37],[26. 26.] ; [36. 36.],0
p1,1,0.736178,0.113514,[ 8 45] ; [13 62],[ 8.6953125 44.3046875] ; [12.3046875 62.6953125],0
b5,1,0.780072,0.077967,[33 21] ; [44 31],[32.23255814 21.76744186] ; [44.76744186 30.23255814],0
d1,1,0.796305,0.066632,[ 3 51] ; [ 5 70],[ 3.34883721 50.65116279] ; [ 4.65116279 70.34883721],0
n1,1,0.805453,0.060662,[6 5] ; [11 11],[5.66666667 5.33333333] ; [11.33333333 10.66666667],0
b1,1,0.886271,0.020456,[23 31] ; [31 44],[22.60465116 31.39534884] ; [31.39534884 43.60465116],0
p5,1,0.906318,0.013849,[ 6 47] ; [ 9 66],[ 6.2109375 46.7890625] ; [ 8.7890625 66.2109375],0
d5,1,0.920248,0.010024,[24 30] ; [34 41],[24.27906977 29.72093023] ; [33.72093023 41.27906977],0
