Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.000779,11.289463,[533 102] ; [7 7],[528.35130971 106.64869029] ; [11.64869029  2.35130971],1
d4,1,0.008463,6.932697,[531 103] ; [8 6],[527.35493827 106.64506173] ; [11.64506173  2.35493827],0
s5,1,0.02423,5.078115,[213 394] ; [9 5],[216.99516908 390.00483092] ; [5.00483092 8.99516908],0
d3,1,0.026435,4.927328,[447 188] ; [6 8],[443.22804314 191.77195686] ; [9.77195686 4.22804314],0
s1,1,0.029766,4.722757,[ 21 605] ; [ 2 12],[ 22.496875 603.503125] ; [ 0.503125 13.496875],0
p7,1,0.059925,3.53945,[416 206] ; [6 8],[412.71069182 209.28930818] ; [9.28930818 4.71069182],0
a4,1,0.064358,3.421348,[311 324] ; [ 3 10],[307.70061728 327.29938272] ; [6.29938272 6.70061728],0
p11,1,0.066211,3.374548,[530 108] ; [9 5],[527.42638037 110.57361963] ; [11.57361963  2.42638037],0
n1,1,0.092656,2.827613,[46 58] ; [6 2],[48.28571429 55.71428571] ; [3.71428571 4.28571429],0
a2,1,0.094661,2.79326,[173 465] ; [ 1 13],[170.26380368 467.73619632] ; [ 3.73619632 10.26380368],0
p8,1,0.11384,2.500083,[342 281] ; [10  3],[344.80503145 278.19496855] ; [7.19496855 5.80503145],0
b4,1,0.119619,2.422302,[369 269] ; [11  3],[371.8404908 266.1595092] ; [8.1595092 5.8404908],0
p1,1,0.120312,2.41326,[ 58 575] ; [ 3 11],[ 59.68006182 573.31993818] ; [ 1.31993818 12.68006182],0
d1,1,0.136591,2.215944,[398 240] ; [6 8],[395.32515337 242.67484663] ; [8.67484663 5.32515337],0
p2,1,0.136831,2.213236,[543  91] ; [10  4],[541.05246914  92.94753086] ; [11.94753086  2.05246914],0
u3,1,0.160908,1.965677,[100  67] ; [1 3],[98.6374269 68.3625731] ; [2.3625731 1.6374269],0
b1,1,0.166099,1.917803,[248 390] ; [8 6],[250.50306748 387.49693252] ; [5.49693252 8.50306748],0
p10,1,0.193107,1.693754,[532  99] ; [10  4],[530.23565891 100.76434109] ; [11.76434109  2.23565891],0
u1,1,0.209405,1.575532,[133 505] ; [ 1 13],[131.12269939 506.87730061] ; [ 2.87730061 11.12269939],0
s6,1,0.247478,1.337485,[434 188] ; [11  2],[435.88976378 186.11023622] ; [9.11023622 3.88976378],0
a6,1,0.326053,0.964512,[440 194] ; [8 6],[438.32098765 195.67901235] ; [9.67901235 4.32098765],0
s8,1,0.334467,0.931524,[304 329] ; [8 5],[305.72136223 327.27863777] ; [6.27863777 6.72136223],0
r1,1,0.348754,0.877987,[554  82] ; [11  3],[552.83076923  83.16923077] ; [12.16923077  1.83076923],0
v2,1,0.363732,0.824967,[361 254] ; [6 7],[359.40286624 255.59713376] ; [7.59713376 5.40286624],0
p5,1,0.380794,0.768138,[ 84 546] ; [ 3 11],[ 85.10869565 544.89130435] ; [ 1.89130435 12.10869565],0
s2,1,0.390266,0.738112,[332 298] ; [9 5],[333.58695652 296.41304348] ; [7.41304348 6.58695652],0
b2,1,0.406783,0.688182,[161 245] ; [3 8],[159.67386091 246.32613909] ; [4.32613909 6.67386091],0
b3,1,0.406783,0.688182,[161 245] ; [3 8],[159.67386091 246.32613909] ; [4.32613909 6.67386091],0
n2,1,0.418246,0.655239,[80 27] ; [7 1],[80.94782609 26.05217391] ; [6.05217391 1.94782609],0
a7,1,0.436112,0.606491,[468 168] ; [9 5],[466.72615385 169.27384615] ; [10.27384615  3.72615385],0
d2,1,0.473814,0.513067,[333 301] ; [6 8],[331.67592593 302.32407407] ; [7.32407407 6.67592593],0
p12,1,0.534028,0.386722,[ 59 571] ; [ 2 12],[ 59.67391304 570.32608696] ; [ 1.32608696 12.67391304],0
v1,1,0.55994,0.339808,[360 263] ; [7 7],[358.93406593 264.06593407] ; [8.06593407 5.93406593],0
p4,1,0.569699,0.323186,[407 224] ; [8 6],[405.99224806 225.00775194] ; [9.00775194 4.99224806],0
s7,1,0.597245,0.279171,[325 282] ; [6 7],[324.05967742 282.94032258] ; [6.94032258 6.05967742],0
n3,1,0.634309,0.226263,[83 22] ; [5 2],[82.5 22.5] ; [5.5 1.5],0
a1,1,0.646334,0.210554,[ 29 609] ; [ 1 13],[ 29.35582822 608.64417178] ; [ 0.64417178 13.35582822],0
v3,1,0.666468,0.185762,[273 341] ; [5 8],[272.23604466 341.76395534] ; [5.76395534 7.23604466],0
b5,1,0.774406,0.082149,[386 252] ; [9 5],[386.51840491 251.48159509] ; [8.48159509 5.51840491],0
u2,1,0.791669,0.069772,[94 72] ; [2 2],[93.74117647 72.25882353] ; [2.25882353 1.74117647],0
a3,1,0.822446,0.050356,[471 164] ; [10  3],[471.35030864 163.64969136] ; [9.64969136 3.35030864],0
p3,1,0.826161,0.048237,[343 290] ; [8 6],[343.4049459 289.5950541] ; [7.5950541 6.4049459],0
p6,1,0.867362,0.027892,[254 371] ; [6 8],[254.30359937 370.69640063] ; [5.69640063 8.30359937],0
p9,1,0.872562,0.02573,[542  87] ; [11  2],[541.80218069  87.19781931] ; [11.19781931  1.80218069],0
a5,1,0.94977,0.003968,[496 141] ; [11  3],[496.09677419 140.90322581] ; [10.90322581  3.09677419],0
s3,1,0.994102,5.5e-05,[367 261] ; [7 5],[366.9875 261.0125] ; [7.0125 4.9875],0
s4,1,0.994244,5.2e-05,[ 90 537] ; [ 2 12],[ 89.99063963 537.00936037] ; [ 2.00936037 11.99063963],0
