Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.0,25.542759,[ 3 68] ; [16 21],[12.49074074 58.50925926] ; [ 6.50925926 30.49074074],1
s8,1,2e-06,22.574039,[ 5 68] ; [17 21],[14.46846847 58.53153153] ; [ 7.53153153 30.46846847],1
p6,1,7e-06,20.324495,[ 3 69] ; [14 24],[11.12727273 60.87272727] ; [ 5.87272727 32.12727273],1
s2,1,1.4e-05,18.858048,[ 2 71] ; [12 26],[ 9.20720721 63.79279279] ; [ 4.79279279 33.20720721],1
p4,1,0.000189,13.938236,[11 61] ; [18 19],[19.1559633 52.8440367] ; [ 9.8440367 27.1559633],1
s4,1,0.000351,12.774763,[ 4 69] ; [11 25],[10.04587156 62.95412844] ; [ 4.95412844 31.04587156],1
s7,1,0.001971,9.575917,[ 7 62] ; [12 22],[12.72815534 56.27184466] ; [ 6.27184466 27.72815534],0
n6,1,0.002946,8.840678,[42 29] ; [33  5],[48.85321101 22.14678899] ; [26.14678899 11.85321101],0
r4,1,0.003543,8.504263,[39 34] ; [31  7],[46.03603604 26.96396396] ; [23.96396396 14.03603604],0
p5,1,0.009159,6.79159,[ 1 72] ; [ 5 33],[ 3.94594595 69.05405405] ; [ 2.05405405 35.94594595],0
v1,1,0.014056,6.031135,[12 60] ; [14 23],[17.17431193 54.82568807] ; [ 8.82568807 28.17431193],0
u3,1,0.017255,5.670233,[11 18] ; [12  4],[14.82222222 14.17777778] ; [8.17777778 7.82222222],0
r3,1,0.02239,5.215209,[48 24] ; [33  5],[53.01818182 18.98181818] ; [27.98181818 10.01818182],0
p12,1,0.027313,4.870887,[ 1 72] ; [ 4 34],[ 3.28828829 69.71171171] ; [ 1.71171171 36.28828829],0
v4,1,0.031486,4.62627,[49 23] ; [33  5],[53.67272727 18.32727273] ; [28.32727273  9.67272727],0
d3,1,0.039387,4.244093,[33 40] ; [25 13],[38.14414414 34.85585586] ; [19.85585586 18.14414414],0
p3,1,0.06372,3.437807,[15 58] ; [14 24],[19.07207207 53.92792793] ; [ 9.92792793 28.07207207],0
r1,1,0.063958,3.431664,[36 36] ; [26 12],[40.58181818 31.41818182] ; [21.41818182 16.58181818],0
v2,1,0.066828,3.359252,[23 44] ; [20 18],[27.43809524 39.56190476] ; [15.56190476 22.43809524],0
v3,1,0.072298,3.23005,[20 50] ; [17 20],[24.20560748 45.79439252] ; [12.79439252 24.20560748],0
p1,1,0.127234,2.325936,[ 8 65] ; [ 1 37],[ 5.91891892 67.08108108] ; [ 3.08108108 34.91891892],0
d4,1,0.149003,2.082429,[48 25] ; [30  8],[51.2972973 21.7027027] ; [26.7027027 11.2972973],0
b5,1,0.164953,1.928224,[36 37] ; [24 14],[39.45945946 33.54054054] ; [20.54054054 17.45945946],0
r2,1,0.196335,1.669431,[55 14] ; [34  4],[57.39252336 11.60747664] ; [31.60747664  6.39252336],0
p11,1,0.204531,1.609723,[33 40] ; [22 16],[36.17117117 36.82882883] ; [18.82882883 19.17117117],0
a5,1,0.21034,1.569086,[41 32] ; [26 12],[44.06306306 28.93693694] ; [22.93693694 15.06306306],0
p9,1,0.270736,1.213013,[30 38] ; [21 17],[32.71698113 35.28301887] ; [18.28301887 19.71698113],0
u2,1,0.276981,1.181845,[11 17] ; [9 7],[12.72727273 15.27272727] ; [7.27272727 8.72727273],0
d5,1,0.324497,0.970734,[45 28] ; [27 11],[47.35135135 25.64864865] ; [24.64864865 13.35135135],0
u1,1,0.335074,0.929189,[ 7 66] ; [ 6 32],[ 8.54954955 64.45045045] ; [ 4.45045045 33.54954955],0
p7,1,0.361267,0.833485,[15 56] ; [11 27],[16.93577982 54.06422018] ; [ 9.06422018 28.93577982],0
p10,1,0.367444,0.812291,[30 41] ; [19 18],[32.21296296 38.78703704] ; [16.78703704 20.21296296],0
n1,1,0.425031,0.636364,[12 21] ; [2 7],[11. 22.] ; [3. 6.],0
b4,1,0.474635,0.511165,[39 34] ; [23 15],[40.77477477 32.22522523] ; [21.22522523 16.77477477],0
n2,1,0.481456,0.495564,[19 14] ; [7 3],[19.95348837 13.04651163] ; [6.04651163 3.95348837],0
p8,1,0.514748,0.424404,[17 56] ; [11 27],[18.41441441 54.58558559] ; [ 9.58558559 28.41441441],0
s1,1,0.555445,0.347652,[ 6 66] ; [ 2 36],[ 5.23636364 66.76363636] ; [ 2.76363636 35.23636364],0
a1,1,0.565589,0.330119,[ 7 66] ; [ 5 33],[ 7.89189189 65.10810811] ; [ 4.10810811 33.89189189],0
a8,1,0.566043,0.329349,[ 4 65] ; [ 3 31],[ 4.68932039 64.31067961] ; [ 2.31067961 31.68932039],0
a4,1,0.629424,0.232843,[28 44] ; [13 25],[26.83636364 45.16363636] ; [14.16363636 23.83636364],0
u4,1,0.635368,0.224852,[ 1 72] ; [ 1 37],[ 1.31531532 71.68468468] ; [ 0.68468468 37.31531532],0
n5,1,0.63786,0.221551,[45 27] ; [22 16],[43.85454545 28.14545455] ; [23.14545455 14.85454545],0
a2,1,0.659388,0.194268,[14 59] ; [ 6 32],[13.15315315 59.84684685] ; [ 6.84684685 31.15315315],0
a7,1,0.717236,0.131157,[41 31] ; [23 15],[41.89090909 30.10909091] ; [22.10909091 15.89090909],0
