Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.004203,8.19389,[ 4 19] ; [26 23],[ 9.58333333 13.41666667] ; [20.41666667 28.58333333],0
p4,1,0.054916,3.684632,[10 14] ; [32 17],[13.80821918 10.19178082] ; [28.19178082 20.80821918],0
r2,1,0.0659,3.382306,[20  4] ; [47  2],[22.02739726  1.97260274] ; [44.97260274  4.02739726],0
p7,1,0.069403,3.297074,[11 11] ; [34 13],[14.34782609  7.65217391] ; [30.65217391 16.34782609],0
d2,1,0.077101,3.124985,[ 7 17] ; [25 24],[10.52054795 13.47945205] ; [21.47945205 27.52054795],0
a3,1,0.088392,2.903419,[14 10] ; [38 11],[17.09589041  6.90410959] ; [34.90410959 14.09589041],0
d5,1,0.091675,2.84472,[21  3] ; [34 15],[18.08219178  5.91780822] ; [36.91780822 12.08219178],0
b5,1,0.11474,2.487696,[10 14] ; [30 19],[13.15068493 10.84931507] ; [26.84931507 22.15068493],0
r1,1,0.13297,2.257488,[14 10] ; [37 12],[16.76712329  7.23287671] ; [34.23287671 14.76712329],0
d4,1,0.173428,1.853056,[21  3] ; [36 13],[18.73972603  5.26027397] ; [38.26027397 10.73972603],0
a2,1,0.233648,1.418517,[ 3 21] ; [12 37],[ 4.93150685 19.06849315] ; [10.06849315 38.93150685],0
v1,1,0.242617,1.365325,[15  9] ; [23 25],[12.66666667 11.33333333] ; [25.33333333 22.66666667],0
a4,1,0.243958,1.357577,[ 6 18] ; [19 30],[ 8.21917808 15.78082192] ; [16.78082192 32.21917808],0
s2,1,0.258454,1.277017,[17  7] ; [28 21],[14.79452055  9.20547945] ; [30.20547945 18.79452055],0
r4,1,0.260997,1.263462,[18  6] ; [42  7],[19.7260274  4.2739726] ; [40.2739726  8.7260274],0
b4,1,0.273169,1.200763,[13 11] ; [33 16],[15.12328767  8.87671233] ; [30.87671233 18.12328767],0
p1,1,0.274575,1.193747,[ 4 20] ; [ 4 45],[ 2.63013699 21.36986301] ; [ 5.36986301 43.63013699],0
b1,1,0.279186,1.171049,[12 12] ; [18 31],[ 9.8630137 14.1369863] ; [20.1369863 28.8630137],0
p8,1,0.343577,0.89704,[ 9 13] ; [26 23],[10.84507042 11.15492958] ; [24.15492958 24.84507042],0
n1,1,0.350045,0.873294,[5 4] ; [ 7 12],[3.85714286 5.14285714] ; [ 8.14285714 10.85714286],0
a5,1,0.357843,0.845449,[13 11] ; [32 17],[14.79452055  9.20547945] ; [30.20547945 18.79452055],0
u2,1,0.368688,0.808081,[8 1] ; [8 3],[7.2 1.8] ; [8.8 2.2],0
a8,1,0.389708,0.739853,[ 1 21] ; [ 5 41],[ 1.94117647 20.05882353] ; [ 4.05882353 41.94117647],0
a6,1,0.420601,0.648636,[17  7] ; [30 19],[15.45205479  8.54794521] ; [31.54794521 17.45205479],0
p11,1,0.44045,0.595109,[15  9] ; [35 14],[16.43835616  7.56164384] ; [33.56164384 15.43835616],0
p3,1,0.44516,0.582945,[ 9 15] ; [23 26],[10.52054795 13.47945205] ; [21.47945205 27.52054795],0
v3,1,0.465307,0.533099,[ 5 16] ; [15 31],[ 6.26865672 14.73134328] ; [13.73134328 32.26865672],0
u1,1,0.467421,0.528067,[ 2 22] ; [ 7 42],[ 2.95890411 21.04109589] ; [ 6.04109589 42.95890411],0
r3,1,0.514582,0.424739,[20  3] ; [45  4],[20.76388889  2.23611111] ; [44.23611111  4.76388889],0
v4,1,0.554411,0.349473,[21  3] ; [45  4],[21.69863014  2.30136986] ; [44.30136986  4.69863014],0
s6,1,0.565704,0.329924,[20  4] ; [38 11],[19.06849315  4.93150685] ; [38.93150685 10.06849315],0
p10,1,0.577719,0.309937,[18  5] ; [41  8],[18.84722222  4.15277778] ; [40.15277778  8.84722222],0
n3,1,0.638101,0.221235,[7 3] ; [11  7],[6.42857143 3.57142857] ; [11.57142857  6.42857143],0
s8,1,0.65094,0.204717,[16  8] ; [30 19],[15.12328767  8.87671233] ; [30.87671233 18.12328767],0
a7,1,0.655954,0.198476,[18  6] ; [39 10],[18.73972603  5.26027397] ; [38.26027397 10.73972603],0
b3,1,0.679126,0.171111,[7 7] ; [13 17],[6.36363636 7.63636364] ; [13.63636364 16.36363636],0
b2,1,0.679126,0.171111,[7 7] ; [13 17],[6.36363636 7.63636364] ; [13.63636364 16.36363636],0
d1,1,0.681422,0.168529,[12 12] ; [22 27],[11.17808219 12.82191781] ; [22.82191781 26.17808219],0
p5,1,0.688804,0.160384,[ 2 21] ; [ 3 46],[ 1.59722222 21.40277778] ; [ 3.40277778 45.59722222],0
n2,1,0.705591,0.14272,[8 2] ; [14  5],[7.5862069 2.4137931] ; [14.4137931  4.5862069],0
d3,1,0.763242,0.090737,[17  7] ; [33 16],[16.43835616  7.56164384] ; [33.56164384 15.43835616],0
s3,1,0.775575,0.081276,[16  8] ; [31 18],[15.45205479  8.54794521] ; [31.54794521 17.45205479],0
s5,1,0.807592,0.059309,[10 13] ; [19 28],[ 9.52857143 13.47142857] ; [19.47142857 27.52857143],0
p2,1,0.808588,0.058684,[18  6] ; [38 11],[18.4109589  5.5890411] ; [37.5890411 11.4109589],0
s4,1,0.812545,0.056237,[10 14] ; [19 30],[ 9.53424658 14.46575342] ; [19.46575342 29.53424658],0
p9,1,0.88982,0.019191,[19  4] ; [39  9],[18.78873239  4.21126761] ; [39.21126761  8.78873239],0
p6,1,0.90384,0.014596,[ 8 15] ; [16 32],[ 7.77464789 15.22535211] ; [16.22535211 31.77464789],0
v2,1,0.987443,0.000248,[11 10] ; [24 22],[10.97014925 10.02985075] ; [24.02985075 21.97014925],0
