Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,2.4e-05,17.834796,[22  4] ; [ 3 13],[15.47619048 10.52380952] ; [9.52380952 6.47619048],1
d3,1,0.005316,7.768531,[18  8] ; [ 4 12],[13.61904762 12.38095238] ; [8.38095238 7.61904762],0
v2,1,0.015695,5.83673,[11 15] ; [ 1 14],[ 7.6097561 18.3902439] ; [ 4.3902439 10.6097561],0
a4,1,0.074791,3.174603,[10 15] ; [ 2 13],[ 7.5 17.5] ; [ 4.5 10.5],0
u3,1,0.105645,2.618182,[4 4] ; [1 7],[2.5 5.5] ; [2.5 5.5],0
n4,1,0.113415,2.505978,[17  9] ; [14  2],[19.19047619  6.80952381] ; [11.80952381  4.19047619],0
p9,1,0.125698,2.344845,[17  8] ; [6 8],[14.74358974 10.25641026] ; [8.25641026 5.74358974],0
p4,1,0.159729,1.976786,[15 10] ; [ 6 10],[12.80487805 12.19512195] ; [8.19512195 7.80487805],0
d2,1,0.191556,1.70561,[13 12] ; [ 5 11],[10.97560976 14.02439024] ; [7.02439024 8.97560976],0
a6,1,0.203737,1.615385,[15 11] ; [ 6 10],[13. 13.] ; [8. 8.],0
a7,1,0.233095,1.421875,[13 13] ; [ 5 11],[11.14285714 14.85714286] ; [6.85714286 9.14285714],0
s5,1,0.236338,1.402306,[ 9 16] ; [ 3 13],[ 7.31707317 17.68292683] ; [ 4.68292683 11.31707317],0
a5,1,0.261269,1.262019,[19  7] ; [9 7],[17.33333333  8.66666667] ; [10.66666667  5.33333333],0
n3,1,0.292053,1.110135,[5 7] ; [7 4],[6.26086957 5.73913043] ; [5.73913043 5.26086957],0
a3,1,0.30871,1.036187,[18  8] ; [8 7],[16.48780488  9.51219512] ; [9.51219512 5.48780488],0
r2,1,0.311564,1.024033,[16  8] ; [13  3],[17.4  6.6] ; [11.6  4.4],0
p10,1,0.323925,0.973032,[17  9] ; [8 8],[15.47619048 10.52380952] ; [9.52380952 6.47619048],0
p11,1,0.379631,0.771897,[11 15] ; [9 7],[12.38095238 13.61904762] ; [7.61904762 8.38095238],0
n1,1,0.414216,0.666667,[5 7] ; [7 5],[6. 6.] ; [6. 6.],0
p3,1,0.414272,0.666506,[11 14] ; [ 5 11],[ 9.75609756 15.24390244] ; [6.24390244 9.75609756],0
p7,1,0.504985,0.444444,[ 8 16] ; [7 9],[ 9. 15.] ; [ 6. 10.],0
v1,1,0.512734,0.428484,[ 9 17] ; [ 4 12],[ 8.04761905 17.95238095] ; [ 4.95238095 11.04761905],0
n5,1,0.516601,0.420673,[23  3] ; [13  3],[22.28571429  3.71428571] ; [13.71428571  2.28571429],0
s4,1,0.545895,0.364724,[ 7 19] ; [ 3 13],[ 6.19047619 19.80952381] ; [ 3.80952381 12.19047619],0
b2,1,0.554628,0.349091,[ 7 13] ; [3 9],[ 6.25 13.75] ; [3.75 8.25],0
b3,1,0.554628,0.349091,[ 7 13] ; [3 9],[ 6.25 13.75] ; [3.75 8.25],0
u2,1,0.589639,0.290909,[2 6] ; [3 5],[2.5 5.5] ; [2.5 5.5],0
p12,1,0.606239,0.265688,[ 2 24] ; [ 2 14],[ 2.47619048 23.52380952] ; [ 1.52380952 14.47619048],0
s1,1,0.606239,0.265688,[ 2 24] ; [ 2 14],[ 2.47619048 23.52380952] ; [ 1.52380952 14.47619048],0
s3,1,0.630954,0.230769,[ 8 18] ; [5 8],[ 8.66666667 17.33333333] ; [4.33333333 8.66666667],0
p2,1,0.680264,0.169828,[14 11] ; [10  6],[14.63414634 10.36585366] ; [9.36585366 6.63414634],0
b5,1,0.734547,0.114977,[16 10] ; [9 7],[15.47619048 10.52380952] ; [9.52380952 6.47619048],0
p5,1,0.757093,0.095667,[ 4 21] ; [ 2 14],[ 3.65853659 21.34146341] ; [ 2.34146341 13.65853659],0
p1,1,0.776258,0.080769,[ 4 22] ; [ 3 13],[ 4.33333333 21.66666667] ; [ 2.66666667 13.33333333],0
s8,1,0.780941,0.077336,[ 8 18] ; [ 4 11],[ 7.6097561 18.3902439] ; [ 4.3902439 10.6097561],0
s7,1,0.800282,0.064,[ 9 16] ; [6 9],[ 9.375 15.625] ; [5.625 9.375],0
s6,1,0.837046,0.042302,[13 13] ; [7 8],[12.68292683 13.31707317] ; [7.31707317 7.68292683],0
r4,1,0.849727,0.035897,[ 9 17] ; [ 6 10],[ 9.28571429 16.71428571] ; [ 5.71428571 10.28571429],0
r1,1,0.879189,0.023103,[14 12] ; [9 7],[14.23809524 11.76190476] ; [8.76190476 7.23809524],0
b1,1,0.926917,0.008413,[15 11] ; [9 7],[14.85714286 11.14285714] ; [9.14285714 6.85714286],0
s2,1,0.950312,0.003883,[10 16] ; [ 6 10],[ 9.9047619 16.0952381] ; [6.0952381 9.9047619],0
b4,1,0.950312,0.003883,[16 10] ; [10  6],[16.0952381  9.9047619] ; [9.9047619 6.0952381],0
v4,1,0.969263,0.001485,[21  5] ; [13  3],[21.04761905  4.95238095] ; [12.95238095  3.04761905],0
p8,1,0.974697,0.001006,[12 14] ; [7 8],[12.04878049 13.95121951] ; [6.95121951 8.04878049],0
p6,1,0.98576,0.000319,[ 7 19] ; [ 4 11],[ 6.97560976 19.02439024] ; [ 4.02439024 10.97560976],0
v3,1,0.98576,0.000319,[ 7 19] ; [ 4 11],[ 6.97560976 19.02439024] ; [ 4.02439024 10.97560976],0
n2,1,1.0,0.0,[8 4] ; [8 4],[8. 4.] ; [8. 4.],0
