Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.001745,9.8,[22 14] ; [13 35],[15. 21.] ; [20. 28.],0
v3,1,0.004952,7.896875,[14 22] ; [ 6 42],[ 8.57142857 27.42857143] ; [11.42857143 36.57142857],0
r3,1,0.025578,4.984312,[26  9] ; [24 24],[21.08433735 13.91566265] ; [28.91566265 19.08433735],0
v1,1,0.027846,4.837581,[17 17] ; [12 34],[12.325 21.675] ; [16.675 29.325],0
n1,1,0.042548,4.113283,[ 3 17] ; [10 13],[ 6.04651163 13.95348837] ; [ 6.95348837 16.04651163],0
p10,1,0.05734,3.612698,[16 18] ; [32 15],[20.14814815 13.85185185] ; [27.85185185 19.14814815],0
d5,1,0.073273,3.208136,[29  7] ; [30 18],[25.28571429 10.71428571] ; [33.71428571 14.28571429],0
a3,1,0.10624,2.609275,[24 12] ; [23 24],[20.38554217 15.61445783] ; [26.61445783 20.38554217],0
d4,1,0.126051,2.340481,[28  7] ; [31 17],[24.87951807 10.12048193] ; [34.12048193 13.87951807],0
p6,1,0.134775,2.236629,[11 22] ; [ 9 39],[ 8.14814815 24.85185185] ; [11.85185185 36.14814815],0
d3,1,0.153709,2.035056,[24 12] ; [24 23],[20.81927711 15.18072289] ; [27.18072289 19.81927711],0
s6,1,0.179712,1.8,[18 18] ; [17 31],[15. 21.] ; [20. 28.],0
p1,1,0.18315,1.771875,[ 3 33] ; [ 1 47],[ 1.71428571 34.28571429] ; [ 2.28571429 45.71428571],0
p2,1,0.188484,1.729424,[23 12] ; [37 10],[25.6097561  9.3902439] ; [34.3902439 12.6097561],0
s2,1,0.251583,1.31449,[14 22] ; [13 35],[11.57142857 24.42857143] ; [15.42857143 32.57142857],0
n3,1,0.258014,1.279381,[13  7] ; [11 12],[11.1627907  8.8372093] ; [12.8372093 10.1627907],0
b5,1,0.279254,1.170718,[23 13] ; [25 23],[20.57142857 15.42857143] ; [27.42857143 20.57142857],0
b1,1,0.311295,1.025172,[22 14] ; [24 24],[19.71428571 16.28571429] ; [26.28571429 21.71428571],0
p11,1,0.311295,1.025172,[22 14] ; [24 24],[19.71428571 16.28571429] ; [26.28571429 21.71428571],0
p8,1,0.340993,0.906694,[11 24] ; [20 28],[13.07228916 21.92771084] ; [17.92771084 30.07228916],0
a6,1,0.344157,0.894886,[21 15] ; [23 25],[18.85714286 17.14285714] ; [25.14285714 22.85714286],0
a7,1,0.366517,0.815439,[21 14] ; [24 24],[18.97590361 16.02409639] ; [26.02409639 21.97590361],0
p7,1,0.375656,0.78487,[17 18] ; [17 27],[15.06329114 19.93670886] ; [18.93670886 25.06329114],0
d2,1,0.37574,0.784592,[15 20] ; [16 32],[13.07228916 21.92771084] ; [17.92771084 30.07228916],0
p9,1,0.398058,0.714186,[21 15] ; [31 15],[22.82926829 13.17073171] ; [29.17073171 16.82926829],0
s7,1,0.404681,0.694372,[11 22] ; [20 27],[12.7875 20.2125] ; [18.2125 28.7875],0
n4,1,0.409492,0.680276,[22 14] ; [25 23],[20.14285714 15.85714286] ; [26.85714286 21.14285714],0
a2,1,0.415255,0.663704,[ 5 31] ; [ 4 44],[ 3.85714286 32.14285714] ; [ 5.14285714 42.85714286],0
a1,1,0.425031,0.636364,[ 4 32] ; [ 3 45],[ 3. 33.] ; [ 4. 44.],0
p4,1,0.441741,0.591755,[12 22] ; [21 27],[13.68292683 20.31707317] ; [19.31707317 28.68292683],0
s4,1,0.480466,0.497805,[ 6 30] ; [11 37],[ 7.28571429 28.71428571] ; [ 9.71428571 38.28571429],0
n2,1,0.486001,0.485368,[15  5] ; [15  8],[13.95348837  6.04651163] ; [16.04651163  6.95348837],0
n6,1,0.598976,0.276543,[22 14] ; [32 16],[23.14285714 12.85714286] ; [30.85714286 17.14285714],0
n5,1,0.688993,0.160178,[23 13] ; [28 19],[22.12048193 13.87951807] ; [28.87951807 18.12048193],0
s3,1,0.688993,0.160178,[13 23] ; [19 28],[13.87951807 22.12048193] ; [18.12048193 28.87951807],0
b3,1,0.73193,0.117347,[ 6 12] ; [ 8 20],[ 5.47826087 12.52173913] ; [ 8.52173913 19.47826087],0
b2,1,0.73193,0.117347,[ 6 12] ; [ 8 20],[ 5.47826087 12.52173913] ; [ 8.52173913 19.47826087],0
b4,1,0.752172,0.099715,[20 16] ; [25 23],[19.28571429 16.71428571] ; [25.71428571 22.28571429],0
