Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,32.13621,[66  9] ; [ 9 19],[54.61165049 20.38834951] ; [20.38834951  7.61165049],1
d3,1,0.0,26.926244,[61 13] ; [ 8 20],[50.05882353 23.94117647] ; [18.94117647  9.05882353],1
a2,1,0.002318,9.278676,[32 43] ; [ 3 25],[25.48543689 49.51456311] ; [ 9.51456311 18.48543689],0
u1,1,0.011973,6.314847,[27 48] ; [ 3 25],[21.84466019 53.15533981] ; [ 8.15533981 19.84466019],0
u2,1,0.012983,6.171429,[16  2] ; [4 5],[13.33333333  4.66666667] ; [6.66666667 2.33333333],0
d1,1,0.01708,5.688174,[49 26] ; [11 17],[43.68932039 31.31067961] ; [16.31067961 11.68932039],0
d4,1,0.018328,5.564541,[64 11] ; [18 10],[59.70873786 15.29126214] ; [22.29126214  5.70873786],0
r4,1,0.020808,5.342795,[69  6] ; [21  7],[65.53398058  9.46601942] ; [24.46601942  3.53398058],0
p10,1,0.035659,4.413326,[62 13] ; [17 10],[58.08823529 16.91176471] ; [20.91176471  6.08823529],0
p2,1,0.043837,4.062834,[66  9] ; [20  8],[62.62135922 12.37864078] ; [23.37864078  4.62135922],0
r1,1,0.065307,3.397217,[59 16] ; [17 11],[55.33980583 19.66019417] ; [20.66019417  7.33980583],0
n3,1,0.06557,3.390589,[19  3] ; [7 5],[16.82352941  5.17647059] ; [9.17647059 2.82352941],0
p4,1,0.068829,3.310734,[52 23] ; [14 14],[48.05825243 26.94174757] ; [17.94174757 10.05825243],0
u3,1,0.083265,3.0,[14  4] ; [4 5],[12.  6.] ; [6. 3.],0
a1,1,0.090871,2.858876,[ 2 73] ; [ 3 25],[ 3.6407767 71.3592233] ; [ 1.3592233 26.6407767],0
v2,1,0.091529,2.847282,[48 24] ; [13 14],[44.36363636 27.63636364] ; [16.63636364 10.36363636],0
a5,1,0.091671,2.844785,[58 17] ; [17 11],[54.61165049 20.38834951] ; [20.38834951  7.61165049],0
d2,1,0.119465,2.424322,[45 30] ; [12 16],[41.50485437 33.49514563] ; [15.49514563 12.50485437],0
v1,1,0.121472,2.398243,[43 31] ; [11 16],[39.56435644 34.43564356] ; [14.43564356 12.56435644],0
p11,1,0.126715,2.332292,[47 28] ; [22  6],[50.24271845 24.75728155] ; [18.75728155  9.24271845],0
d5,1,0.155881,2.013737,[65 10] ; [21  7],[62.62135922 12.37864078] ; [23.37864078  4.62135922],0
n4,1,0.219209,1.509545,[64 11] ; [21  7],[61.89320388 13.10679612] ; [23.10679612  4.89320388],0
a4,1,0.234163,1.415394,[46 29] ; [13 14],[43.38235294 31.61764706] ; [15.61764706 11.38235294],0
r3,1,0.295497,1.094406,[73  2] ; [26  2],[72.08737864  2.91262136] ; [26.91262136  1.08737864],0
b1,1,0.299405,1.076842,[29 46] ; [14 14],[31.31067961 43.68932039] ; [11.68932039 16.31067961],0
s6,1,0.320315,0.987658,[50 24] ; [21  6],[52.01980198 21.98019802] ; [18.98019802  8.01980198],0
v4,1,0.33435,0.931978,[71  4] ; [25  3],[69.90291262  5.09708738] ; [26.09708738  1.90291262],0
s2,1,0.358725,0.842351,[47 27] ; [15 13],[44.98039216 29.01960784] ; [17.01960784 10.98039216],0
a3,1,0.403144,0.698929,[57 18] ; [19  9],[55.33980583 19.66019417] ; [20.66019417  7.33980583],0
s4,1,0.523141,0.407696,[12 62] ; [ 3 24],[10.99009901 63.00990099] ; [ 4.00990099 22.99009901],0
p9,1,0.562529,0.335345,[65 10] ; [23  5],[64.0776699 10.9223301] ; [23.9223301  4.0776699],0
s8,1,0.579176,0.307569,[37 38] ; [15 12],[38.23529412 36.76470588] ; [13.76470588 13.23529412],0
n1,1,0.59015,0.29011,[ 9 12] ; [4 8],[ 8.27272727 12.72727273] ; [4.72727273 7.27272727],0
s3,1,0.590985,0.288808,[44 30] ; [15 13],[42.80392157 31.19607843] ; [16.19607843 11.80392157],0
b5,1,0.62524,0.238571,[52 23] ; [18 10],[50.97087379 24.02912621] ; [19.02912621  8.97087379],0
p3,1,0.641565,0.216701,[36 39] ; [12 16],[34.95145631 40.04854369] ; [13.04854369 14.95145631],0
b4,1,0.641864,0.216312,[44 31] ; [15 13],[42.96116505 32.03883495] ; [16.03883495 11.96116505],0
n2,1,0.664001,0.1887,[13  9] ; [8 4],[13.58823529  8.41176471] ; [7.41176471 4.58823529],0
n6,1,0.690846,0.158172,[64 11] ; [23  5],[63.34951456 11.65048544] ; [23.65048544  4.34951456],0
a8,1,0.725162,0.1236,[ 7 60] ; [ 2 23],[ 6.55434783 60.44565217] ; [ 2.44565217 22.55434783],0
v3,1,0.790689,0.070446,[22 50] ; [ 9 18],[22.54545455 49.45454545] ; [ 8.45454545 18.54545455],0
p1,1,0.833197,0.044354,[ 7 68] ; [ 3 25],[ 7.2815534 67.7184466] ; [ 2.7184466 25.2815534],0
p7,1,0.841271,0.040107,[48 25] ; [19  9],[48.42574257 24.57425743] ; [18.57425743  9.42574257],0
s5,1,0.881575,0.022193,[26 43] ; [ 9 16],[25.69148936 43.30851064] ; [ 9.30851064 15.69148936],0
b3,1,0.891138,0.018732,[26 22] ; [11 10],[25.73913043 22.26086957] ; [11.26086957  9.73913043],0
b2,1,0.891138,0.018732,[26 22] ; [11 10],[25.73913043 22.26086957] ; [11.26086957  9.73913043],0
s7,1,0.89148,0.018613,[46 26] ; [17  9],[46.28571429 25.71428571] ; [16.71428571  9.28571429],0
n5,1,0.908782,0.013127,[52 22] ; [20  8],[52.23529412 21.76470588] ; [19.76470588  8.23529412],0
r2,1,0.910773,0.012558,[71  3] ; [27  1],[71.09803922  2.90196078] ; [26.90196078  1.09803922],0
p5,1,0.920216,0.010032,[ 3 72] ; [ 1 27],[ 2.91262136 72.08737864] ; [ 1.08737864 26.91262136],0
