Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,130.190679,[  7 100] ; [286 135],[59.37689394 47.62310606] ; [233.62310606 187.37689394],1
d4,1,0.0,66.440506,[54 52] ; [365  56],[84.27703985 21.72296015] ; [334.72296015  86.27703985],1
d3,1,0.0,29.672851,[50 57] ; [312 109],[73.35984848 33.64015152] ; [288.64015152 132.35984848],1
d2,1,0.0,26.848101,[25 82] ; [216 205],[48.83901515 58.16098485] ; [192.16098485 228.83901515],1
a5,1,3e-06,21.786884,[55 52] ; [314 107],[74.77840909 32.22159091] ; [294.22159091 126.77840909],1
a4,1,6e-06,20.43098,[23 82] ; [194 226],[43.4 61.6] ; [173.6 246.4],1
a3,1,0.000206,13.771631,[56 50] ; [301 119],[71.94296578 34.05703422] ; [285.05703422 134.94296578],1
u1,1,0.000227,13.597219,[  4 103] ; [ 76 345],[16.21212121 90.78787879] ; [ 63.78787879 357.21212121],1
a7,1,0.000252,13.398655,[67 40] ; [334  86],[81.41745731 25.58254269] ; [319.58254269 100.41745731],1
a2,1,0.000286,13.157505,[ 9 98] ; [103 318],[22.6969697 84.3030303] ; [ 89.3030303 331.6969697],1
p2,1,0.000603,11.766525,[76 31] ; [357  62],[88.08174905 18.91825095] ; [344.91825095  74.08174905],1
n4,1,0.005212,7.80444,[69 37] ; [329  92],[80.05313093 25.94686907] ; [317.94686907 103.05313093],0
p10,1,0.010491,6.549602,[71 34] ; [331  86],[80.86206897 24.13793103] ; [321.13793103  95.86206897],0
r3,1,0.014718,5.949974,[103   4] ; [417   3],[105.57874763   1.42125237] ; [414.42125237   5.57874763],0
p9,1,0.019362,5.468489,[77 29] ; [344  72],[85.49042146 20.50957854] ; [335.50957854  80.49042146],0
r1,1,0.019784,5.430884,[83 24] ; [363  56],[90.72623574 16.27376426] ; [355.27376426  63.72623574],0
p4,1,0.019865,5.423697,[48 57] ; [245 175],[58.6 46.4] ; [234.4 185.6],0
s6,1,0.032485,4.572719,[52 54] ; [253 165],[61.69847328 44.30152672] ; [243.30152672 174.69847328],0
p3,1,0.03439,4.475186,[39 68] ; [201 219],[48.72865275 58.27134725] ; [191.27134725 228.72865275],0
s8,1,0.048771,3.883229,[31 76] ; [165 255],[39.79506641 67.20493359] ; [156.20493359 263.79506641],0
n2,1,0.052642,3.755259,[20  3] ; [59 30],[16.22321429  6.77678571] ; [62.77678571 26.22321429],0
p1,1,0.056389,3.640541,[11 96] ; [ 22 396],[  6.72571429 100.27428571] ; [ 26.27428571 391.72571429],0
s3,1,0.06972,3.28961,[60 45] ; [197 220],[51.6954023 53.3045977] ; [205.3045977 211.6954023],0
v2,1,0.083498,2.995456,[48 53] ; [229 172],[55.7310757 45.2689243] ; [221.2689243 179.7310757],0
a6,1,0.105727,2.616955,[69 38] ; [305 116],[75.79166667 31.20833333] ; [298.20833333 122.79166667],0
p5,1,0.106735,2.60191,[ 9 97] ; [ 19 399],[  5.66412214 100.33587786] ; [ 22.33587786 395.66412214],0
p7,1,0.210208,1.569996,[57 46] ; [257 157],[62.55705996 40.44294004] ; [251.44294004 162.55705996],0
n5,1,0.227731,1.454975,[71 34] ; [308 111],[75.94465649 29.05534351] ; [303.05534351 115.94465649],0
p8,1,0.249723,1.324852,[47 59] ; [209 204],[52.28516378 53.71483622] ; [203.71483622 209.28516378],0
b5,1,0.271798,1.207652,[63 44] ; [272 149],[67.88825758 39.11174242] ; [267.11174242 153.88825758],0
s7,1,0.281238,1.161098,[36 66] ; [165 236],[40.75944334 61.24055666] ; [160.24055666 240.75944334],0
s2,1,0.306517,1.045625,[37 69] ; [169 250],[41.59238095 64.40761905] ; [164.40761905 254.59238095],0
u3,1,0.306622,1.045169,[26 24] ; [72 47],[28.99408284 21.00591716] ; [69.00591716 49.99408284],0
s1,1,0.323504,0.974728,[  4 100] ; [  9 408],[  2.5950096 101.4049904] ; [ 10.4049904 406.5950096],0
r2,1,0.348566,0.878669,[103   4] ; [408   9],[104.34541985   2.65458015] ; [406.65458015  10.34541985],0
a1,1,0.432641,0.615724,[  2 105] ; [ 14 407],[  3.24242424 103.75757576] ; [ 12.75757576 408.24242424],0
n6,1,0.444947,0.583492,[85 22] ; [347  73],[87.71157495 19.28842505] ; [344.28842505  75.71157495],0
v4,1,0.504168,0.446152,[104   2] ; [407  13],[102.97718631   3.02281369] ; [408.02281369  11.97718631],0
n1,1,0.507734,0.438735,[ 9 14] ; [28 60],[ 7.66666667 15.33333333] ; [29.33333333 58.66666667],0
s4,1,0.592949,0.285763,[10 96] ; [ 47 371],[11.53053435 94.46946565] ; [ 45.46946565 372.53053435],0
v1,1,0.599757,0.275363,[50 55] ; [206 202],[52.39766082 52.60233918] ; [203.60233918 204.39766082],0
p11,1,0.640526,0.218055,[84 23] ; [339  82],[85.72159091 21.27840909] ; [337.27840909  83.72159091],0
u4,1,0.657581,0.196475,[  2 105] ; [ 11 410],[  2.6344697 104.3655303] ; [ 10.3655303 410.6344697],0
b4,1,0.691775,0.15717,[60 47] ; [245 176],[61.80871212 45.19128788] ; [243.19128788 177.80871212],0
b1,1,0.705037,0.143285,[41 66] ; [153 268],[39.31439394 67.68560606] ; [154.68560606 266.31439394],0
u2,1,0.734285,0.115214,[28 22] ; [70 49],[28.99408284 21.00591716] ; [69.00591716 49.99408284],0
n3,1,0.767745,0.087218,[16  5] ; [65 24],[15.46363636  5.53636364] ; [65.53636364 23.46363636],0
v3,1,0.770553,0.085061,[38 66] ; [152 247],[39.28429423 64.71570577] ; [150.71570577 248.28429423],0
p6,1,0.774999,0.081705,[31 75] ; [127 287],[32.20769231 73.79230769] ; [125.79230769 288.20769231],0
