Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.006769,7.333333,[20 24] ; [10  1],[24. 20.] ; [6. 5.],0
s5,1,0.008741,6.875,[ 5 39] ; [5 6],[ 8. 36.] ; [2. 9.],0
v2,1,0.017445,5.651047,[ 8 34] ; [6 5],[11.09433962 30.90566038] ; [2.90566038 8.09433962],0
p11,1,0.019307,5.473485,[23 21] ; [10  1],[26.4 17.6] ; [6.6 4.4],0
p2,1,0.026395,4.929972,[24 20] ; [10  1],[27.2 16.8] ; [6.8 4.2],0
p12,1,0.037691,4.31891,[ 1 43] ; [2 9],[ 2.4 41.6] ; [ 0.6 10.4],0
p3,1,0.037691,4.31891,[10 34] ; [6 5],[12.8 31.2] ; [3.2 7.8],0
b5,1,0.042254,4.125,[21 23] ; [9 2],[24. 20.] ; [6. 5.],0
p4,1,0.042254,4.125,[17 27] ; [8 3],[20. 24.] ; [5. 6.],0
s2,1,0.056871,3.626374,[ 8 36] ; [5 6],[10.4 33.6] ; [2.6 8.4],0
r4,1,0.056871,3.626374,[ 8 36] ; [5 6],[10.4 33.6] ; [2.6 8.4],0
p8,1,0.059192,3.559869,[14 29] ; [7 4],[16.72222222 26.27777778] ; [4.27777778 6.72222222],0
r3,1,0.073163,3.210593,[27 16] ; [10  1],[29.46296296 13.53703704] ; [7.53703704 3.46296296],0
s6,1,0.073604,3.200758,[15 29] ; [7 4],[17.6 26.4] ; [4.4 6.6],0
a6,1,0.073604,3.200758,[15 29] ; [7 4],[17.6 26.4] ; [4.4 6.6],0
d5,1,0.100966,2.690217,[16 28] ; [7 4],[18.4 25.6] ; [4.6 6.4],0
v1,1,0.13007,2.291667,[10 34] ; [5 6],[12. 32.] ; [3. 8.],0
u2,1,0.131614,2.273366,[13 11] ; [6 1],[14.70967742  9.29032258] ; [4.29032258 2.70967742],0
n2,1,0.138523,2.194286,[13  7] ; [1 3],[11.66666667  8.33333333] ; [2.33333333 1.66666667],0
p5,1,0.252587,1.308936,[ 3 40] ; [2 9],[ 3.98148148 39.01851852] ; [1.01851852 9.98148148],0
u1,1,0.279925,1.167453,[ 1 43] ; [ 1 10],[ 1.6 42.4] ; [ 0.4 10.6],0
a8,1,0.325185,0.967978,[ 6 35] ; [3 8],[ 7.09615385 33.90384615] ; [1.90384615 9.09615385],0
s8,1,0.353076,0.862369,[10 34] ; [4 7],[11.2 32.8] ; [2.8 8.2],0
u3,1,0.359756,0.838745,[ 6 18] ; [3 4],[ 6.96774194 17.03225806] ; [2.03225806 4.96774194],0
s7,1,0.386336,0.750442,[11 31] ; [4 6],[12.11538462 29.88461538] ; [2.88461538 7.11538462],0
r1,1,0.394938,0.723684,[14 30] ; [5 6],[15.2 28.8] ; [3.8 7.2],0
n6,1,0.449931,0.570825,[25 18] ; [5 6],[23.88888889 19.11111111] ; [6.11111111 4.88888889],0
n5,1,0.48345,0.491071,[27 17] ; [8 3],[28. 16.] ; [7. 4.],0
a7,1,0.498404,0.458333,[19 25] ; [6 5],[20. 24.] ; [5. 6.],0
a3,1,0.545562,0.365328,[20 23] ; [4 7],[19.11111111 23.88888889] ; [4.88888889 6.11111111],0
p10,1,0.545562,0.365328,[23 20] ; [7 4],[23.88888889 19.11111111] ; [6.11111111 4.88888889],0
n1,1,0.571608,0.32,[ 8 12] ; [1 3],[ 7.5 12.5] ; [1.5 2.5],0
v4,1,0.586591,0.295699,[24 20] ; [7 4],[24.8 19.2] ; [6.2 4.8],0
b1,1,0.679708,0.170455,[27 17] ; [6 5],[26.4 17.6] ; [6.6 4.4],0
s3,1,0.696022,0.152643,[13 30] ; [4 7],[13.53703704 29.46296296] ; [3.46296296 7.53703704],0
v3,1,0.702119,0.146277,[ 6 38] ; [2 9],[ 6.4 37.6] ; [1.6 9.4],0
n3,1,0.711138,0.137143,[12  8] ; [2 2],[11.66666667  8.33333333] ; [2.33333333 1.66666667],0
d3,1,0.77045,0.085139,[14 30] ; [3 8],[13.6 30.4] ; [3.4 7.6],0
a1,1,0.828785,0.046769,[ 5 39] ; [ 1 10],[ 4.8 39.2] ; [1.2 9.8],0
s4,1,0.866151,0.028409,[ 9 35] ; [2 9],[ 8.8 35.2] ; [2.2 8.8],0
a4,1,0.866151,0.028409,[ 9 35] ; [2 9],[ 8.8 35.2] ; [2.2 8.8],0
n4,1,0.891864,0.018481,[25 19] ; [6 5],[24.8 19.2] ; [6.2 4.8],0
b2,1,0.902787,0.014918,[ 8 18] ; [2 4],[ 8.125 17.875] ; [1.875 4.125],0
b3,1,0.902787,0.014918,[ 8 18] ; [2 4],[ 8.125 17.875] ; [1.875 4.125],0
p9,1,0.958665,0.002686,[27 16] ; [7 4],[27.07407407 15.92592593] ; [6.92592593 4.07407407],0
d4,1,1.0,0.0,[24 20] ; [6 5],[24. 20.] ; [6. 5.],0
a5,1,1.0,0.0,[20 24] ; [5 6],[20. 24.] ; [5. 6.],0
b4,1,1.0,0.0,[24 20] ; [6 5],[24. 20.] ; [6. 5.],0
d2,1,1.0,0.0,[ 8 36] ; [2 9],[ 8. 36.] ; [2. 9.],0
