Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,52.243167,[91 16] ; [ 5 25],[74.97810219 32.02189781] ; [21.02189781  8.97810219],1
s7,1,5e-06,20.945934,[88 16] ; [12 16],[78.78787879 25.21212121] ; [21.21212121  6.78787879],1
s6,1,2e-05,18.22703,[103   5] ; [19  9],[96.88235294 11.11764706] ; [25.11764706  2.88235294],1
s8,1,0.012993,6.17005,[76 31] ; [14 16],[70.2919708 36.7080292] ; [19.7080292 10.2919708],0
d3,1,0.014778,5.942764,[87 20] ; [18 12],[82.00729927 24.99270073] ; [22.99270073  7.00729927],0
a3,1,0.026876,4.898779,[88 19] ; [19 11],[83.56934307 23.43065693] ; [23.43065693  6.56934307],0
a7,1,0.038169,4.297462,[79 29] ; [16 14],[74.34782609 33.65217391] ; [20.65217391  9.34782609],0
a2,1,0.049002,3.875298,[34 74] ; [ 4 26],[29.73913043 78.26086957] ; [ 8.26086957 21.73913043],0
n6,1,0.050942,3.810177,[100   6] ; [25  5],[97.42647059  8.57352941] ; [27.57352941  2.42647059],0
a6,1,0.053917,3.715272,[70 36] ; [14 16],[65.47058824 40.52941176] ; [18.52941176 11.47058824],0
b5,1,0.0546,3.694262,[61 47] ; [11 19],[56.34782609 51.65217391] ; [15.65217391 14.34782609],0
a4,1,0.090765,2.860755,[62 46] ; [12 18],[57.91304348 50.08695652] ; [16.08695652 13.91304348],0
u1,1,0.104319,2.638235,[30 78] ; [ 4 26],[26.60869565 81.39130435] ; [ 7.39130435 22.60869565],0
b4,1,0.115236,2.480899,[66 42] ; [23  7],[69.65217391 38.34782609] ; [19.34782609 10.65217391],0
p7,1,0.130645,2.284826,[93 14] ; [29  1],[95.28467153 11.71532847] ; [26.71532847  3.28467153],0
d1,1,0.156643,2.00634,[76 32] ; [17 13],[72.7826087 35.2173913] ; [20.2173913  9.7826087],0
v1,1,0.156643,2.00634,[76 32] ; [17 13],[72.7826087 35.2173913] ; [20.2173913  9.7826087],0
p9,1,0.164434,1.93297,[104   4] ; [27  3],[102.52173913   5.47826087] ; [28.47826087  1.52173913],0
n2,1,0.186122,1.748049,[20  3] ; [6 3],[18.6875  4.3125] ; [7.3125 1.6875],0
d4,1,0.215539,1.533824,[94 12] ; [24  6],[91.97058824 14.02941176] ; [26.02941176  3.97058824],0
p4,1,0.306451,1.045909,[88 19] ; [27  3],[89.81751825 17.18248175] ; [25.18248175  4.81751825],0
r2,1,0.313269,1.016842,[105   3] ; [28  2],[104.08695652   3.91304348] ; [28.91304348  1.08695652],0
v4,1,0.313269,1.016842,[105   3] ; [28  2],[104.08695652   3.91304348] ; [28.91304348  1.08695652],0
u3,1,0.319135,0.99249,[16  4] ; [7 4],[14.83870968  5.16129032] ; [8.16129032 2.83870968],0
n5,1,0.331743,0.942081,[91 17] ; [23  7],[89.2173913 18.7826087] ; [24.7826087  5.2173913],0
s4,1,0.395132,0.723089,[30 75] ; [11 19],[31.88888889 73.11111111] ; [ 9.11111111 20.88888889],0
n1,1,0.399727,0.709148,[14  9] ; [4 5],[12.9375 10.0625] ; [5.0625 3.9375],0
b1,1,0.442797,0.589024,[42 66] ; [14 16],[43.82608696 64.17391304] ; [12.17391304 17.82608696],0
p1,1,0.491229,0.473833,[19 88] ; [ 7 23],[20.30656934 86.69343066] ; [ 5.69343066 24.30656934],0
d2,1,0.522304,0.409341,[57 50] ; [14 16],[55.45255474 51.54744526] ; [15.54744526 14.45255474],0
a1,1,0.559462,0.340636,[11 97] ; [ 2 28],[10.17391304 97.82608696] ; [ 2.82608696 27.17391304],0
u2,1,0.56747,0.326934,[13  7] ; [6 5],[12.25806452  7.74193548] ; [6.74193548 4.25806452],0
a8,1,0.596236,0.28071,[14 85] ; [ 3 26],[13.1484375 85.8515625] ; [ 3.8515625 25.1484375],0
p12,1,0.626932,0.236244,[19 89] ; [ 4 25],[18.13138686 89.86861314] ; [ 4.86861314 24.13138686],0
p10,1,0.65285,0.202326,[103   5] ; [28  2],[102.52173913   5.47826087] ; [28.47826087  1.52173913],0
a5,1,0.67002,0.181579,[90 18] ; [24  6],[89.2173913 18.7826087] ; [24.7826087  5.2173913],0
p8,1,0.772787,0.083366,[80 28] ; [23  7],[80.60869565 27.39130435] ; [22.39130435  7.60869565],0
v3,1,0.788946,0.071653,[45 62] ; [13 16],[45.63235294 61.36764706] ; [12.36764706 16.63235294],0
n4,1,0.802732,0.062407,[92 16] ; [25  5],[91.56521739 16.43478261] ; [25.43478261  4.56521739],0
p5,1,0.826486,0.048053,[31 77] ; [ 8 22],[30.52173913 77.47826087] ; [ 8.47826087 21.52173913],0
p3,1,0.833258,0.044321,[77 30] ; [21  9],[76.54014599 30.45985401] ; [21.45985401  8.54014599],0
p11,1,0.854347,0.0337,[88 20] ; [24  6],[87.65217391 20.34782609] ; [24.34782609  5.65217391],0
d5,1,0.909206,0.013005,[91 15] ; [26  4],[91.19117647 14.80882353] ; [25.80882353  4.19117647],0
r3,1,0.916741,0.010928,[103   4] ; [29  1],[103.09489051   3.90510949] ; [28.90510949  1.09489051],0
v2,1,0.931395,0.007411,[61 45] ; [17 13],[60.79411765 45.20588235] ; [17.20588235 12.79411765],0
n3,1,0.935004,0.00665,[14  9] ; [5 3],[14.09677419  8.90322581] ; [4.90322581 3.09677419],0
b2,1,0.938842,0.005887,[32 37] ; [ 9 10],[32.14772727 36.85227273] ; [ 8.85227273 10.14772727],0
b3,1,0.938842,0.005887,[32 37] ; [ 9 10],[32.14772727 36.85227273] ; [ 8.85227273 10.14772727],0
p2,1,0.957503,0.00284,[94 14] ; [26  4],[93.91304348 14.08695652] ; [26.08695652  3.91304348],0
r1,1,1.0,0.0,[90 18] ; [25  5],[90. 18.] ; [25.  5.],0
