Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.9e-05,18.313928,[96 82] ; [96 27],[113.54152824  64.45847176] ; [78.45847176 44.54152824],1
b2,1,0.000639,11.657398,[17 85] ; [30 46],[26.93258427 75.06741573] ; [20.06741573 55.93258427],1
b3,1,0.000639,11.657398,[17 85] ; [30 46],[26.93258427 75.06741573] ; [20.06741573 55.93258427],1
p12,1,0.00431,8.148547,[  4 174] ; [ 12 111],[  9.46179402 168.53820598] ; [  6.53820598 116.46179402],0
p5,1,0.004737,7.977325,[ 10 167] ; [ 19 104],[ 17.11 159.89] ; [ 11.89 111.11],0
p8,1,0.007171,7.229565,[99 77] ; [88 35],[110.0735786  65.9264214] ; [76.9264214 46.0735786],0
s7,1,0.008649,6.893903,[ 40 130] ; [44 72],[ 49.93006993 120.06993007] ; [34.06993007 81.93006993],0
p3,1,0.009708,6.687791,[86 92] ; [78 45],[96.9833887 81.0166113] ; [67.0166113 55.9833887],0
p1,1,0.014578,5.966741,[  8 168] ; [ 15 108],[ 13.53846154 162.46153846] ; [  9.46153846 113.53846154],0
s5,1,0.016131,5.788517,[ 39 138] ; [41 77],[ 48. 129.] ; [32. 86.],0
a2,1,0.022871,5.178248,[ 31 147] ; [35 88],[ 39.02990033 138.97009967] ; [26.97009967 96.02990033],0
a1,1,0.037021,4.349466,[  5 173] ; [ 10 113],[  8.87043189 169.12956811] ; [  6.12956811 116.87043189],0
a4,1,0.064607,3.414975,[ 67 111] ; [59 63],[ 74.76 103.24] ; [51.24 70.76],0
s4,1,0.066582,3.365345,[ 22 155] ; [24 94],[ 27.6 149.4] ; [18.4 99.6],0
p10,1,0.077919,3.107777,[132  46] ; [101  21],[138.24666667  39.75333333] ; [94.75333333 27.24666667],0
p2,1,0.105994,2.612952,[150  27] ; [112  11],[154.58  22.42] ; [107.42  15.58],0
s6,1,0.116358,2.465667,[89 86] ; [71 47],[95.56313993 79.43686007] ; [64.43686007 53.56313993],0
s2,1,0.136543,2.216492,[ 58 120] ; [50 72],[ 64.08 113.92] ; [43.92 78.08],0
p9,1,0.137411,2.206716,[135  41] ; [103  20],[140.09364548  35.90635452] ; [97.90635452 25.09364548],0
n4,1,0.146865,2.104517,[124  54] ; [95 28],[129.50830565  48.49169435] ; [89.49169435 33.50830565],0
d2,1,0.14741,2.098853,[ 70 107] ; [59 64],[ 76.11 100.89] ; [52.89 70.11],0
a3,1,0.163141,1.944869,[111  66] ; [86 36],[116.6187291  60.3812709] ; [80.3812709 41.6187291],0
u1,1,0.182146,1.780026,[ 22 156] ; [ 22 101],[ 26.01993355 151.98006645] ; [ 17.98006645 105.01993355],0
b1,1,0.184047,1.76464,[ 66 112] ; [55 68],[ 71.55481728 106.44518272] ; [49.44518272 73.55481728],0
r2,1,0.257161,1.283978,[156  18] ; [114   8],[158.71621622  15.28378378] ; [111.28378378  10.71621622],0
v1,1,0.274663,1.193311,[77 95] ; [62 59],[81.59726962 90.40273038] ; [57.40273038 63.59726962],0
r1,1,0.29301,1.105741,[133  44] ; [98 24],[136.7458194  40.2541806] ; [94.2541806 27.7458194],0
u2,1,0.321277,0.983739,[31 32] ; [22 15],[33.39 29.61] ; [19.61 17.39],0
b5,1,0.32207,0.980523,[110  68] ; [69 54],[105.8538206  72.1461794] ; [73.1461794 49.8538206],0
n5,1,0.336756,0.922741,[123  54] ; [91 31],[126.68227425  50.31772575] ; [87.31772575 34.68227425],0
d1,1,0.339762,0.91133,[87 91] ; [67 56],[91.06976744 86.93023256] ; [62.93023256 60.06976744],0
a8,1,0.344002,0.89546,[ 23 139] ; [11 96],[ 20.47583643 141.52416357] ; [13.52416357 93.47583643],0
b4,1,0.348295,0.879661,[93 85] ; [71 52],[96.9833887 81.0166113] ; [67.0166113 55.9833887],0
n3,1,0.351783,0.867013,[29  6] ; [22  8],[27.46153846  7.53846154] ; [23.53846154  6.46153846],0
r4,1,0.372095,0.796657,[153  25] ; [110  13],[155.5282392  22.4717608] ; [107.4717608  15.5282392],0
p11,1,0.372655,0.794794,[134  44] ; [98 25],[137.19601329  40.80398671] ; [94.80398671 28.19601329],0
n6,1,0.405859,0.690898,[142  34] ; [103  19],[144.69798658  31.30201342] ; [100.30201342  21.69798658],0
v4,1,0.411388,0.674786,[164  11] ; [117   5],[165.57239057   9.42760943] ; [115.42760943   6.57239057],0
d4,1,0.443864,0.586272,[141  35] ; [94 29],[138.3277592  37.6722408] ; [96.6722408 26.3277592],0
d3,1,0.451934,0.565797,[117  60] ; [85 36],[119.97986577  57.02013423] ; [82.02013423 38.97986577],0
r3,1,0.481616,0.495201,[163  14] ; [114   7],[164.52684564  12.47315436] ; [112.47315436   8.52684564],0
a5,1,0.498209,0.45875,[121  57] ; [79 44],[118.27242525  59.72757475] ; [81.72757475 41.27242525],0
n2,1,0.531363,0.391785,[24 10] ; [24  7],[25.10769231  8.89230769] ; [22.89230769  8.10769231],0
u3,1,0.536692,0.381705,[31 34] ; [20 17],[32.5 32.5] ; [18.5 18.5],0
s3,1,0.628088,0.234662,[81 94] ; [53 69],[78.95622896 96.04377104] ; [55.04377104 66.95622896],0
n1,1,0.662653,0.190317,[ 9 24] ; [10 21],[ 9.796875 23.203125] ; [ 9.203125 21.796875],0
v2,1,0.697884,0.150682,[90 77] ; [68 53],[91.61805556 75.38194444] ; [66.38194444 54.61805556],0
d5,1,0.761397,0.092202,[139  38] ; [94 28],[137.92976589  39.07023411] ; [95.07023411 26.92976589],0
a7,1,0.763673,0.090397,[130  48] ; [91 31],[131.12666667  46.87333333] ; [89.87333333 32.12666667],0
a6,1,0.837382,0.042125,[120  57] ; [82 41],[119.18  57.82] ; [82.82 40.18],0
v3,1,0.842712,0.039373,[ 57 114] ; [41 78],[ 57.7862069 113.2137931] ; [40.2137931 78.7862069],0
s1,1,0.862353,0.030061,[  5 173] ; [  3 118],[  4.76254181 173.23745819] ; [  3.23745819 117.76254181],0
