Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,7e-06,20.126915,[ 5 39] ; [32 27],[15.80582524 28.19417476] ; [21.19417476 37.80582524],1
d1,1,0.000157,14.285348,[11 33] ; [38 23],[20.53333333 23.46666667] ; [28.46666667 32.53333333],1
a3,1,0.000385,12.601495,[17 27] ; [44 16],[25.80769231 18.19230769] ; [35.19230769 24.80769231],1
d5,1,0.000499,12.120902,[22 22] ; [50 11],[30.17142857 13.82857143] ; [41.82857143 19.17142857],1
a6,1,0.000793,11.258114,[19 25] ; [46 15],[27.23809524 16.76190476] ; [37.76190476 23.23809524],1
d2,1,0.001429,10.168135,[15 28] ; [40 20],[22.96116505 20.03883495] ; [32.03883495 27.96116505],0
r2,1,0.001688,9.861172,[33 10] ; [59  2],[38.03846154  4.96153846] ; [53.96153846  7.03846154],0
v4,1,0.003787,8.383363,[29 14] ; [55  6],[34.73076923  8.26923077] ; [49.26923077 11.73076923],0
r4,1,0.004628,8.019479,[24 20] ; [49 12],[30.59047619 13.40952381] ; [42.40952381 18.59047619],0
d3,1,0.007353,7.184662,[18 26] ; [41 20],[24.72380952 19.27619048] ; [34.27619048 26.72380952],0
u1,1,0.015418,5.868107,[ 2 42] ; [13 48],[ 6.28571429 37.71428571] ; [ 8.71428571 52.28571429],0
a7,1,0.015675,5.839014,[21 22] ; [44 17],[26.875 16.125] ; [38.125 22.875],0
d4,1,0.028533,4.795583,[23 19] ; [46 15],[28.13592233 13.86407767] ; [40.86407767 20.13592233],0
r1,1,0.031997,4.598654,[27 17] ; [49 12],[31.84761905 12.15238095] ; [44.15238095 16.84761905],0
p8,1,0.050973,3.809175,[ 9 35] ; [23 37],[13.53846154 30.46153846] ; [18.46153846 41.53846154],0
p4,1,0.05405,3.711143,[12 31] ; [28 32],[16.69902913 26.30097087] ; [23.30097087 36.69902913],0
p11,1,0.066994,3.355177,[18 26] ; [36 25],[22.62857143 21.37142857] ; [31.37142857 29.62857143],0
n2,1,0.089026,2.891898,[5 7] ; [19  8],[7.38461538 4.61538462] ; [16.61538462 10.38461538],0
n1,1,0.096875,2.75625,[3 9] ; [13 11],[5.33333333 6.66666667] ; [10.66666667 13.33333333],0
n3,1,0.105528,2.619943,[4 8] ; [16 10],[6.31578947 5.68421053] ; [13.68421053 12.31578947],0
n4,1,0.122505,2.385004,[34 10] ; [54  7],[36.87619048  7.12380952] ; [51.12380952  9.87619048],0
b5,1,0.141603,2.160451,[28 16] ; [30 31],[24.3047619 19.6952381] ; [33.6952381 27.3047619],0
s7,1,0.220483,1.501225,[10 30] ; [22 38],[12.8 27.2] ; [19.2 40.8],0
s6,1,0.233703,1.418182,[25 19] ; [27 33],[22. 22.] ; [30. 30.],0
p6,1,0.260716,1.264952,[10 32] ; [ 9 51],[ 7.82352941 34.17647059] ; [11.17647059 48.82352941],0
r3,1,0.300826,1.07053,[30 13] ; [48 13],[32.25 10.75] ; [45.75 15.25],0
s4,1,0.342549,0.900869,[ 8 35] ; [ 7 52],[ 6.32352941 36.67647059] ; [ 8.67647059 50.32352941],0
p2,1,0.359268,0.84045,[22 22] ; [36 25],[24.3047619 19.6952381] ; [33.6952381 27.3047619],0
v1,1,0.38479,0.755342,[13 31] ; [23 38],[15.08571429 28.91428571] ; [20.91428571 40.08571429],0
s8,1,0.40875,0.682433,[10 34] ; [18 42],[11.84615385 32.15384615] ; [16.15384615 43.84615385],0
p5,1,0.410719,0.676717,[ 4 40] ; [ 3 57],[ 2.96153846 41.03846154] ; [ 4.03846154 55.96153846],0
a1,1,0.42247,0.643433,[ 3 41] ; [ 7 54],[ 4.19047619 39.80952381] ; [ 5.80952381 55.19047619],0
p10,1,0.426061,0.633536,[11 33] ; [19 40],[12.81553398 31.18446602] ; [17.18446602 41.81553398],0
u3,1,0.42872,0.626289,[11 16] ; [9 8],[12.27272727 14.72727273] ; [7.72727273 9.27272727],0
s2,1,0.4442,0.585409,[17 26] ; [19 40],[15.17647059 27.82352941] ; [20.82352941 38.17647059],0
v2,1,0.573445,0.316953,[17 25] ; [21 39],[15.64705882 26.35294118] ; [22.35294118 37.64705882],0
b1,1,0.603766,0.269353,[23 21] ; [35 26],[24.3047619 19.6952381] ; [33.6952381 27.3047619],0
u2,1,0.626689,0.236578,[11 15] ; [8 8],[11.76190476 14.23809524] ; [7.23809524 8.76190476],0
b4,1,0.63209,0.229238,[28 16] ; [36 25],[26.81904762 17.18095238] ; [37.18095238 23.81904762],0
p7,1,0.653547,0.201457,[20 21] ; [27 34],[18.89215686 22.10784314] ; [28.10784314 32.89215686],0
s1,1,0.664636,0.187941,[ 4 40] ; [ 4 55],[ 3.41747573 40.58252427] ; [ 4.58252427 54.41747573],0
n6,1,0.690182,0.158889,[33 11] ; [47 13],[33.84615385 10.15384615] ; [46.15384615 13.84615385],0
v3,1,0.750466,0.10114,[15 29] ; [19 42],[14.24761905 29.75238095] ; [19.75238095 41.24761905],0
b2,1,0.784812,0.074558,[ 9 20] ; [14 27],[ 9.52857143 19.47142857] ; [13.47142857 27.52857143],0
b3,1,0.784812,0.074558,[ 9 20] ; [14 27],[ 9.52857143 19.47142857] ; [13.47142857 27.52857143],0
p1,1,0.800895,0.0636,[ 5 39] ; [ 6 55],[ 4.60952381 39.39047619] ; [ 6.39047619 54.60952381],0
p12,1,0.814775,0.054883,[ 1 43] ; [ 1 60],[ 0.83809524 43.16190476] ; [ 1.16190476 59.83809524],0
s5,1,0.827541,0.047461,[ 8 35] ; [12 47],[ 8.43137255 34.56862745] ; [11.56862745 47.43137255],0
