Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,59.535881,[ 4 25] ; [96 15],[20.71428571  8.28571429] ; [79.28571429 31.71428571],1
r3,1,0.0,30.941381,[13 16] ; [102  11],[23.48591549  5.51408451] ; [91.51408451 21.48591549],1
p11,1,0.0,26.825116,[10 19] ; [94 20],[21.09090909  7.90909091] ; [82.90909091 31.09090909],1
p2,1,9e-06,19.776253,[12 17] ; [92 20],[21.39007092  7.60992908] ; [82.60992908 29.39007092],1
r4,1,9.1e-05,15.310589,[ 8 21] ; [77 37],[17.23776224 11.76223776] ; [67.76223776 46.23776224],1
v4,1,0.00058,11.837761,[17 12] ; [98 15],[23.48591549  5.51408451] ; [91.51408451 21.48591549],1
p4,1,0.001136,10.592443,[ 7 22] ; [65 47],[14.80851064 14.19148936] ; [57.19148936 54.80851064],0
n3,1,0.002213,9.36366,[6 7] ; [26  3],[9.9047619 3.0952381] ; [22.0952381  6.9047619],0
s6,1,0.002508,9.134598,[ 8 21] ; [65 45],[15.23021583 13.76978417] ; [57.76978417 52.23021583],0
s2,1,0.005331,7.763643,[ 5 24] ; [52 62],[11.55944056 17.44055944] ; [45.44055944 68.55944056],0
s8,1,0.006079,7.526669,[ 3 26] ; [42 72],[ 9.12587413 19.87412587] ; [35.87412587 78.12587413],0
n6,1,0.007868,7.063278,[18 10] ; [98 16],[22.87323944  5.12676056] ; [93.12676056 20.87323944],0
s7,1,0.011619,6.36814,[ 5 23] ; [47 60],[10.78518519 17.21481481] ; [41.21481481 65.78518519],0
p8,1,0.013701,6.076244,[ 6 23] ; [51 60],[11.80714286 17.19285714] ; [45.19285714 65.80714286],0
a5,1,0.013974,6.041377,[11 18] ; [72 42],[16.83216783 12.16783217] ; [66.16783217 47.83216783],0
p3,1,0.013975,6.041354,[ 7 22] ; [56 57],[12.86619718 16.13380282] ; [50.13380282 62.86619718],0
u3,1,0.01411,6.024375,[ 1 14] ; [15 21],[ 4.70588235 10.29411765] ; [11.29411765 24.70588235],0
s3,1,0.022371,5.216725,[ 8 20] ; [59 53],[13.4 14.6] ; [53.6 58.4],0
p7,1,0.036549,4.371295,[10 19] ; [63 49],[15.0141844 13.9858156] ; [57.9858156 54.0141844],0
n2,1,0.048819,3.881562,[7 6] ; [24  5],[9.5952381 3.4047619] ; [21.4047619  7.5952381],0
v1,1,0.052076,3.773314,[ 8 21] ; [52 57],[12.60869565 16.39130435] ; [47.39130435 61.60869565],0
a3,1,0.054117,3.70909,[14 15] ; [77 37],[18.45454545 10.54545455] ; [72.54545455 41.45454545],0
d5,1,0.056082,3.649614,[17 12] ; [87 27],[21.09090909  7.90909091] ; [82.90909091 31.09090909],0
d4,1,0.071619,3.245529,[17 12] ; [86 28],[20.88811189  8.11188811] ; [82.11188811 31.88811189],0
s5,1,0.105111,2.626238,[ 3 25] ; [26 78],[ 6.15151515 21.84848485] ; [22.84848485 81.15151515],0
p5,1,0.112963,2.512275,[ 1 28] ; [16 97],[ 3.47183099 25.52816901] ; [13.52816901 99.47183099],0
p6,1,0.141179,2.165056,[ 6 22] ; [39 69],[ 9.26470588 18.73529412] ; [35.73529412 72.26470588],0
