Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.579409,[47 27] ; [ 3 26],[35.9223301 38.0776699] ; [14.0776699 14.9223301],1
r3,1,6e-06,20.47964,[56 18] ; [ 8 21],[45.98058252 28.01941748] ; [18.01941748 10.98058252],1
n6,1,6.5e-05,15.949807,[46 28] ; [ 5 23],[37. 37.] ; [14. 14.],1
r2,1,0.000325,12.922483,[62 10] ; [14 13],[55.27272727 16.72727273] ; [20.72727273  6.27272727],1
a1,1,0.000531,12.004741,[ 2 72] ; [ 7 22],[ 6.46601942 67.53398058] ; [ 2.53398058 26.46601942],1
p2,1,0.000771,11.309243,[42 31] ; [ 6 23],[34.35294118 38.64705882] ; [13.64705882 15.35294118],1
v2,1,0.005868,7.590398,[25 48] ; [ 2 26],[19.51485149 53.48514851] ; [ 7.48514851 20.51485149],0
b5,1,0.005909,7.577791,[50 24] ; [11 18],[43.82524272 30.17475728] ; [17.17475728 11.82524272],0
p1,1,0.008229,6.98287,[ 1 73] ; [ 4 25],[ 3.59223301 70.40776699] ; [ 1.40776699 27.59223301],0
p8,1,0.010119,6.613757,[23 49] ; [ 2 26],[18. 54.] ; [ 7. 21.],0
d5,1,0.012348,6.260195,[52 21] ; [13 16],[46.51960784 26.48039216] ; [18.48039216 10.51960784],0
p6,1,0.013196,6.142583,[18 53] ; [ 1 27],[13.62626263 57.37373737] ; [ 5.37373737 22.62626263],0
p9,1,0.014637,5.959653,[36 33] ; [ 7 21],[30.58762887 38.41237113] ; [12.41237113 15.58762887],0
r1,1,0.022012,5.244804,[41 32] ; [ 9 20],[35.78431373 37.21568627] ; [14.21568627 14.78431373],0
n4,1,0.023286,5.147061,[38 36] ; [22  7],[43.10679612 30.89320388] ; [16.89320388 12.10679612],0
p10,1,0.03325,4.532837,[32 40] ; [ 6 22],[27.36 44.64] ; [10.64 17.36],0
d3,1,0.034318,4.478794,[44 28] ; [11 18],[39.20792079 32.79207921] ; [15.79207921 13.20792079],0
a8,1,0.047029,3.944345,[ 2 64] ; [ 4 25],[ 4.16842105 61.83157895] ; [ 1.83157895 27.16842105],0
p4,1,0.05462,3.693663,[20 51] ; [ 3 26],[16.33 54.67] ; [ 6.67 22.33],0
s1,1,0.055727,3.660198,[ 4 70] ; [ 5 24],[ 6.46601942 67.53398058] ; [ 2.53398058 26.46601942],0
d1,1,0.068083,3.328653,[35 39] ; [ 8 21],[30.89320388 43.10679612] ; [12.10679612 16.89320388],0
n3,1,0.089687,2.879987,[13  9] ; [ 5 11],[10.42105263 11.57894737] ; [7.57894737 8.42105263],0
u2,1,0.095108,2.785714,[10 15] ; [ 2 12],[ 7.69230769 17.30769231] ; [4.30769231 9.69230769],0
p7,1,0.103178,2.65572,[27 45] ; [ 6 23],[23.52475248 48.47524752] ; [ 9.47524752 19.52475248],0
s7,1,0.12154,2.397367,[14 54] ; [ 2 25],[11.45263158 56.54736842] ; [ 4.54736842 22.45263158],0
a6,1,0.121884,2.392941,[48 26] ; [14 15],[44.54368932 29.45631068] ; [17.45631068 11.54368932],0
a7,1,0.134469,2.240136,[47 26] ; [14 15],[43.65686275 29.34313725] ; [17.34313725 11.65686275],0
p3,1,0.135197,2.231797,[20 52] ; [ 4 25],[17.10891089 54.89108911] ; [ 6.89108911 22.10891089],0
a2,1,0.145061,2.12343,[17 57] ; [ 3 26],[14.36893204 59.63106796] ; [ 5.63106796 23.36893204],0
d4,1,0.145672,2.116999,[52 22] ; [16 13],[48.85436893 25.14563107] ; [19.14563107  9.85436893],0
a3,1,0.17546,1.835662,[49 23] ; [15 13],[46.08 25.92] ; [17.92 10.08],0
n1,1,0.182422,1.777778,[ 7 17] ; [8 8],[ 9. 15.] ; [ 6. 10.],0
a5,1,0.223588,1.481192,[43 31] ; [13 16],[40.23300971 33.76699029] ; [15.76699029 13.23300971],0
n5,1,0.238287,1.390697,[39 35] ; [19 10],[41.66990291 32.33009709] ; [16.33009709 12.66990291],0
b1,1,0.247215,1.338973,[34 40] ; [17 12],[36.6407767 37.3592233] ; [14.3592233 14.6407767],0
b2,1,0.285206,1.142115,[12 24] ; [10 11],[13.89473684 22.10526316] ; [ 8.10526316 12.89473684],0
b3,1,0.285206,1.142115,[12 24] ; [10 11],[13.89473684 22.10526316] ; [ 8.10526316 12.89473684],0
v3,1,0.295452,1.094608,[19 51] ; [ 5 24],[16.96969697 53.03030303] ; [ 7.03030303 21.96969697],0
n2,1,0.443986,0.585958,[14 11] ; [7 9],[12.80487805 12.19512195] ; [8.19512195 7.80487805],0
a4,1,0.511268,0.431472,[29 45] ; [ 9 19],[27.56862745 46.43137255] ; [10.43137255 17.56862745],0
d2,1,0.54547,0.365495,[34 40] ; [11 17],[32.64705882 41.35294118] ; [12.35294118 15.64705882],0
b4,1,0.636646,0.223155,[37 37] ; [16 13],[38.0776699 35.9223301] ; [14.9223301 14.0776699],0
s4,1,0.663177,0.189688,[10 64] ; [ 3 26],[ 9.33980583 64.66019417] ; [ 3.66019417 25.33980583],0
s2,1,0.760105,0.093234,[12 62] ; [ 4 25],[11.49514563 62.50485437] ; [ 4.50485437 24.49514563],0
s5,1,0.794906,0.067572,[ 6 65] ; [ 2 27],[ 5.68 65.32] ; [ 2.32 26.68],0
v1,1,0.843422,0.039013,[19 54] ; [ 7 22],[18.60784314 54.39215686] ; [ 7.39215686 21.60784314],0
s3,1,0.906066,0.013925,[20 53] ; [ 8 20],[20.23762376 52.76237624] ; [ 7.76237624 20.23762376],0
