Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,106.755524,[ 5 53] ; [259  75],[39.06122449 18.93877551] ; [224.93877551 109.06122449],1
d4,1,0.0,56.132715,[31 27] ; [304  30],[49.56632653  8.43367347] ; [285.43367347  48.56632653],1
a4,1,1e-06,24.911049,[10 48] ; [176 158],[27.52040816 30.47959184] ; [158.47959184 175.52040816],1
d2,1,1e-06,23.384271,[16 42] ; [206 128],[32.84693878 25.15306122] ; [189.15306122 144.84693878],1
d3,1,1.6e-05,18.594474,[27 31] ; [249  85],[40.83673469 17.16326531] ; [235.16326531  98.83673469],1
a5,1,3.3e-05,17.227231,[34 24] ; [276  58],[45.86734694 12.13265306] ; [264.13265306  69.86734694],1
a3,1,0.000261,13.331902,[35 23] ; [272  61],[45.53964194 12.46035806] ; [261.46035806  71.53964194],1
u1,1,0.001627,9.929416,[ 4 54] ; [ 86 248],[13.31632653 44.68367347] ; [ 76.68367347 257.31632653],0
n4,1,0.002353,9.251645,[39 19] ; [279  53],[47.29230769 10.70769231] ; [270.70769231  61.29230769],0
r2,1,0.004078,8.248719,[53  5] ; [323   6],[56.35142119  1.64857881] ; [319.64857881   9.35142119],0
a2,1,0.006109,7.517826,[ 7 51] ; [ 98 236],[15.53571429 42.46428571] ; [ 89.46428571 244.53571429],0
p1,1,0.013633,6.08503,[11 47] ; [ 28 304],[ 5.8 52.2] ; [ 33.2 298.8],0
s6,1,0.020802,5.343329,[43 15] ; [285  46],[48.90488432  9.09511568] ; [279.09511568  51.90488432],0
r3,1,0.039218,4.2514,[53  5] ; [324  10],[55.78061224  2.21938776] ; [321.21938776  12.78061224],0
s2,1,0.060868,3.513584,[36 22] ; [245  86],[41.89717224 16.10282776] ; [239.10282776  91.89717224],0
v3,1,0.0716,3.245946,[20 36] ; [155 163],[26.20320856 29.79679144] ; [148.79679144 169.20320856],0
v2,1,0.078906,3.087293,[27 27] ; [201 120],[32.832 21.168] ; [195.168 125.832],0
r1,1,0.080183,3.061192,[45 13] ; [287  45],[49.37435897  8.62564103] ; [282.62564103  49.37435897],0
u3,1,0.082998,3.005201,[13 10] ; [47 15],[16.23529412  6.76470588] ; [43.76470588 18.23529412],0
p3,1,0.098184,2.7348,[28 30] ; [200 134],[33.73469388 24.26530612] ; [194.26530612 139.73469388],0
v1,1,0.117711,2.44751,[30 27] ; [204 117],[35.28571429 21.71428571] ; [198.71428571 122.28571429],0
n5,1,0.1482,2.090676,[42 16] ; [268  64],[46.1025641 11.8974359] ; [263.8974359  68.1025641],0
a7,1,0.148989,2.082571,[36 22] ; [238  95],[40.64450128 17.35549872] ; [233.35549872  99.64450128],0
a1,1,0.163382,1.942637,[ 1 57] ; [ 21 313],[ 3.25510204 54.74489796] ; [ 18.74489796 315.25510204],0
s5,1,0.175628,1.834233,[20 35] ; [146 170],[24.60916442 30.39083558] ; [141.39083558 174.60916442],0
p8,1,0.180971,1.789636,[38 20] ; [184 144],[33.35751295 24.64248705] ; [188.64248705 139.35751295],0
r4,1,0.23177,1.429968,[53  5] ; [318  16],[54.89285714  3.10714286] ; [316.10714286  17.89285714],0
p12,1,0.239923,1.381046,[ 9 49] ; [ 34 297],[ 6.41131105 51.58868895] ; [ 36.58868895 294.41131105],0
