Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.273902,[65 16] ; [13 25],[53.09243697 27.90756303] ; [24.90756303 13.09243697],1
p10,1,0.003506,8.523618,[67 12] ; [23 15],[60.76923077 18.23076923] ; [29.23076923  8.76923077],0
v1,1,0.003912,8.323994,[44 35] ; [10 27],[36.77586207 42.22413793] ; [17.22413793 19.77586207],0
a5,1,0.011145,6.442105,[54 27] ; [16 22],[47.64705882 33.35294118] ; [22.35294118 15.64705882],0
s7,1,0.012218,6.278919,[39 36] ; [10 27],[32.8125 42.1875] ; [16.1875 20.8125],0
v2,1,0.016541,5.744421,[45 35] ; [12 25],[38.97435897 41.02564103] ; [18.02564103 18.97435897],0
s3,1,0.017643,5.6313,[49 29] ; [15 23],[43.03448276 34.96551724] ; [20.96551724 17.03448276],0
s2,1,0.027004,4.89056,[43 36] ; [12 25],[37.45689655 41.54310345] ; [17.54310345 19.45689655],0
a4,1,0.027667,4.848672,[23 57] ; [ 4 34],[18.30508475 61.69491525] ; [ 8.69491525 29.30508475],0
b3,1,0.029049,4.764687,[20 25] ; [ 3 16],[16.171875 28.828125] ; [ 6.828125 12.171875],0
b2,1,0.029049,4.764687,[20 25] ; [ 3 16],[16.171875 28.828125] ; [ 6.828125 12.171875],0
n2,1,0.047437,3.929825,[18  1] ; [6 3],[16.28571429  2.71428571] ; [7.71428571 1.28571429],0
n1,1,0.05659,3.634615,[11  7] ; [2 7],[8.66666667 9.33333333] ; [4.33333333 4.66666667],0
s6,1,0.057845,3.59813,[51 28] ; [17 20],[46.31034483 32.68965517] ; [21.68965517 15.31034483],0
d2,1,0.089063,2.891221,[22 59] ; [ 5 33],[18.37815126 62.62184874] ; [ 8.62184874 29.37815126],0
r2,1,0.091299,2.851316,[76  5] ; [32  6],[73.51260504  7.48739496] ; [34.48739496  3.51260504],0
v3,1,0.093136,2.819313,[35 46] ; [10 27],[30.88983051 50.11016949] ; [14.11016949 22.88983051],0
p1,1,0.094107,2.802676,[13 67] ; [ 2 36],[10.16949153 69.83050847] ; [ 4.83050847 33.16949153],0
a3,1,0.102399,2.667771,[48 31] ; [17 21],[43.88888889 35.11111111] ; [21.11111111 16.88888889],0
p8,1,0.128895,2.305764,[44 33] ; [16 22],[40.17391304 36.82608696] ; [19.82608696 18.17391304],0
n6,1,0.131871,2.270338,[69 12] ; [28 10],[66.02521008 14.97478992] ; [30.97478992  7.02521008],0
r4,1,0.148488,2.087719,[72  9] ; [30  8],[69.42857143 11.57142857] ; [32.57142857  5.42857143],0
b5,1,0.17183,1.866908,[47 34] ; [27 11],[50.3697479 30.6302521] ; [23.6302521 14.3697479],0
b4,1,0.178366,1.811185,[49 32] ; [18 20],[45.60504202 35.39495798] ; [21.39495798 16.60504202],0
s5,1,0.201822,1.629137,[25 54] ; [ 7 28],[22.1754386 56.8245614] ; [ 9.8245614 25.1754386],0
p5,1,0.206906,1.592942,[13 66] ; [ 3 35],[10.8034188 68.1965812] ; [ 5.1965812 32.8034188],0
p6,1,0.231608,1.43096,[33 47] ; [11 26],[30.08547009 49.91452991] ; [13.91452991 23.08547009],0
a2,1,0.231608,1.430956,[10 71] ; [ 2 36],[ 8.16806723 72.83193277] ; [ 3.83193277 34.16806723],0
v4,1,0.256413,1.288019,[77  4] ; [34  4],[75.55462185  5.44537815] ; [35.44537815  2.55462185],0
p4,1,0.26253,1.255369,[42 37] ; [16 22],[39.16239316 39.83760684] ; [18.83760684 19.16239316],0
p11,1,0.264218,1.246521,[65 16] ; [27 11],[62.62184874 18.37815126] ; [29.37815126  8.62184874],0
r1,1,0.273117,1.201025,[63 18] ; [26 12],[60.57983193 20.42016807] ; [28.42016807  9.57983193],0
p9,1,0.365137,0.820149,[64 15] ; [28 10],[62.11965812 16.88034188] ; [29.88034188  8.11965812],0
p3,1,0.390086,0.738675,[34 46] ; [13 25],[31.86440678 48.13559322] ; [15.13559322 22.86440678],0
s8,1,0.469147,0.523984,[26 53] ; [10 28],[24.30769231 54.69230769] ; [11.69230769 26.30769231],0
d1,1,0.515749,0.422386,[ 7 74] ; [ 2 36],[ 6.12605042 74.87394958] ; [ 2.87394958 35.12605042],0
p7,1,0.545421,0.365585,[46 32] ; [24 13],[47.47826087 30.52173913] ; [22.52173913 14.47826087],0
u2,1,0.568618,0.325,[15 17] ; [11  9],[16. 16.] ; [10. 10.],0
u3,1,0.591219,0.288445,[19 14] ; [10 10],[18.05660377 14.94339623] ; [10.94339623  9.05660377],0
s4,1,0.643364,0.214369,[14 66] ; [ 8 30],[14.91525424 65.08474576] ; [ 7.08474576 30.91525424],0
a8,1,0.668736,0.183084,[10 65] ; [ 4 34],[ 9.2920354 65.7079646] ; [ 4.7079646 33.2920354],0
a1,1,0.692611,0.156274,[ 3 78] ; [ 2 36],[ 3.40336134 77.59663866] ; [ 1.59663866 36.40336134],0
a6,1,0.70728,0.141009,[54 27] ; [24 14],[53.09243697 27.90756303] ; [24.90756303 13.09243697],0
r3,1,0.713222,0.13508,[72  8] ; [35  3],[72.54237288  7.45762712] ; [34.45762712  3.54237288],0
d4,1,0.714591,0.133735,[44 37] ; [22 16],[44.92436975 36.07563025] ; [21.07563025 16.92436975],0
p2,1,0.764874,0.089453,[59 21] ; [29  9],[59.66101695 20.33898305] ; [28.33898305  9.66101695],0
b1,1,0.796011,0.066829,[34 47] ; [15 23],[33.35294118 47.64705882] ; [15.64705882 22.35294118],0
s1,1,0.819908,0.05183,[ 5 74] ; [ 2 36],[ 4.72649573 74.27350427] ; [ 2.27350427 35.72649573],0
p12,1,0.861062,0.030633,[ 7 72] ; [ 3 35],[ 6.75213675 72.24786325] ; [ 3.24786325 34.75213675],0
d3,1,0.923325,0.009263,[44 37] ; [21 17],[44.24369748 36.75630252] ; [20.75630252 17.24369748],0
n3,1,0.943843,0.004962,[15  4] ; [7 2],[14.92857143  4.07142857] ; [7.07142857 1.92857143],0
