Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2e-06,22.93793,[ 6 23] ; [53 20],[16.7745098 12.2254902] ; [42.2254902 30.7745098],1
p6,1,0.005936,7.569535,[ 6 23] ; [35 34],[12.13265306 16.86734694] ; [28.86734694 40.13265306],0
n2,1,0.035496,4.421154,[3 3] ; [12  1],[4.73684211 1.26315789] ; [10.26315789  2.73684211],0
p11,1,0.067675,3.338536,[17 12] ; [56 17],[20.75490196  8.24509804] ; [52.24509804 20.75490196],0
b4,1,0.078784,3.089804,[21  8] ; [39 34],[17.05882353 11.94117647] ; [42.94117647 30.05882353],0
v2,1,0.116086,2.469346,[ 8 18] ; [35 37],[11.40816327 14.59183673] ; [31.59183673 40.40816327],0
s4,1,0.130121,2.291054,[ 3 26] ; [17 55],[ 5.74257426 23.25742574] ; [14.25742574 57.74257426],0
v3,1,0.144127,2.133333,[ 6 18] ; [30 42],[ 9. 15.] ; [27. 45.],0
d1,1,0.146772,2.105479,[14 15] ; [24 49],[10.80392157 18.19607843] ; [27.19607843 45.80392157],0
b5,1,0.151642,2.055657,[20  9] ; [39 34],[16.7745098 12.2254902] ; [42.2254902 30.7745098],0
n5,1,0.189017,1.725264,[19 10] ; [57 16],[21.60784314  7.39215686] ; [54.39215686 18.60784314],0
s7,1,0.224841,1.473205,[ 9 17] ; [33 35],[11.61702128 14.38297872] ; [30.38297872 37.61702128],0
p1,1,0.278436,1.174708,[ 7 22] ; [11 62],[ 5.11764706 23.88235294] ; [12.88235294 60.11764706],0
p4,1,0.282093,1.156979,[24  5] ; [53 20],[21.89215686  7.10784314] ; [55.10784314 17.89215686],0
a3,1,0.296602,1.089409,[10 19] ; [33 39],[12.34653465 16.65346535] ; [30.65346535 41.34653465],0
v4,1,0.329254,0.951828,[27  2] ; [71  2],[27.8627451  1.1372549] ; [70.1372549  2.8627451],0
s5,1,0.330799,0.945768,[ 9 17] ; [17 52],[ 7.11578947 18.88421053] ; [18.88421053 50.11578947],0
n4,1,0.334262,0.932316,[20  9] ; [57 16],[21.89215686  7.10784314] ; [55.10784314 17.89215686],0
d5,1,0.334826,0.930143,[23  6] ; [51 22],[21.03921569  7.96078431] ; [52.96078431 20.03921569],0
