Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.901581,[58  7] ; [13 17],[48.57894737 16.42105263] ; [22.42105263  7.57894737],1
n6,1,0.001443,10.149573,[60  5] ; [20 10],[54.73684211 10.26315789] ; [25.26315789  4.73684211],0
r2,1,0.005692,7.645461,[60  4] ; [22  8],[55.82978723  8.17021277] ; [26.17021277  3.82978723],0
v4,1,0.006273,7.470131,[62  2] ; [24  6],[58.55319149  5.44680851] ; [27.44680851  2.55319149],0
p3,1,0.010784,6.500651,[42 23] ; [11 19],[36.26315789 28.73684211] ; [16.73684211 13.26315789],0
r4,1,0.015066,5.908721,[57  8] ; [20 10],[52.68421053 12.31578947] ; [24.31578947  5.68421053],0
p9,1,0.019907,5.420065,[58  7] ; [21  9],[54.05263158 10.94736842] ; [24.94736842  5.05263158],0
a4,1,0.048925,3.877919,[15 49] ; [ 2 28],[11.57446809 52.42553191] ; [ 5.42553191 24.57446809],0
v3,1,0.062736,3.463526,[30 34] ; [ 8 22],[25.87234043 38.12765957] ; [12.12765957 17.87234043],0
v2,1,0.075205,3.165591,[35 27] ; [11 19],[31. 31.] ; [15. 15.],0
p1,1,0.097841,2.740385,[16 49] ; [ 3 27],[13. 52.] ; [ 6. 24.],0
d3,1,0.098475,2.730063,[21 44] ; [15 15],[24.63157895 40.36842105] ; [11.36842105 18.63157895],0
u2,1,0.124607,2.358442,[14 17] ; [11  5],[16.4893617 14.5106383] ; [8.5106383 7.4893617],0
a5,1,0.176491,1.826923,[42 23] ; [15 15],[39. 26.] ; [18. 12.],0
v1,1,0.177281,1.820271,[33 31] ; [11 19],[29.95744681 34.04255319] ; [14.04255319 15.95744681],0
a1,1,0.183984,1.765143,[ 1 64] ; [ 2 28],[ 2.05263158 62.94736842] ; [ 0.94736842 29.05263158],0
d4,1,0.223855,1.479485,[26 39] ; [16 14],[28.73684211 36.26315789] ; [13.26315789 16.73684211],0
r1,1,0.230293,1.439053,[47 18] ; [18 12],[44.47368421 20.52631579] ; [20.52631579  9.47368421],0
p4,1,0.231185,1.433555,[43 22] ; [16 14],[40.36842105 24.63157895] ; [18.63157895 11.36842105],0
p10,1,0.250749,1.319123,[56  9] ; [23  7],[54.05263158 10.94736842] ; [24.94736842  5.05263158],0
p11,1,0.269764,1.217949,[54 11] ; [22  8],[52. 13.] ; [24.  6.],0
r3,1,0.292399,1.108544,[59  6] ; [25  5],[57.47368421  7.52631579] ; [26.52631579  3.47368421],0
a6,1,0.294537,1.098765,[42 23] ; [16 14],[39.68421053 25.31578947] ; [18.31578947 11.68421053],0
d2,1,0.308237,1.038214,[17 48] ; [ 5 25],[15.05263158 49.94736842] ; [ 6.94736842 23.05263158],0
a7,1,0.347615,0.882143,[39 26] ; [21  9],[41.05263158 23.94736842] ; [18.94736842 11.05263158],0
s3,1,0.380071,0.770471,[37 25] ; [15 15],[35.04347826 26.95652174] ; [16.95652174 13.04347826],0
n2,1,0.382733,0.761905,[6 3] ; [6 1],[6.75 2.25] ; [5.25 1.75],0
d1,1,0.416859,0.659152,[ 5 60] ; [ 1 29],[ 4.10526316 60.89473684] ; [ 1.89473684 28.10526316],0
u1,1,0.41804,0.655819,[ 2 63] ; [ 2 28],[ 2.73684211 62.26315789] ; [ 1.26315789 28.73684211],0
s7,1,0.42221,0.644156,[35 28] ; [14 16],[33.19354839 29.80645161] ; [15.80645161 14.19354839],0
s6,1,0.445626,0.581753,[39 24] ; [21  9],[40.64516129 22.35483871] ; [19.35483871 10.64516129],0
p12,1,0.461478,0.542308,[10 54] ; [ 3 27],[ 8.85106383 55.14893617] ; [ 4.14893617 25.85106383],0
n1,1,0.515305,0.42328,[4 5] ; [2 5],[3.375 5.625] ; [2.625 4.375],0
p5,1,0.534713,0.385427,[12 53] ; [ 4 26],[10.94736842 54.05263158] ; [ 5.05263158 24.94736842],0
b4,1,0.540701,0.374242,[39 26] ; [16 14],[37.63157895 27.36842105] ; [17.36842105 12.63157895],0
a3,1,0.55929,0.340934,[34 30] ; [14 16],[32.68085106 31.31914894] ; [15.31914894 14.68085106],0
p6,1,0.570401,0.322012,[31 34] ; [12 17],[29.73404255 35.26595745] ; [13.26595745 15.73404255],0
u4,1,0.571093,0.320857,[ 1 64] ; [ 1 29],[ 1.36842105 63.63157895] ; [ 0.63157895 29.36842105],0
b1,1,0.574533,0.315157,[30 35] ; [12 18],[28.73684211 36.26315789] ; [13.26315789 16.73684211],0
p2,1,0.581083,0.304487,[53 12] ; [23  7],[52. 13.] ; [24.  6.],0
s5,1,0.581466,0.303871,[21 42] ; [ 8 21],[19.85869565 43.14130435] ; [ 9.14130435 19.85869565],0
p7,1,0.61016,0.259942,[46 19] ; [22  7],[47.0212766 17.9787234] ; [20.9787234  8.0212766],0
u3,1,0.614698,0.25339,[14 17] ; [ 6 10],[13.19148936 17.80851064] ; [6.80851064 9.19148936],0
s8,1,0.639006,0.220045,[27 38] ; [14 16],[28.05263158 36.94736842] ; [12.94736842 17.05263158],0
n3,1,0.69627,0.152381,[6 3] ; [4 3],[5.625 3.375] ; [4.375 2.625],0
b2,1,0.84733,0.037067,[17 26] ; [4 7],[16.72222222 26.27777778] ; [4.27777778 6.72222222],0
b3,1,0.84733,0.037067,[17 26] ; [4 7],[16.72222222 26.27777778] ; [4.27777778 6.72222222],0
a2,1,0.858831,0.031635,[ 5 60] ; [ 2 28],[ 4.78947368 60.21052632] ; [ 2.21052632 27.78947368],0
s4,1,0.873439,0.025374,[10 55] ; [ 5 25],[10.26315789 54.73684211] ; [ 4.73684211 25.26315789],0
b5,1,0.886338,0.020432,[40 25] ; [18 12],[39.68421053 25.31578947] ; [18.31578947 11.68421053],0
a8,1,0.917964,0.010609,[ 6 54] ; [ 3 25],[ 6.13636364 53.86363636] ; [ 2.86363636 25.13636364],0
s1,1,0.923905,0.009123,[ 4 61] ; [ 2 28],[ 4.10526316 60.89473684] ; [ 1.89473684 28.10526316],0
s2,1,1.0,0.0,[32 32] ; [15 15],[32. 32.] ; [15. 15.],0
