Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,7e-06,20.215921,[21 47] ; [92 52],[36.24528302 31.75471698] ; [76.75471698 67.24528302],1
d4,1,1.9e-05,18.313405,[33 34] ; [113  31],[46.36018957 20.63981043] ; [99.63981043 44.36018957],1
d5,1,3.7e-05,17.003684,[32 36] ; [109  35],[45.22641509 22.77358491] ; [95.77358491 48.22641509],1
d3,1,4.4e-05,16.699921,[27 41] ; [99 44],[40.60663507 27.39336493] ; [85.39336493 57.60663507],1
r3,1,0.00015,14.367671,[56 12] ; [138   4],[62.81904762  5.18095238] ; [131.18095238  10.81904762],1
n3,1,0.000549,11.941927,[12 14] ; [29  4],[18.06779661  7.93220339] ; [22.93220339 10.06779661],1
r2,1,0.001323,10.310524,[52 15] ; [133  10],[59.02380952  7.97619048] ; [125.97619048  17.02380952],0
d1,1,0.001464,10.123901,[12 56] ; [57 87],[22.13207547 45.86792453] ; [46.86792453 97.13207547],0
b1,1,0.002214,9.36319,[34 34] ; [ 41 103],[24.05660377 43.94339623] ; [50.94339623 93.05660377],0
r4,1,0.00267,9.020026,[46 22] ; [123  21],[54.20754717 13.79245283] ; [114.79245283  29.20754717],0
u3,1,0.012152,6.288513,[14 26] ; [43 29],[20.35714286 19.64285714] ; [36.64285714 35.35714286],0
r1,1,0.021247,5.306406,[36 32] ; [99 44],[43.507109 24.492891] ; [91.492891 51.507109],0
p11,1,0.046076,3.978806,[43 25] ; [110  34],[49.0754717 18.9245283] ; [103.9245283  40.0754717],0
p3,1,0.048467,3.893734,[21 47] ; [65 79],[27.58490566 40.41509434] ; [58.41509434 85.58490566],0
n4,1,0.174654,1.842535,[47 21] ; [85 58],[42.54028436 25.45971564] ; [89.45971564 53.54028436],0
p10,1,0.177955,1.814616,[46 22] ; [107  33],[50.01923077 17.98076923] ; [102.98076923  37.01923077],0
p9,1,0.190695,1.712244,[50 18] ; [114  26],[53.61538462 14.38461538] ; [110.38461538  29.61538462],0
s5,1,0.219944,1.504738,[21 45] ; [ 33 106],[17.38536585 48.61463415] ; [ 36.61463415 102.38536585],0
d2,1,0.246669,1.342071,[18 50] ; [ 28 116],[14.75471698 53.24528302] ; [ 31.24528302 112.75471698],0
n6,1,0.263006,1.252863,[49 19] ; [113  30],[52.20853081 15.79146919] ; [109.79146919  33.20853081],0
b3,1,0.277649,1.178562,[ 8 32] ; [22 53],[10.43478261 29.56521739] ; [19.56521739 55.43478261],0
b2,1,0.277649,1.178562,[ 8 32] ; [22 53],[10.43478261 29.56521739] ; [19.56521739 55.43478261],0
a3,1,0.287575,1.130942,[28 39] ; [71 72],[31.58571429 35.41428571] ; [67.41428571 75.58571429],0
b5,1,0.306129,1.047304,[37 31] ; [89 55],[40.41509434 27.58490566] ; [85.58490566 58.41509434],0
s6,1,0.309651,1.032164,[36 30] ; [88 54],[39.34615385 26.65384615] ; [84.65384615 57.34615385],0
v3,1,0.348579,0.878624,[18 49] ; [46 92],[20.91707317 46.08292683] ; [43.08292683 94.91707317],0
p7,1,0.401316,0.704381,[45 23] ; [83 55],[42.25242718 25.74757282] ; [85.74757282 52.25242718],0
s2,1,0.431294,0.619336,[27 41] ; [65 78],[29.6492891 38.3507109] ; [62.3507109 80.6492891],0
v4,1,0.431411,0.619022,[61  5] ; [137   7],[62.22857143  3.77142857] ; [135.77142857   8.22857143],0
n1,1,0.441016,0.593637,[ 7 19] ; [12 21],[ 8.37288136 17.62711864] ; [10.62711864 22.37288136],0
v1,1,0.498486,0.458158,[32 35] ; [59 79],[29.74146341 37.25853659] ; [61.25853659 76.74146341],0
u1,1,0.51752,0.418834,[ 2 66] ; [  7 137],[ 2.88679245 65.11320755] ; [  6.11320755 137.88679245],0
p5,1,0.545455,0.365522,[ 9 59] ; [ 15 129],[ 7.69811321 60.30188679] ; [ 16.30188679 127.69811321],0
n5,1,0.546176,0.364213,[48 20] ; [95 48],[46.08530806 21.91469194] ; [96.91469194 46.08530806],0
u2,1,0.563176,0.334235,[20 20] ; [39 31],[21.45454545 18.54545455] ; [37.54545455 32.45454545],0
s8,1,0.580302,0.305747,[21 47] ; [50 94],[22.77358491 45.22641509] ; [48.22641509 95.77358491],0
n2,1,0.595177,0.282332,[17  9] ; [23  9],[17.93103448  8.06896552] ; [22.06896552  9.93103448],0
b4,1,0.634831,0.225566,[42 26] ; [84 60],[40.41509434 27.58490566] ; [85.58490566 58.41509434],0
a8,1,0.634891,0.225486,[ 7 56] ; [ 18 115],[ 8.03571429 54.96428571] ; [ 16.96428571 116.03571429],0
p6,1,0.698629,0.149902,[24 43] ; [46 93],[22.76699029 44.23300971] ; [47.23300971 91.76699029],0
a1,1,0.700841,0.147599,[ 2 66] ; [  3 141],[ 1.60377358 66.39622642] ; [  3.39622642 140.60377358],0
s3,1,0.726019,0.122798,[39 28] ; [79 63],[37.8277512 29.1722488] ; [80.1722488 61.8277512],0
p8,1,0.731355,0.117871,[35 33] ; [69 72],[33.83732057 34.16267943] ; [70.16267943 70.83732057],0
v2,1,0.737685,0.112172,[28 37] ; [62 74],[29.10447761 35.89552239] ; [60.89552239 75.10447761],0
p4,1,0.797138,0.066076,[36 32] ; [73 70],[35.12796209 32.87203791] ; [73.87203791 69.12796209],0
p1,1,0.82273,0.050191,[ 6 62] ; [ 14 129],[ 6.44549763 61.55450237] ; [ 13.55450237 129.44549763],0
p12,1,0.877274,0.023847,[ 3 65] ; [  7 136],[ 3.22274882 64.77725118] ; [  6.77725118 136.22274882],0
a4,1,0.94908,0.004078,[13 55] ; [ 27 117],[12.83018868 55.16981132] ; [ 27.16981132 116.83018868],0
s7,1,0.987734,0.000236,[25 38] ; [55 84],[24.95049505 38.04950495] ; [55.04950495 83.95049505],0
s4,1,0.995702,2.9e-05,[13 55] ; [ 27 114],[13.01435407 54.98564593] ; [ 26.98564593 114.01435407],0
