Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1.3e-05,19.0327,[ 8 71] ; [14 15],[16.09259259 62.90740741] ; [ 5.90740741 23.09259259],1
s6,1,0.000245,13.451938,[21 57] ; [19 10],[29.1588785 48.8411215] ; [10.8411215 18.1588785],1
p6,1,0.003228,8.674142,[ 8 69] ; [10 19],[13.0754717 63.9245283] ; [ 4.9245283 24.0754717],0
s2,1,0.003534,8.508948,[20 59] ; [16 13],[26.33333333 52.66666667] ; [ 9.66666667 19.33333333],0
s5,1,0.004641,8.014404,[ 9 65] ; [10 17],[13.92079208 60.07920792] ; [ 5.07920792 21.92079208],0
u3,1,0.028702,4.785401,[13 26] ; [6 2],[15.76595745 23.23404255] ; [3.23404255 4.76595745],0
a5,1,0.031037,4.650899,[36 43] ; [20  9],[40.96296296 38.03703704] ; [15.03703704 13.96296296],0
n1,1,0.038474,4.283951,[ 6 19] ; [8 6],[ 8.97435897 16.02564103] ; [5.02564103 8.97435897],0
u1,1,0.042419,4.118408,[ 4 75] ; [ 5 24],[ 6.58333333 72.41666667] ; [ 2.41666667 26.58333333],0
a3,1,0.04303,4.094228,[40 39] ; [21  8],[44.62037037 34.37962963] ; [16.37962963 12.62037037],0
s3,1,0.045298,4.007507,[24 54] ; [15 14],[28.42990654 49.57009346] ; [10.57009346 18.42990654],0
d4,1,0.05354,3.726986,[50 29] ; [24  5],[54.12962963 24.87037037] ; [19.87037037  9.12962963],0
r2,1,0.056563,3.635402,[55 23] ; [24  3],[58.68571429 19.31428571] ; [20.31428571  6.68571429],0
a2,1,0.082934,3.00644,[ 5 74] ; [ 5 24],[ 7.31481481 71.68518519] ; [ 2.68518519 26.31481481],0
s4,1,0.098409,2.731139,[11 68] ; [ 8 21],[13.89814815 65.10185185] ; [ 5.10185185 23.89814815],0
p4,1,0.105192,2.625009,[20 59] ; [12 17],[23.40740741 55.59259259] ; [ 8.59259259 20.40740741],0
v1,1,0.115867,2.472315,[24 54] ; [12 13],[27.26213592 50.73786408] ; [ 8.73786408 16.26213592],0
d2,1,0.116248,2.467153,[32 45] ; [17 12],[35.59433962 41.40566038] ; [13.40566038 15.59433962],0
p11,1,0.178194,1.81262,[46 33] ; [21  8],[49.00925926 29.99074074] ; [17.99074074 11.00925926],0
v4,1,0.212105,1.556999,[56 23] ; [24  5],[58.51851852 20.48148148] ; [21.48148148  7.51851852],0
