Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,51.882489,[40 68] ; [230  75],[70.60532688 37.39467312] ; [199.39467312 105.60532688],1
d3,1,0.0,40.183388,[51 57] ; [243  63],[76.69565217 31.30434783] ; [217.30434783  88.69565217],1
a2,1,5e-06,20.946429,[  7 101] ; [ 85 221],[24. 84.] ; [ 68. 238.],1
b5,1,4.2e-05,16.786523,[41 67] ; [186 120],[59.2173913 48.7826087] ; [167.7826087 138.2173913],1
u1,1,0.000405,12.510725,[  7 101] ; [ 66 240],[19.04347826 88.95652174] ; [ 53.95652174 252.04347826],1
n2,1,0.005012,7.875,[14 10] ; [42  6],[18.66666667  5.33333333] ; [37.33333333 10.66666667],0
r1,1,0.012064,6.301427,[80 28] ; [258  46],[88.60194175 19.39805825] ; [249.39805825  54.60194175],0
r2,1,0.016374,5.762269,[96  9] ; [293   9],[100.35626536   4.64373464] ; [288.64373464  13.35626536],0
d5,1,0.023394,5.13899,[78 29] ; [254  52],[86.01452785 20.98547215] ; [245.98547215  60.01452785],0
s8,1,0.024938,5.028207,[64 44] ; [141 161],[54. 54.] ; [151. 151.],0
b1,1,0.045317,4.006802,[48 60] ; [103 203],[39.39130435 68.60869565] ; [111.60869565 194.39130435],0
d1,1,0.047609,3.923748,[59 49] ; [200 106],[67.56521739 40.43478261] ; [191.43478261 114.56521739],0
p2,1,0.053591,3.725405,[95 13] ; [285  19],[99.61165049  8.38834951] ; [280.38834951  23.61165049],0
d4,1,0.057468,3.608996,[84 23] ; [264  42],[90.1598063 16.8401937] ; [257.8401937  48.1598063],0
u3,1,0.06511,3.402192,[14 22] ; [47 35],[18.61016949 17.38983051] ; [42.38983051 39.61016949],0
b4,1,0.067113,3.35225,[54 54] ; [184 122],[62.08695652 45.91304348] ; [175.91304348 130.08695652],0
r4,1,0.071552,3.247059,[96 12] ; [288  18],[100.17391304   7.82608696] ; [283.82608696  22.17391304],0
a5,1,0.083487,2.995676,[77 31] ; [243  63],[83.47826087 24.52173913] ; [236.52173913  69.47826087],0
n5,1,0.105451,2.621109,[96 12] ; [250  54],[90.69902913 17.30097087] ; [255.30097087  48.69902913],0
r3,1,0.108485,2.576159,[100   8] ; [292  11],[103.00729927   4.99270073] ; [288.99270073  14.00729927],0
s4,1,0.109715,2.558315,[24 84] ; [ 46 252],[18.62068966 89.37931034] ; [ 51.37931034 246.62068966],0
v1,1,0.113998,2.497903,[57 50] ; [186 114],[63.88452088 43.11547912] ; [179.11547912 120.88452088],0
v4,1,0.142974,2.14566,[103   5] ; [297   6],[105.10948905   2.89051095] ; [294.89051095   8.10948905],0
v2,1,0.15168,2.055274,[55 50] ; [180 118],[61.22828784 43.77171216] ; [173.77171216 124.22828784],0
