Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,9.6e-05,15.208543,[ 5 33] ; [14  9],[11.83606557 26.16393443] ; [ 7.16393443 15.83606557],1
p7,1,0.000109,14.96959,[ 6 31] ; [15  8],[12.95 24.05] ; [ 8.05 14.95],1
p10,1,0.000733,11.403547,[ 8 29] ; [15  8],[14.18333333 22.81666667] ; [ 8.81666667 14.18333333],1
p4,1,0.001233,10.439894,[ 5 32] ; [12 11],[10.48333333 26.51666667] ; [ 6.51666667 16.48333333],0
p9,1,0.001255,10.407466,[ 8 27] ; [15  8],[13.87931034 21.12068966] ; [ 9.12068966 13.87931034],0
v4,1,0.009044,6.81402,[15 23] ; [17  6],[19.93442623 18.06557377] ; [12.06557377 10.93442623],0
p3,1,0.017189,5.676971,[ 6 32] ; [10 13],[ 9.96721311 28.03278689] ; [ 6.03278689 16.96721311],0
p6,1,0.021948,5.249932,[ 2 35] ; [ 6 17],[ 4.93333333 32.06666667] ; [ 3.06666667 19.93333333],0
n3,1,0.072998,3.214286,[ 6 12] ; [8 4],[8.4 9.6] ; [5.6 6.4],0
a1,1,0.074594,3.17891,[ 8 30] ; [ 1 22],[ 5.60655738 32.39344262] ; [ 3.39344262 19.60655738],0
v3,1,0.093385,2.815027,[10 28] ; [ 2 21],[ 7.47540984 30.52459016] ; [ 4.52459016 18.47540984],0
s4,1,0.099945,2.706419,[ 5 33] ; [ 7 16],[ 7.47540984 30.52459016] ; [ 4.52459016 18.47540984],0
v1,1,0.105682,2.617627,[ 9 29] ; [10 13],[11.83606557 26.16393443] ; [ 7.16393443 15.83606557],0
n4,1,0.110536,2.54654,[26 12] ; [11 12],[23.04918033 14.95081967] ; [13.95081967  9.04918033],0
s5,1,0.111615,2.531198,[ 4 34] ; [ 6 17],[ 6.2295082 31.7704918] ; [ 3.7704918 19.2295082],0
b2,1,0.115776,2.473558,[13 15] ; [ 3 11],[10.66666667 17.33333333] ; [5.33333333 8.66666667],0
b3,1,0.115776,2.473558,[13 15] ; [ 3 11],[10.66666667 17.33333333] ; [5.33333333 8.66666667],0
p8,1,0.143381,2.141297,[ 8 29] ; [ 9 14],[10.48333333 26.51666667] ; [ 6.51666667 16.48333333],0
