Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.996485,[ 26 100] ; [18  9],[36.23529412 89.76470588] ; [ 7.76470588 19.23529412],1
s6,1,6.3e-05,16.019068,[43 84] ; [21  7],[52.43870968 74.56129032] ; [11.56129032 16.43870968],1
s7,1,0.000249,13.423372,[24 92] ; [15 12],[31.63636364 84.36363636] ; [ 7.36363636 19.63636364],1
s3,1,0.001285,10.364516,[42 84] ; [18  9],[49.41176471 76.58823529] ; [10.58823529 16.41176471],0
v3,1,0.001302,10.339431,[24 97] ; [13 13],[30.45578231 90.54421769] ; [ 6.54421769 19.45578231],0
p9,1,0.00749,7.151584,[34 90] ; [15 13],[39.97368421 84.02631579] ; [ 9.02631579 18.97368421],0
v4,1,0.010418,6.562011,[93 32] ; [27  1],[98.03921569 26.96078431] ; [21.96078431  6.03921569],0
r4,1,0.011679,6.358937,[77 50] ; [24  4],[82.75483871 44.24516129] ; [18.24516129  9.75483871],0
v1,1,0.01287,6.186915,[38 87] ; [15 12],[43.58552632 81.41447368] ; [ 9.41447368 17.58552632],0
v2,1,0.021041,5.323378,[39 83] ; [15 12],[44.2147651 77.7852349] ; [ 9.7852349 17.2147651],0
r3,1,0.028323,4.808317,[92 33] ; [26  2],[96.40522876 28.59477124] ; [21.59477124  6.40522876],0
d2,1,0.030036,4.707218,[56 68] ; [19  9],[61.18421053 62.81578947] ; [13.81578947 14.18421053],0
s5,1,0.044219,4.048177,[ 20 106] ; [ 8 16],[ 23.52 102.48] ; [ 4.48 19.52],0
u2,1,0.047847,3.915358,[21 29] ; [7 2],[23.72881356 26.27118644] ; [4.27118644 4.72881356],0
a5,1,0.060724,3.517504,[66 61] ; [20  8],[70.46451613 56.53548387] ; [15.53548387 12.46451613],0
p4,1,0.075,3.170058,[33 94] ; [12 16],[36.87096774 90.12903226] ; [ 8.12903226 19.87096774],0
p3,1,0.075745,3.153923,[29 97] ; [11 17],[32.72727273 93.27272727] ; [ 7.27272727 20.72727273],0
n6,1,0.076013,3.148148,[70 56] ; [20  7],[74.11764706 51.88235294] ; [15.88235294 11.11764706],0
b5,1,0.085854,2.950451,[73 54] ; [21  7],[77.01935484 49.98064516] ; [16.98064516 11.01935484],0
n4,1,0.101458,2.682468,[77 49] ; [21  6],[80.70588235 45.29411765] ; [17.29411765  9.70588235],0
p2,1,0.119382,2.425409,[61 66] ; [18 10],[64.72903226 62.27096774] ; [14.27096774 13.72903226],0
d5,1,0.126965,2.329227,[80 46] ; [22  6],[83.45454545 42.54545455] ; [18.54545455  9.45454545],0
a6,1,0.136343,2.218755,[66 60] ; [19  9],[69.54545455 56.45454545] ; [15.45454545 12.54545455],0
r1,1,0.14554,2.118386,[76 50] ; [21  7],[79.36363636 46.63636364] ; [17.63636364 10.36363636],0
d1,1,0.168057,1.900189,[50 77] ; [15 13],[53.25806452 73.74193548] ; [11.74193548 16.25806452],0
a8,1,0.206052,1.598954,[ 13 107] ; [ 5 20],[ 14.89655172 105.10344828] ; [ 3.10344828 21.89655172],0
u1,1,0.387667,0.746248,[ 15 112] ; [ 5 23],[ 16.38709677 110.61290323] ; [ 3.61290323 24.38709677],0
s1,1,0.439711,0.597037,[ 10 116] ; [ 1 26],[  9.05882353 116.94117647] ; [ 1.94117647 25.05882353],0
n3,1,0.44285,0.588886,[36 23] ; [6 2],[36.98507463 22.01492537] ; [5.01492537 2.98507463],0
p7,1,0.453678,0.561447,[37 89] ; [ 6 21],[35.41176471 90.58823529] ; [ 7.58823529 19.41176471],0
s4,1,0.477803,0.503873,[ 20 106] ; [ 6 22],[ 21.27272727 104.72727273] ; [ 4.72727273 23.27272727],0
u4,1,0.487581,0.481861,[  2 125] ; [ 1 27],[  2.45806452 124.54193548] ; [ 0.54193548 27.45806452],0
p5,1,0.487581,0.481861,[  2 125] ; [ 1 27],[  2.45806452 124.54193548] ; [ 0.54193548 27.45806452],0
b4,1,0.50794,0.438308,[73 54] ; [18 10],[74.56129032 52.43870968] ; [16.43870968 11.56129032],0
d3,1,0.518106,0.417661,[67 59] ; [13 15],[65.45454545 60.54545455] ; [14.54545455 13.45454545],0
p11,1,0.5189,0.416079,[55 72] ; [14 14],[56.53548387 70.46451613] ; [12.46451613 15.53548387],0
n1,1,0.536662,0.381762,[22 39] ; [2 6],[21.2173913 39.7826087] ; [2.7826087 5.2173913],0
d4,1,0.554518,0.349285,[86 38] ; [21  7],[87.28947368 36.71052632] ; [19.71052632  8.28947368],0
p6,1,0.561714,0.336746,[ 17 108] ; [ 5 23],[ 17.97385621 107.02614379] ; [ 4.02614379 23.97385621],0
a4,1,0.566147,0.329172,[57 69] ; [11 17],[55.63636364 70.36363636] ; [12.36363636 15.63636364],0
a7,1,0.595005,0.282595,[69 56] ; [17 11],[70.26143791 54.73856209] ; [15.73856209 12.26143791],0
n5,1,0.616088,0.251405,[68 58] ; [16 11],[69.17647059 56.82352941] ; [14.82352941 12.17647059],0
n2,1,0.634962,0.225392,[35 25] ; [6 3],[35.65217391 24.34782609] ; [5.34782609 3.65217391],0
a3,1,0.674601,0.176267,[75 50] ; [18 10],[75.98039216 49.01960784] ; [17.01960784 10.98039216],0
b1,1,0.704057,0.144286,[63 64] ; [15 13],[63.90967742 63.09032258] ; [14.09032258 13.90967742],0
a1,1,0.731575,0.117671,[ 11 116] ; [ 3 25],[ 11.47096774 115.52903226] ; [ 2.52903226 25.47096774],0
