Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,2.4e-05,17.81685,[40  8] ; [10 18],[31.57894737 16.42105263] ; [18.42105263  9.57894737],1
a3,1,0.000229,13.577083,[33 15] ; [ 7 21],[25.26315789 22.73684211] ; [14.73684211 13.26315789],1
r1,1,0.005129,7.833436,[40  8] ; [15 13],[34.73684211 13.26315789] ; [20.26315789  7.73684211],0
v2,1,0.014166,6.01731,[29 17] ; [ 9 18],[23.94520548 22.05479452] ; [14.05479452 12.94520548],0
p9,1,0.01895,5.50614,[41  6] ; [18 10],[36.97333333 10.02666667] ; [22.02666667  5.97333333],0
s2,1,0.019533,5.453161,[27 21] ; [ 8 20],[22.10526316 25.89473684] ; [12.89473684 15.10526316],0
r4,1,0.01967,5.440909,[45  3] ; [21  7],[41.68421053  6.31578947] ; [24.31578947  3.68421053],0
s7,1,0.020619,5.358736,[27 18] ; [ 9 19],[22.19178082 22.80821918] ; [13.80821918 14.19178082],0
a4,1,0.023101,5.160913,[14 34] ; [ 2 26],[10.10526316 37.89473684] ; [ 5.89473684 22.10526316],0
p10,1,0.023387,5.139518,[39  9] ; [16 12],[34.73684211 13.26315789] ; [20.26315789  7.73684211],0
p8,1,0.047088,3.942244,[37 10] ; [16 12],[33.21333333 13.78666667] ; [19.78666667  8.21333333],0
d3,1,0.049842,3.846777,[21 27] ; [ 6 22],[17.05263158 30.94736842] ; [ 9.94736842 18.05263158],0
v3,1,0.052282,3.766707,[23 24] ; [ 7 20],[19.05405405 27.94594595] ; [10.94594595 16.05405405],0
p11,1,0.070099,3.280704,[41  7] ; [19  9],[37.89473684 10.10526316] ; [22.10526316  5.89473684],0
b2,1,0.097449,2.746808,[16 16] ; [ 3 10],[13.51111111 18.48888889] ; [5.48888889 7.51111111],0
b3,1,0.097449,2.746808,[16 16] ; [ 3 10],[13.51111111 18.48888889] ; [5.48888889 7.51111111],0
a7,1,0.104556,2.634629,[33 15] ; [14 14],[29.68421053 18.31578947] ; [17.31578947 10.68421053],0
r3,1,0.111723,2.529674,[45  3] ; [23  5],[42.94736842  5.05263158] ; [25.05263158  2.94736842],0
p12,1,0.114368,2.492808,[10 38] ; [ 2 26],[ 7.57894737 40.42105263] ; [ 4.42105263 23.57894737],0
s8,1,0.118911,2.431611,[22 25] ; [ 8 20],[18.8 28.2] ; [11.2 16.8],0
p4,1,0.129059,2.303792,[37 11] ; [17 11],[34.10526316 13.89473684] ; [19.89473684  8.10526316],0
