Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.001227,10.449033,[73 12] ; [5 6],[69.0625 15.9375] ; [8.9375 2.0625],0
v2,1,0.006647,7.366003,[46 37] ; [1 9],[41.94623656 41.05376344] ; [5.05376344 4.94623656],0
p11,1,0.023191,5.154112,[71 14] ; [6 5],[68.17708333 16.82291667] ; [8.82291667 2.17708333],0
s1,1,0.085326,2.960423,[ 4 80] ; [2 9],[ 5.30526316 78.69473684] ; [ 0.69473684 10.30526316],0
p7,1,0.094778,2.79129,[63 21] ; [5 5],[60.76595745 23.23404255] ; [7.23404255 2.76595745],0
p2,1,0.142638,2.149272,[70 15] ; [7 4],[68.17708333 16.82291667] ; [8.82291667 2.17708333],0
s6,1,0.159383,1.98007,[55 27] ; [5 6],[52.90322581 29.09677419] ; [7.09677419 3.90322581],0
p3,1,0.181646,1.784109,[49 36] ; [4 7],[46.92708333 38.07291667] ; [6.07291667 4.92708333],0
v4,1,0.215081,1.53689,[78  6] ; [9 2],[76.92631579  7.07368421] ; [10.07368421  0.92631579],0
a3,1,0.21784,1.518542,[42 43] ; [7 3],[43.84210526 41.15789474] ; [5.15789474 4.84210526],0
a1,1,0.226832,1.460618,[ 2 83] ; [ 1 10],[ 2.65625 82.34375] ; [ 0.34375 10.65625],0
d2,1,0.246269,1.344346,[21 64] ; [ 1 10],[19.47916667 65.52083333] ; [2.52083333 8.47916667],0
a6,1,0.246449,1.343319,[54 31] ; [5 6],[52.23958333 32.76041667] ; [6.76041667 4.23958333],0
d3,1,0.246449,1.343319,[31 54] ; [6 5],[32.76041667 52.23958333] ; [4.23958333 6.76041667],0
s3,1,0.256036,1.290064,[49 35] ; [3 5],[47.47826087 36.52173913] ; [4.52173913 3.47826087],0
r1,1,0.280071,1.166748,[60 25] ; [6 5],[58.4375 26.5625] ; [7.5625 3.4375],0
n4,1,0.292399,1.108544,[59 25] ; [6 5],[57.47368421 26.52631579] ; [7.52631579 3.47368421],0
b4,1,0.303442,1.059007,[48 37] ; [8 3],[49.58333333 35.41666667] ; [6.41666667 4.58333333],0
a5,1,0.317781,0.998056,[52 33] ; [5 6],[50.46875 34.53125] ; [6.53125 4.46875],0
s5,1,0.321544,0.982656,[27 55] ; [2 9],[25.56989247 56.43010753] ; [3.43010753 7.56989247],0
p9,1,0.325579,0.966401,[71 13] ; [8 3],[69.85263158 14.14736842] ; [9.14736842 1.85263158],0
p10,1,0.325579,0.966401,[71 13] ; [8 3],[69.85263158 14.14736842] ; [9.14736842 1.85263158],0
u2,1,0.360782,0.835169,[22 21] ; [3 1],[22.87234043 20.12765957] ; [2.12765957 1.87234043],0
n5,1,0.367562,0.811892,[64 20] ; [7 4],[62.77894737 21.22105263] ; [8.22105263 2.77894737],0
n1,1,0.423711,0.64,[3 7] ; [3 3],[3.75 6.25] ; [2.25 3.75],0
b1,1,0.443063,0.588337,[36 49] ; [6 5],[37.1875 47.8125] ; [4.8125 6.1875],0
u3,1,0.457882,0.551066,[19 24] ; [1 3],[18.29787234 24.70212766] ; [1.70212766 2.29787234],0
p5,1,0.473684,0.513369,[15 70] ; [ 1 10],[14.16666667 70.83333333] ; [1.83333333 9.16666667],0
p1,1,0.508092,0.437995,[16 69] ; [3 8],[16.82291667 68.17708333] ; [2.17708333 8.82291667],0
p6,1,0.528284,0.397691,[39 45] ; [4 7],[38.02105263 45.97894737] ; [4.97894737 6.02105263],0
d4,1,0.550256,0.356858,[39 46] ; [4 7],[38.07291667 46.92708333] ; [4.92708333 6.07291667],0
n2,1,0.550985,0.355556,[8 2] ; [4 2],[7.5 2.5] ; [4.5 1.5],0
r2,1,0.555671,0.347255,[74 10] ; [9 2],[73.38947368 10.61052632] ; [9.61052632 1.38947368],0
v1,1,0.560486,0.338864,[38 46] ; [6 5],[38.90526316 45.09473684] ; [5.09473684 5.90526316],0
p12,1,0.628018,0.234758,[12 71] ; [ 1 10],[11.4787234 71.5212766] ; [1.5212766 9.4787234],0
s7,1,0.63729,0.222304,[44 39] ; [5 6],[43.26595745 39.73404255] ; [5.73404255 5.26595745],0
s8,1,0.651199,0.204391,[37 48] ; [4 7],[36.30208333 48.69791667] ; [4.69791667 6.30208333],0
s2,1,0.776767,0.080392,[42 42] ; [5 6],[41.55789474 42.44210526] ; [5.44210526 5.55789474],0
n3,1,0.789726,0.071111,[6 4] ; [4 2],[6.25 3.75] ; [3.75 2.25],0
n6,1,0.803978,0.061604,[72 13] ; [9 2],[71.71875 13.28125] ; [9.28125 1.71875],0
s4,1,0.816999,0.053549,[13 71] ; [2 9],[13.26315789 70.73684211] ; [1.73684211 9.26315789],0
b2,1,0.817434,0.05329,[18 29] ; [3 4],[18.27777778 28.72222222] ; [2.72222222 4.27777778],0
b3,1,0.817434,0.05329,[18 29] ; [3 4],[18.27777778 28.72222222] ; [2.72222222 4.27777778],0
b5,1,0.874665,0.024881,[52 33] ; [7 4],[52.23958333 32.76041667] ; [6.76041667 4.23958333],0
p4,1,0.911364,0.012392,[52 32] ; [7 4],[52.16842105 31.83157895] ; [6.83157895 4.16842105],0
v3,1,0.942971,0.005117,[35 50] ; [4 6],[34.89473684 50.10526316] ; [4.10526316 5.89473684],0
a7,1,0.994467,4.8e-05,[54 31] ; [7 4],[54.01041667 30.98958333] ; [6.98958333 4.01041667],0
