Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,38.369256,[20 31] ; [230  56],[37.83382789 13.16617211] ; [212.16617211  73.83382789],1
s2,1,0.0,38.265911,[19 32] ; [227  60],[37.1183432 13.8816568] ; [208.8816568  78.1183432],1
s7,1,1.7e-05,18.46555,[28 23] ; [225  49],[39.70153846 11.29846154] ; [213.29846154  60.70153846],1
s5,1,0.000181,14.018274,[10 38] ; [138 138],[21.92592593 26.07407407] ; [126.07407407 149.92592593],1
r4,1,0.04122,4.166935,[46  7] ; [272  16],[49.42521994  3.57478006] ; [268.57478006  19.42521994],0
s4,1,0.049875,3.845652,[ 5 48] ; [ 60 226],[10.16224189 42.83775811] ; [ 54.83775811 231.16224189],0
r3,1,0.052685,3.753889,[49  4] ; [281   7],[51.29032258  1.70967742] ; [278.70967742   9.29032258],0
b5,1,0.058877,3.568741,[26 27] ; [181 107],[32.17302053 20.82697947] ; [174.82697947 113.17302053],0
v3,1,0.064978,3.405547,[31 19] ; [131 143],[25. 25.] ; [137. 137.],0
u3,1,0.100584,2.696253,[6 5] ; [40 11],[8.16129032 2.83870968] ; [37.83870968 13.16129032],0
p4,1,0.108591,2.574613,[31 22] ; [200  87],[36.00882353 16.99117647] ; [194.99117647  92.00882353],0
b3,1,0.119555,2.423141,[23 18] ; [ 83 111],[18.49361702 22.50638298] ; [ 87.50638298 106.49361702],0
b2,1,0.119555,2.423141,[23 18] ; [ 83 111],[18.49361702 22.50638298] ; [ 87.50638298 106.49361702],0
d5,1,0.120853,2.406229,[45  8] ; [264  24],[48.02639296  4.97360704] ; [260.97360704  27.02639296],0
a2,1,0.124063,2.365258,[11 42] ; [ 90 198],[15.69794721 37.30205279] ; [ 85.30205279 202.69794721],0
p12,1,0.131477,2.27498,[ 3 50] ; [ 37 249],[ 6.25368732 46.74631268] ; [ 33.74631268 252.25368732],0
a6,1,0.148585,2.086714,[31 22] ; [197  90],[35.54117647 17.45882353] ; [192.45882353  94.54117647],0
r1,1,0.149308,2.079307,[42 11] ; [250  38],[45.38416422  7.61583578] ; [246.61583578  41.38416422],0
b1,1,0.175515,1.835194,[17 36] ; [121 167],[21.44868035 31.55131965] ; [116.55131965 171.44868035],0
u1,1,0.227216,1.458207,[10 43] ; [ 77 211],[13.52199413 39.47800587] ; [ 73.47800587 214.52199413],0
p7,1,0.319769,0.989891,[33 19] ; [195  82],[36.03647416 15.96352584] ; [191.96352584  85.03647416],0
u4,1,0.331854,0.941649,[ 1 52] ; [ 14 274],[ 2.3313783 50.6686217] ; [ 12.6686217 275.3313783],0
p11,1,0.333274,0.936136,[46  7] ; [234  54],[43.51906158  9.48093842] ; [236.48093842  51.51906158],0
p1,1,0.338028,0.917897,[ 3 50] ; [ 28 258],[ 4.84660767 48.15339233] ; [ 26.15339233 259.84660767],0
p5,1,0.363203,0.826788,[ 6 45] ; [ 48 237],[ 8.19642857 42.80357143] ; [ 45.80357143 239.19642857],0
p6,1,0.378508,0.775543,[22 30] ; [139 145],[24.91666667 27.08333333] ; [136.08333333 147.91666667],0
a5,1,0.395079,0.723254,[41 12] ; [237  51],[43.20821114  9.79178886] ; [234.79178886  53.20821114],0
a4,1,0.413897,0.667579,[24 29] ; [148 140],[26.73313783 26.26686217] ; [145.26686217 142.73313783],0
n6,1,0.465858,0.531784,[45  8] ; [253  33],[46.5899705  6.4100295] ; [251.4100295  34.5899705],0
v2,1,0.482632,0.492909,[35 17] ; [171 104],[32.75840979 19.24159021] ; [173.24159021 101.75840979],0
u2,1,0.487634,0.481743,[7 4] ; [37 13],[7.93442623 3.06557377] ; [36.06557377 13.93442623],0
p10,1,0.487917,0.481117,[44  8] ; [251  34],[45.51928783  6.48071217] ; [249.48071217  35.51928783],0
p3,1,0.496043,0.463392,[29 24] ; [172 116],[31.24046921 21.75953079] ; [169.75953079 118.24046921],0
s1,1,0.500954,0.452914,[ 1 50] ; [ 11 274],[ 1.82142857 49.17857143] ; [ 10.17857143 274.82142857],0
r2,1,0.529326,0.395685,[49  3] ; [273  11],[49.83333333  2.16666667] ; [272.16666667  11.83333333],0
a8,1,0.537082,0.380975,[ 9 37] ; [ 42 222],[ 7.56774194 38.43225806] ; [ 43.43225806 220.56774194],0
n1,1,0.553874,0.350422,[3 6] ; [28 36],[3.82191781 5.17808219] ; [27.17808219 36.82191781],0
a3,1,0.561218,0.3376,[42 11] ; [237  50],[43.49117647  9.50882353] ; [235.50882353  51.49117647],0
v4,1,0.575111,0.314205,[51  2] ; [281   7],[51.60117302  1.39882698] ; [280.39882698   7.60117302],0
p2,1,0.737453,0.112378,[46  7] ; [244  43],[45.20588235  7.79411765] ; [244.79411765  42.20588235],0
a7,1,0.748659,0.102662,[39 14] ; [205  82],[38.03529412 14.96470588] ; [205.96470588  81.03529412],0
n4,1,0.768752,0.086441,[45  8] ; [239  48],[44.27058824  8.72941176] ; [239.72941176  47.27058824],0
d3,1,0.770487,0.085111,[42 11] ; [223  65],[41.18768328 11.81231672] ; [223.81231672  64.18768328],0
n5,1,0.784448,0.074817,[41 11] ; [231  56],[41.72271386 10.27728614] ; [230.27728614  56.72271386],0
n3,1,0.785599,0.074,[7 3] ; [42 22],[6.62162162 3.37837838] ; [42.37837838 21.62162162],0
p9,1,0.803795,0.061722,[48  4] ; [261  25],[47.53846154  4.46153846] ; [261.46153846  24.53846154],0
a1,1,0.869655,0.026928,[ 3 50] ; [ 18 270],[ 3.26392962 49.73607038] ; [ 17.73607038 270.26392962],0
p8,1,0.8749,0.024787,[32 21] ; [167 115],[31.48358209 21.51641791] ; [167.51641791 114.48358209],0
b4,1,0.891323,0.018668,[32 21] ; [171 117],[31.55131965 21.44868035] ; [171.44868035 116.55131965],0
n2,1,0.902654,0.01496,[7 3] ; [46 18],[7.16216216 2.83783784] ; [45.83783784 18.16216216],0
d1,1,0.921379,0.009741,[41 12] ; [221  67],[40.72140762 12.27859238] ; [221.27859238  66.72140762],0
v1,1,0.939334,0.005792,[33 20] ; [174 103],[33.24545455 19.75454545] ; [173.75454545 103.24545455],0
d2,1,0.995709,2.9e-05,[32 21] ; [174 114],[32.01759531 20.98240469] ; [173.98240469 114.01759531],0
