Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,5e-06,20.972363,[52  4] ; [12 13],[44.24691358 11.75308642] ; [19.75308642  5.24691358],1
p7,1,0.008426,6.940539,[53  3] ; [17  6],[49.62025316  6.37974684] ; [20.37974684  2.62025316],0
p6,1,0.011297,6.418038,[41 15] ; [11 14],[35.95061728 20.04938272] ; [16.04938272  8.95061728],0
a3,1,0.028074,4.823541,[37 19] ; [10 15],[32.49382716 23.50617284] ; [14.50617284 10.49382716],0
b1,1,0.028507,4.797146,[28 28] ; [ 6 19],[23.50617284 32.49382716] ; [10.49382716 14.50617284],0
n4,1,0.037427,4.330872,[44 12] ; [14 11],[40.09876543 15.90123457] ; [17.90123457  7.09876543],0
d2,1,0.051964,3.776927,[31 25] ; [ 8 17],[26.96296296 29.03703704] ; [12.03703704 12.96296296],0
s6,1,0.060846,3.514169,[50  4] ; [17  5],[47.60526316  6.39473684] ; [19.39473684  2.60526316],0
a5,1,0.061356,3.500357,[41 15] ; [13 12],[37.33333333 18.66666667] ; [16.66666667  8.33333333],0
r1,1,0.075063,3.168685,[46 10] ; [16  9],[42.86419753 13.13580247] ; [19.13580247  5.86419753],0
d1,1,0.089419,2.884794,[38 18] ; [12 13],[34.56790123 21.43209877] ; [15.43209877  9.56790123],0
p5,1,0.092637,2.827937,[10 46] ; [ 1 24],[ 7.60493827 48.39506173] ; [ 3.39506173 21.60493827],0
a8,1,0.09903,2.721088,[ 2 52] ; [ 3 18],[ 3.6 50.4] ; [ 1.4 19.6],0
a4,1,0.118933,2.431315,[26 30] ; [ 7 18],[22.81481481 33.18518519] ; [10.18518519 14.81481481],0
a7,1,0.13877,2.19155,[33 23] ; [19  6],[35.95061728 20.04938272] ; [16.04938272  8.95061728],0
a2,1,0.139808,2.180067,[12 44] ; [ 2 23],[ 9.67901235 46.32098765] ; [ 4.32098765 20.67901235],0
u1,1,0.139808,2.180067,[12 44] ; [ 2 23],[ 9.67901235 46.32098765] ; [ 4.32098765 20.67901235],0
r3,1,0.152018,2.051879,[53  2] ; [22  3],[51.5625  3.4375] ; [23.4375  1.5625],0
v1,1,0.203992,1.613558,[32 24] ; [10 14],[29.4 26.6] ; [12.6 11.4],0
d4,1,0.212912,1.551517,[47  9] ; [18  7],[44.9382716 11.0617284] ; [20.0617284  4.9382716],0
r2,1,0.236232,1.402937,[49  7] ; [24  1],[50.4691358  5.5308642] ; [22.5308642  2.4691358],0
p12,1,0.236232,1.402937,[ 7 49] ; [ 1 24],[ 5.5308642 50.4691358] ; [ 2.4691358 22.5308642],0
p2,1,0.291645,1.112014,[53  3] ; [22  3],[51.85185185  4.14814815] ; [23.14814815  1.85185185],0
s5,1,0.292296,1.109018,[30 21] ; [10 12],[27.94520548 23.05479452] ; [12.05479452  9.94520548],0
s2,1,0.305738,1.048999,[38 18] ; [19  5],[39.9 16.1] ; [17.1  6.9],0
u3,1,0.368714,0.807994,[13  6] ; [8 7],[11.73529412  7.26470588] ; [9.26470588 5.73529412],0
v3,1,0.429795,0.623377,[19 37] ; [ 6 18],[17.5 38.5] ; [ 7.5 16.5],0
b5,1,0.492987,0.47,[29 27] ; [15 10],[30.41975309 25.58024691] ; [13.58024691 11.41975309],0
b2,1,0.511942,0.430096,[ 8 25] ; [ 2 11],[ 7.17391304 25.82608696] ; [ 2.82608696 10.17391304],0
b3,1,0.511942,0.430096,[ 8 25] ; [ 2 11],[ 7.17391304 25.82608696] ; [ 2.82608696 10.17391304],0
a6,1,0.580419,0.305558,[35 21] ; [14 11],[33.87654321 22.12345679] ; [15.12345679  9.87654321],0
s1,1,0.647994,0.208438,[ 3 53] ; [ 2 23],[ 3.45679012 52.54320988] ; [ 1.54320988 23.45679012],0
r4,1,0.671022,0.180409,[49  7] ; [21  4],[48.39506173  7.60493827] ; [21.60493827  3.39506173],0
s8,1,0.696793,0.15183,[31 25] ; [15 10],[31.80246914 24.19753086] ; [14.19753086 10.80246914],0
p1,1,0.70526,0.143058,[ 6 50] ; [ 2 23],[ 5.5308642 50.4691358] ; [ 2.4691358 22.5308642],0
u2,1,0.729797,0.119298,[ 9 10] ; [8 7],[9.5 9.5] ; [7.5 7.5],0
s7,1,0.754328,0.09793,[37 17] ; [18  7],[37.59493671 16.40506329] ; [17.40506329  7.59493671],0
n5,1,0.818604,0.052597,[46 10] ; [20  5],[45.62962963 10.37037037] ; [20.37037037  4.62962963],0
d5,1,0.818604,0.052597,[46 10] ; [20  5],[45.62962963 10.37037037] ; [20.37037037  4.62962963],0
p11,1,0.838199,0.041697,[46 10] ; [21  4],[46.32098765  9.67901235] ; [20.67901235  4.32098765],0
v2,1,0.843787,0.03883,[23 33] ; [10 13],[23.39240506 32.60759494] ; [ 9.60759494 13.39240506],0
p10,1,0.890722,0.018876,[51  5] ; [23  2],[51.16049383  4.83950617] ; [22.83950617  2.16049383],0
n1,1,0.906224,0.013878,[4 6] ; [3 4],[4.11764706 5.88235294] ; [2.88235294 4.11764706],0
s3,1,0.909635,0.012882,[41 15] ; [18  7],[40.79012346 15.20987654] ; [18.20987654  6.79012346],0
d3,1,0.923194,0.009295,[42 14] ; [19  6],[42.17283951 13.82716049] ; [18.82716049  6.17283951],0
p9,1,0.949615,0.003993,[49  7] ; [22  3],[49.08641975  6.91358025] ; [21.91358025  3.08641975],0
b4,1,0.957106,0.002893,[31 25] ; [14 11],[31.11111111 24.88888889] ; [13.88888889 11.11111111],0
n6,1,1.0,0.0,[49  7] ; [21  3],[49.  7.] ; [21.  3.],0
