Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.00371,8.420711,[ 1 30] ; [19 47],[ 6.39175258 24.60824742] ; [13.60824742 52.39175258],0
d3,1,0.005175,7.817301,[15 16] ; [50 15],[20.98958333 10.01041667] ; [44.01041667 20.98958333],0
r2,1,0.00697,7.280668,[25  6] ; [63  2],[28.41666667  2.58333333] ; [59.58333333  5.41666667],0
a2,1,0.012747,6.203912,[ 2 29] ; [19 47],[ 6.71134021 24.28865979] ; [14.28865979 51.71134021],0
v4,1,0.020289,5.386845,[27  4] ; [63  1],[29.36842105  1.63157895] ; [60.63157895  3.36842105],0
p8,1,0.034248,4.482287,[21 10] ; [56  9],[24.86458333  6.13541667] ; [52.13541667 12.86458333],0
p10,1,0.047721,3.919774,[25  6] ; [61  4],[27.77083333  3.22916667] ; [58.22916667  6.77083333],0
p6,1,0.049659,3.852923,[15 15] ; [46 19],[19.26315789 10.73684211] ; [41.73684211 23.26315789],0
p1,1,0.068092,3.328426,[ 6 25] ; [25 41],[ 9.90721649 21.09278351] ; [21.09278351 44.90721649],0
n2,1,0.090969,2.857143,[3 3] ; [12  2],[4.5 1.5] ; [10.5  3.5],0
a6,1,0.093547,2.812257,[16 15] ; [45 20],[19.69791667 11.30208333] ; [41.30208333 23.69791667],0
b1,1,0.114128,2.496114,[18 13] ; [27 39],[14.3814433 16.6185567] ; [30.6185567 35.3814433],0
v2,1,0.123811,2.368435,[14 17] ; [39 24],[17.4787234 13.5212766] ; [35.5212766 27.4787234],0
p12,1,0.126427,2.335833,[ 5 26] ; [20 45],[ 8.07291667 22.92708333] ; [16.92708333 48.07291667],0
s7,1,0.136222,2.220121,[19 12] ; [45 14],[22.04444444  8.95555556] ; [41.95555556 17.04444444],0
r1,1,0.151169,2.060413,[23  8] ; [56  9],[25.51041667  5.48958333] ; [53.48958333 11.51041667],0
d4,1,0.151169,2.060413,[23  8] ; [56  9],[25.51041667  5.48958333] ; [53.48958333 11.51041667],0
u4,1,0.173528,1.852201,[ 3 28] ; [ 2 63],[ 1.61458333 29.38541667] ; [ 3.38541667 61.61458333],0
n6,1,0.179921,1.798275,[28  3] ; [62  2],[29.36842105  1.63157895] ; [60.63157895  3.36842105],0
a5,1,0.239739,1.38213,[21 10] ; [52 14],[23.32989691  7.67010309] ; [49.67010309 16.32989691],0
a3,1,0.305919,1.048211,[22  9] ; [53 13],[23.96907216  7.03092784] ; [51.03092784 14.96907216],0
b5,1,0.308129,1.038677,[13 18] ; [35 31],[15.34020619 15.65979381] ; [32.65979381 33.34020619],0
v1,1,0.341332,0.905424,[19 11] ; [46 17],[20.96774194  9.03225806] ; [44.03225806 18.96774194],0
s6,1,0.371654,0.798126,[23  6] ; [52  8],[24.43820225  4.56179775] ; [50.56179775  9.43820225],0
s2,1,0.388093,0.744908,[16 15] ; [39 25],[17.94736842 13.05263158] ; [37.05263158 26.94736842],0
d1,1,0.410706,0.676755,[18 13] ; [44 22],[19.81443299 11.18556701] ; [42.18556701 23.81443299],0
u2,1,0.428539,0.626781,[4 5] ; [8 5],[4.90909091 4.09090909] ; [7.09090909 5.90909091],0
n4,1,0.429387,0.624481,[29  2] ; [64  2],[29.72164948  1.27835052] ; [63.27835052  2.72164948],0
r3,1,0.483915,0.490028,[29  2] ; [57  7],[28.06315789  2.93684211] ; [57.93684211  6.06315789],0
d2,1,0.491773,0.472646,[19 12] ; [35 30],[17.4375 13.5625] ; [36.5625 28.4375],0
s5,1,0.500253,0.4544,[18 12] ; [39 19],[19.43181818 10.56818182] ; [37.56818182 20.43181818],0
s8,1,0.511628,0.430737,[17 14] ; [39 24],[18.46808511 12.53191489] ; [37.53191489 25.46808511],0
p3,1,0.519904,0.414083,[23  8] ; [52 13],[24.21875  6.78125] ; [50.78125 14.21875],0
p9,1,0.534674,0.3855,[28  3] ; [61  4],[28.73958333  2.26041667] ; [60.26041667  4.73958333],0
a4,1,0.546405,0.363798,[13 18] ; [32 34],[14.3814433 16.6185567] ; [30.6185567 35.3814433],0
b4,1,0.609749,0.260541,[20 11] ; [39 27],[18.8556701 12.1443299] ; [40.1443299 25.8556701],0
b2,1,0.616724,0.250498,[12 11] ; [22 26],[11.01408451 11.98591549] ; [22.98591549 25.01408451],0
b3,1,0.616724,0.250498,[12 11] ; [22 26],[11.01408451 11.98591549] ; [22.98591549 25.01408451],0
s1,1,0.659472,0.194166,[ 2 29] ; [ 6 60],[ 2.55670103 28.44329897] ; [ 5.44329897 60.55670103],0
r4,1,0.739342,0.110706,[27  4] ; [59  7],[27.48453608  3.51546392] ; [58.51546392  7.48453608],0
a8,1,0.760032,0.093292,[ 4 26] ; [ 9 48],[ 4.48275862 25.51724138] ; [ 8.51724138 48.48275862],0
d5,1,0.770956,0.084754,[24  7] ; [52 13],[24.54166667  6.45833333] ; [51.45833333 13.54166667],0
u3,1,0.778999,0.078749,[5 4] ; [8 5],[5.31818182 3.68181818] ; [7.68181818 5.31818182],0
n1,1,0.829454,0.046398,[4 2] ; [8 5],[3.78947368 2.21052632] ; [8.21052632 4.78947368],0
v3,1,0.832275,0.044853,[17 14] ; [36 27],[17.4787234 13.5212766] ; [35.5212766 27.4787234],0
p4,1,0.85116,0.035208,[28  3] ; [57  7],[27.73684211  3.26315789] ; [57.26315789  6.73684211],0
p11,1,0.901182,0.015418,[26  5] ; [56 10],[26.20618557  4.79381443] ; [55.79381443 10.20618557],0
a1,1,0.921269,0.009768,[ 4 27] ; [ 9 57],[ 4.15463918 26.84536082] ; [ 8.84536082 57.15463918],0
s3,1,0.92261,0.009437,[20 11] ; [40 23],[19.78723404 11.21276596] ; [40.21276596 22.78723404],0
p2,1,0.967918,0.001618,[26  4] ; [57  9],[25.9375  4.0625] ; [57.0625  8.9375],0
p7,1,0.97161,0.001267,[25  6] ; [51 12],[25.06382979  5.93617021] ; [50.93617021 12.06382979],0
s4,1,0.977682,0.000783,[ 4 27] ; [ 8 55],[ 3.95744681 27.04255319] ; [ 8.04255319 54.95744681],0
n3,1,1.0,0.0,[3 3] ; [7 7],[3. 3.] ; [7. 7.],0
