Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000103,15.077104,[107   9] ; [8 6],[102.61538462  13.38461538] ; [12.38461538  1.61538462],1
r2,1,0.002389,9.223706,[103  14] ; [8 6],[99.13740458 17.86259542] ; [11.86259542  2.13740458],0
r1,1,0.002822,8.919056,[82 37] ; [ 4 10],[76.94736842 42.05263158] ; [9.05263158 4.94736842],0
n2,1,0.010634,6.52549,[26  8] ; [1 4],[23.53846154 10.46153846] ; [3.46153846 1.53846154],0
v2,1,0.012914,6.180785,[47 67] ; [ 1 13],[42.75 71.25] ; [5.25 8.75],0
p11,1,0.043098,4.09157,[83 36] ; [6 8],[79.63157895 39.36842105] ; [9.36842105 4.63157895],0
n6,1,0.048346,3.897926,[75 44] ; [5 9],[71.57894737 47.42105263] ; [8.42105263 5.57894737],0
s6,1,0.049465,3.859518,[57 59] ; [ 3 11],[53.53846154 62.46153846] ; [6.46153846 7.53846154],0
a6,1,0.056636,3.63324,[66 53] ; [ 4 10],[62.63157895 56.36842105] ; [7.36842105 6.63157895],0
a7,1,0.075085,3.168205,[79 39] ; [6 8],[75.98484848 42.01515152] ; [9.01515152 4.98484848],0
n3,1,0.100394,2.699276,[25  8] ; [2 3],[23.44736842  9.55263158] ; [3.55263158 1.44736842],0
s5,1,0.107645,2.588455,[30 82] ; [ 1 13],[27.55555556 84.44444444] ; [ 3.44444444 10.55555556],0
s3,1,0.122862,2.380448,[57 61] ; [3 9],[54.46153846 63.53846154] ; [5.53846154 6.46153846],0
a5,1,0.136449,2.217554,[59 60] ; [ 4 10],[56.36842105 62.63157895] ; [6.63157895 7.36842105],0
n4,1,0.152052,2.05154,[49 70] ; [ 3 11],[46.52631579 72.47368421] ; [5.47368421 8.52631579],0
b1,1,0.162351,1.952192,[45 74] ; [8 6],[47.42105263 71.57894737] ; [5.57894737 8.42105263],0
p6,1,0.165418,1.923985,[27 89] ; [ 1 13],[24.98461538 91.01538462] ; [ 3.01538462 10.98461538],0
s2,1,0.2192,1.509599,[45 73] ; [ 3 11],[42.90909091 75.09090909] ; [5.09090909 8.90909091],0
d5,1,0.233739,1.417964,[62 56] ; [5 9],[59.89393939 58.10606061] ; [7.10606061 6.89393939],0
s7,1,0.263608,1.249708,[35 81] ; [ 2 11],[33.27131783 82.72868217] ; [3.72868217 9.27131783],0
s8,1,0.299194,1.077781,[32 86] ; [ 2 12],[30.39393939 87.60606061] ; [ 3.60606061 10.39393939],0
u2,1,0.30546,1.050203,[28 27] ; [5 2],[29.27419355 25.72580645] ; [3.72580645 3.27419355],0
p1,1,0.321271,0.983766,[  8 109] ; [ 2 12],[  8.93129771 108.06870229] ; [ 1.06870229 12.93129771],0
s4,1,0.348253,0.879814,[20 99] ; [ 1 13],[ 18.78947368 100.21052632] ; [ 2.21052632 11.78947368],0
a2,1,0.481669,0.495083,[  4 115] ; [ 1 13],[  4.47368421 114.52631579] ; [ 0.52631579 13.47368421],0
b5,1,0.568036,0.32598,[69 50] ; [7 7],[68. 51.] ; [8. 6.],0
p9,1,0.609513,0.260884,[75 42] ; [8 6],[74.12977099 42.87022901] ; [8.87022901 5.12977099],0
p4,1,0.621835,0.243297,[43 76] ; [6 8],[43.84210526 75.15789474] ; [5.15789474 8.84210526],0
d2,1,0.66276,0.190188,[ 13 106] ; [ 1 13],[ 12.52631579 106.47368421] ; [ 1.47368421 12.52631579],0
p8,1,0.713613,0.134695,[45 74] ; [6 8],[45.63157895 73.36842105] ; [5.36842105 8.63157895],0
d3,1,0.717905,0.130508,[53 65] ; [7 7],[53.63636364 64.36363636] ; [6.36363636 7.63636364],0
u3,1,0.75592,0.096623,[28 27] ; [4 3],[28.38709677 26.61290323] ; [3.61290323 3.38709677],0
p7,1,0.837351,0.042141,[60 58] ; [7 6],[60.35114504 57.64885496] ; [6.64885496 6.35114504],0
v3,1,0.837696,0.04196,[27 86] ; [ 3 11],[26.69291339 86.30708661] ; [ 3.30708661 10.69291339],0
v1,1,0.841504,0.039988,[45 72] ; [5 9],[44.65648855 72.34351145] ; [5.34351145 8.65648855],0
s1,1,0.851165,0.035206,[  7 112] ; [ 1 13],[  7.15789474 111.84210526] ; [ 0.84210526 13.15789474],0
b4,1,0.855827,0.033011,[71 48] ; [8 6],[70.68421053 48.31578947] ; [8.31578947 5.68421053],0
a3,1,0.857099,0.032424,[62 56] ; [7 7],[61.68181818 56.31818182] ; [7.31818182 6.68181818],0
n1,1,0.861162,0.030588,[ 8 26] ; [1 4],[ 7.84615385 26.15384615] ; [1.15384615 3.84615385],0
b3,1,0.871835,0.026027,[17 49] ; [2 5],[17.17808219 48.82191781] ; [1.82191781 5.17808219],0
b2,1,0.871835,0.026027,[17 49] ; [2 5],[17.17808219 48.82191781] ; [1.82191781 5.17808219],0
p3,1,0.875128,0.024695,[40 79] ; [5 9],[40.26315789 78.73684211] ; [4.73684211 9.26315789],0
p10,1,0.888578,0.019629,[64 52] ; [8 6],[64.24615385 51.75384615] ; [7.75384615 6.24615385],0
d4,1,0.926313,0.008553,[75 44] ; [9 5],[75.15789474 43.84210526] ; [8.84210526 5.15789474],0
p2,1,0.961973,0.002273,[85 33] ; [10  4],[84.92424242 33.07575758] ; [10.07575758  3.92424242],0
a4,1,0.971271,0.001297,[26 93] ; [ 3 11],[25.94736842 93.05263158] ; [ 3.05263158 10.94736842],0
