Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.5e-05,17.740463,[ 8 24] ; [50 22],[17.84615385 14.15384615] ; [40.15384615 31.84615385],1
v3,1,0.000772,11.30836,[ 2 29] ; [28 43],[ 9.11764706 21.88235294] ; [20.88235294 50.11764706],1
a5,1,0.008318,6.9638,[12 20] ; [47 25],[18.15384615 13.84615385] ; [40.84615385 31.15384615],0
d5,1,0.014157,6.018519,[19 13] ; [59 13],[24.  8.] ; [54. 18.],0
r1,1,0.019945,5.416667,[20 12] ; [60 12],[24.61538462  7.38461538] ; [55.38461538 16.61538462],0
r4,1,0.02774,4.844173,[21 11] ; [61 11],[25.23076923  6.76923077] ; [56.76923077 15.23076923],0
v1,1,0.033032,4.54412,[ 8 24] ; [34 38],[12.92307692 19.07692308] ; [29.07692308 42.92307692],0
n6,1,0.039825,4.225303,[17 15] ; [53 19],[21.53846154 10.46153846] ; [48.46153846 23.53846154],0
s4,1,0.049287,3.865545,[10 22] ; [10 59],[ 6.33663366 25.66336634] ; [13.66336634 55.33663366],0
r2,1,0.053949,3.714286,[25  7] ; [66  6],[28.  4.] ; [63.  9.],0
b5,1,0.056619,3.633759,[15 17] ; [48 24],[19.38461538 12.61538462] ; [43.61538462 28.38461538],0
s2,1,0.078522,3.095238,[ 8 23] ; [31 39],[11.97029703 19.02970297] ; [27.02970297 42.97029703],0
s7,1,0.103136,2.656373,[ 7 24] ; [26 40],[10.54639175 20.45360825] ; [22.45360825 43.54639175],0
d3,1,0.146325,2.110145,[18 14] ; [51 21],[21.23076923 10.76923077] ; [47.76923077 24.23076923],0
a2,1,0.153987,2.0323,[ 3 29] ; [15 57],[ 5.53846154 26.46153846] ; [12.46153846 59.53846154],0
u3,1,0.171066,1.873574,[10  5] ; [14 17],[7.82608696 7.17391304] ; [16.17391304 14.82608696],0
s3,1,0.179037,1.805602,[13 19] ; [39 32],[16.15533981 15.84466019] ; [35.84466019 35.15533981],0
p11,1,0.182759,1.775047,[16 16] ; [46 26],[19.07692308 12.92307692] ; [42.92307692 29.07692308],0
s6,1,0.213802,1.545495,[12 20] ; [36 35],[14.91262136 17.08737864] ; [33.08737864 37.91262136],0
p10,1,0.221957,1.491672,[ 7 25] ; [24 47],[ 9.63106796 22.36893204] ; [21.36893204 49.63106796],0
p1,1,0.237334,1.396362,[ 1 31] ; [ 7 64],[ 2.48543689 29.51456311] ; [ 5.51456311 65.48543689],0
b3,1,0.245165,1.350649,[ 3 18] ; [12 32],[ 4.84615385 16.15384615] ; [10.15384615 33.84615385],0
b2,1,0.245165,1.350649,[ 3 18] ; [12 32],[ 4.84615385 16.15384615] ; [10.15384615 33.84615385],0
v2,1,0.275756,1.187887,[11 20] ; [33 37],[13.5049505 17.4950495] ; [30.4950495 39.5049505],0
u1,1,0.328625,0.954307,[ 3 29] ; [12 60],[ 4.61538462 27.38461538] ; [10.38461538 61.61538462],0
b1,1,0.341751,0.903853,[15 17] ; [41 31],[17.23076923 14.76923077] ; [38.76923077 33.23076923],0
r3,1,0.364027,0.823952,[28  4] ; [66  5],[29.2038835  2.7961165] ; [64.7961165  6.2038835],0
n1,1,0.403917,0.696635,[ 5 13] ; [ 7 10],[ 6.17142857 11.82857143] ; [ 5.82857143 11.17142857],0
